documento_id,competencia,data_referencia,competencia_xml,data_entrega,versao,status_documento,categoria,tipo,especie,fundo_ou_classe,nome_fundo,nome_administrador,nome_custodiante,nome_gestor,xml_version,processamento,erro_processamento
928281,05/2025,05/2025,05/2025,18/06/2025 16:41,1,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,,,,6.1,ok,
952047,06/2025,06/2025,06/2025,24/07/2025 14:46,3,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,,,,1,ok,
984542,07/2025,07/2025,07/2025,05/09/2025 10:40,3,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,,,,1,ok,
990634,08/2025,08/2025,08/2025,15/09/2025 12:25,1,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,,,,1,ok,
1016241,09/2025,09/2025,09/2025,16/10/2025 15:55,2,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,,,,1,ok,
1036544,10/2025,10/2025,10/2025,13/11/2025 16:12,1,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,,,,1,ok,
1061608,11/2025,11/2025,11/2025,15/12/2025 10:36,1,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,,,,1,ok,
1082242,12/2025,12/2025,12/2025,14/01/2026 15:54,1,AC,Informes Periódicos,Informe Mensal Estruturado ,,Fundo,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,,,,6.6,ok,
1147184,01/2026,01/2026,01/2026,27/03/2026 19:23,2,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,,,,6.6,ok,
1167008,02/2026,02/2026,02/2026,20/04/2026 20:33,4,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,,,,6.6,ok,
1167006,03/2026,03/2026,03/2026,20/04/2026 20:32,3,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,,,,6.6,ok,
