etapa,status,detalhe,cnpj_fundo,competencia_inicial,competencia_final,id_fundo,nome_fundo,qtd_documentos_brutos,qtd_documentos_intervalo,qtd_competencias,documento_id,competencia,versao,data_entrega,status_documento,linhas_escalares,linhas_lista,linhas_wide
validacao_entrada,ok,Entrada validada.,37511828000114,05/2025,04/2026,,,,,,,,,,,,,
resolve_fundo,ok,Contexto público do fundo carregado.,,,,18180,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,,,,,,,,,,
listar_documentos,ok,Listagem pública de IMEs concluída.,,,,,,76.0,,,,,,,,,,
filtrar_intervalo_competencia,ok,Filtro local por competência aplicado.,,,,,,,19.0,,,,,,,,,
deduplicar_retificacoes,ok,Documentos definitivos por competência selecionados.,,,,,,,,11.0,,,,,,,,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,927032.0,05/2025,1.0,16/06/2025 21:33,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,927032.0,05/2025,,,,382.0,6.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,987460.0,06/2025,3.0,10/09/2025 10:07,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,987460.0,06/2025,,,,363.0,51.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,987384.0,07/2025,2.0,09/09/2025 19:12,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,987384.0,07/2025,,,,363.0,51.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,992663.0,08/2025,3.0,16/09/2025 08:41,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,992663.0,08/2025,,,,363.0,51.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1016083.0,09/2025,2.0,16/10/2025 12:15,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1016083.0,09/2025,,,,363.0,51.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1035172.0,10/2025,1.0,12/11/2025 17:34,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1035172.0,10/2025,,,,363.0,51.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1059568.0,11/2025,2.0,11/12/2025 19:58,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1059568.0,11/2025,,,,363.0,51.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1085929.0,12/2025,2.0,16/01/2026 09:33,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1085929.0,12/2025,,,,379.0,28.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1107175.0,01/2026,1.0,10/02/2026 17:17,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1107175.0,01/2026,,,,378.0,28.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1134769.0,02/2026,1.0,12/03/2026 17:19,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1134769.0,02/2026,,,,378.0,28.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1159930.0,03/2026,1.0,13/04/2026 12:55,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1159930.0,03/2026,,,,378.0,28.0,
montagem_dataset,ok,CSVs temporários e wide final gerados em disco.,,,,,,,,,,,,,,4073.0,424.0,389.0
