documento_id,competencia,data_referencia,competencia_xml,data_entrega,versao,status_documento,categoria,tipo,especie,fundo_ou_classe,nome_fundo,nome_administrador,nome_custodiante,nome_gestor,xml_version,processamento,erro_processamento
927032,05/2025,05/2025,05/2025,16/06/2025 21:33,1,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,,,6.3,ok,
987460,06/2025,06/2025,06/2025,10/09/2025 10:07,3,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,,,6.3,ok,
987384,07/2025,07/2025,07/2025,09/09/2025 19:12,2,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,,,6.3,ok,
992663,08/2025,08/2025,08/2025,16/09/2025 08:41,3,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,,,6.3,ok,
1016083,09/2025,09/2025,09/2025,16/10/2025 12:15,2,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,,,6.3,ok,
1035172,10/2025,10/2025,10/2025,12/11/2025 17:34,1,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,,,6.3,ok,
1059568,11/2025,11/2025,11/2025,11/12/2025 19:58,2,AC,Informes Periódicos,Informe Mensal Estruturado ,,Fundo,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,,,6.3,ok,
1085929,12/2025,12/2025,12/2025,16/01/2026 09:33,2,AC,Informes Periódicos,Informe Mensal Estruturado ,,Fundo,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,,,6.6,ok,
1107175,01/2026,01/2026,01/2026,10/02/2026 17:17,1,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,,,6.6,ok,
1134769,02/2026,02/2026,02/2026,12/03/2026 17:19,1,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,,,6.6,ok,
1159930,03/2026,03/2026,03/2026,13/04/2026 12:55,1,AC,Informes Periódicos,Informe Mensal Estruturado ,,Classe,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,,,6.6,ok,
