etapa,status,detalhe,cnpj_fundo,competencia_inicial,competencia_final,id_fundo,nome_fundo,qtd_documentos_brutos,qtd_documentos_intervalo,qtd_competencias,documento_id,competencia,versao,data_entrega,status_documento,linhas_escalares,linhas_lista,linhas_wide
validacao_entrada,ok,Entrada validada.,41970012000126,05/2025,04/2026,,,,,,,,,,,,,
resolve_fundo,ok,Contexto público do fundo carregado.,,,,17767,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,,,,,,,,,,,
listar_documentos,ok,Listagem pública de IMEs concluída.,,,,,,70.0,,,,,,,,,,
filtrar_intervalo_competencia,ok,Filtro local por competência aplicado.,,,,,,,19.0,,,,,,,,,
deduplicar_retificacoes,ok,Documentos definitivos por competência selecionados.,,,,,,,,11.0,,,,,,,,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,925209.0,05/2025,2.0,16/06/2025 10:00,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,925209.0,05/2025,,,,360.0,52.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,949267.0,06/2025,3.0,17/07/2025 18:44,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,949267.0,06/2025,,,,360.0,52.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,971109.0,07/2025,1.0,14/08/2025 19:12,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,971109.0,07/2025,,,,360.0,52.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,988693.0,08/2025,1.0,11/09/2025 17:56,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,988693.0,08/2025,,,,360.0,52.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1013513.0,09/2025,1.0,14/10/2025 19:49,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1013513.0,09/2025,,,,360.0,52.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1033200.0,10/2025,1.0,10/11/2025 22:46,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1033200.0,10/2025,,,,360.0,52.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1061405.0,11/2025,2.0,13/12/2025 12:46,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1061405.0,11/2025,,,,360.0,52.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1087159.0,12/2025,2.0,19/01/2026 10:07,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1087159.0,12/2025,,,,362.0,54.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1121298.0,01/2026,3.0,25/02/2026 16:33,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1121298.0,01/2026,,,,362.0,54.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1138071.0,02/2026,1.0,13/03/2026 21:46,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1138071.0,02/2026,,,,362.0,54.0,
processar_documento,iniciado,Iniciando download e parse do documento.,,,,,,,,,1165209.0,03/2026,2.0,16/04/2026 10:35,AC,,,
processar_documento,ok,Documento processado com sucesso.,,,,,,,,,1165209.0,03/2026,,,,362.0,54.0,
montagem_dataset,ok,CSVs temporários e wide final gerados em disco.,,,,,,,,,,,,,,3968.0,580.0,362.0
