Nome,ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA
Grupo,Altomax
CNPJ,58.288.437/0001-52
Páginas locais analisadas,650
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,12
Volume emitido identificado (R$ mm),205
Primeira emissão identificada,28/11/2024
Última emissão identificada,15/01/2026
"Emissões detectadas (data, classe, preço e volume)","28/11/2024 · Classe/série não identificada: R$ 1 mm; Rem DI + 5% a.a.
28/11/2024 · cotas seniores do Fundo · Sênior: R$ 20 mm; Rem DI + 5% a.a.
13/12/2024 · Classe/série não identificada: R$ 1 mm; Rem DI + 5% a.a.
16/12/2024 · COTAS SUBORDINADAS JÚNIOR DA 1ª (PRIMEIRA) · Subordinada: R$ 20 mm
18/12/2024 · Cotas Subordinadas Júnior nº CVM/SRE/AUT/FDC/PRI/2024/1757Concedido · Subordinada: R$ 20 mm
23/12/2024 · 1ª série: R$ 20 mm
23/12/2024 · COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE · Sênior: R$ 20 mm
27/12/2024 · COTAS SENIORES DA 1ª (PRIMEIRA) EMISSÃO DO · Sênior: R$ 20 mm
03/01/2025 · COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE DE EMISSÃO DO ALTOMAX FUND · Sênior: R$ 20 mm
18/02/2025 · Classe/série não identificada: R$ 1 mm; Rem DI + 5% a.a.
18/02/2025 · Cotas Subordinadas Júnior dentro do Capital · Subordinada: termos econômicos não identificados
17/06/2025 · Classe/série não identificada: R$ 1 mm; Rem DI + 5% a.a.
21/07/2025 · 2ª Série: R$ 15 mm
28/07/2025 · COTAS SENIORES DA 2ª (SEGUNDA) SÉRIE DA 1ª · Sênior: R$ 15 mm
26/08/2025 · COTAS SUBORDINADAS JÚNIOR · Subordinada: R$ 15 mm
02/09/2025 · COTAS SENIORES DA 2ª (SEGUNDA) SÉRIE DE · Sênior: R$ 15 mm
15/01/2026 · Classe/série não identificada: R$ 1 mm; Rem DI + 5% a.a."
Remuneração-alvo por emissão detectada,"28/11/2024 · Classe/série não identificada: DI + 5% a.a.
28/11/2024 · cotas seniores do Fundo · Sênior: DI + 5% a.a.
13/12/2024 · Classe/série não identificada: DI + 5% a.a.
18/02/2025 · Classe/série não identificada: DI + 5% a.a.
17/06/2025 · Classe/série não identificada: DI + 5% a.a.
15/01/2026 · Classe/série não identificada: DI + 5% a.a."
Amortização/vencimento por emissão detectada,—
Regulamento-base dos thresholds,15/01/2026 · 1090132_regulamento_regulamento_1090132_2026-01-15.pdf
Alocação mínima em DCs,>= 20%
Subordinação mínima,>= 25%
Evento de avaliação por atraso,—
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,>= 10%; >= 3%; >= 20%; >= 50%; +2
Reserva/caixa mínimo,—
Limite de recompra,<= 5%; 5%
Limite de cancelamento,—
Limite de chargeback/contestação,—
Limites de concentração,"<= 2%; <= 5%; <= 25%; <= 3,5%; +2"
Hedges permitidos,texto; Regra textual de derivativos/hedge; verificar observação e fonte.
Cross default do cedente,—
Troca de gestor/administrador,"texto; texto 0,20%"
Critérios de elegibilidade,<=; >=; texto; Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.
