Nome,CONSIGNADO DELTA RECEIVABLES I,MT CONSIGNADO PRIVADO I,BTG PACTUAL CERES CONFINA FUNDO DE I,PLGN MARKETPLACE FUNDO DE INVESTIMEN,V CDT 1,CLASSE CONSIGNADO PRIVADO DO MT GLOB
Grupo,BTG Pactual 1T26,BTG Pactual 1T26,BTG Pactual 1T26,BTG Pactual 1T26,BTG Pactual 1T26,BTG Pactual 1T26
CNPJ,54.871.427/0001-94,60.010.416/0001-12,62.696.791/0001-93,55.563.624/0001-09,62.552.447/0001-20,63.953.620/0001-65
Páginas locais analisadas,112,151,55,11,6,7
Última competência IME,03/2026,03/2026,02/2026,03/2026,03/2026,03/2026
PL (R$ mm),R$ 2.606 mm,R$ 3.991 mm,R$ 154 mm,R$ 319 mm,R$ 131 mm,R$ 3.926 mm
Direitos creditórios / PL,"81,5%","99,7%","99,5%","0,0%","101,6%","0,0%"
Vencidos Over 30d / crédito,"0,0%","0,6%","0,0%",—,"0,0%",—
Vencidos Over 60d / crédito,"0,0%","0,0%","0,0%",—,"0,0%",—
Vencidos Over 90d / crédito,"0,0%","0,0%","0,0%",—,"0,0%",—
Vencidos Over 180d / crédito,"0,0%","0,0%","0,0%",—,"0,0%",—
Vencidos Over 360d / crédito,"0,0%","0,0%","0,0%",—,"0,0%",—
PDD / crédito,"0,1%","7,8%","0,0%",—,"3,9%",—
PDD / vencidos,"6.391,8%","924,4%",—,—,"5.382,7%",—
Cotas sênior / PL,"100,0%","96,0%","89,8%","100,0%","100,0%","97,2%"
Cotas mezanino / PL,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%"
Cotas subordinadas / PL,"0,0%","4,0%","10,2%","0,0%","0,0%","2,8%"
Séries/classes emitidas identificadas,5,4,2,1,1,2
Volume emitido identificado (R$ mm),1.090,3.500,170,405,250,15.007
Primeira emissão identificada,27/05/2024,20/03/2025,27/03/2026,03/07/2024,03/09/2025,08/01/2026
Última emissão identificada,02/12/2025,26/11/2025,27/03/2026,03/07/2024,03/09/2025,08/01/2026
