Fundo,CNPJ,Data,Tipo,Documento,Espécie,Arquivo,ID CVM
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,19/04/2024,assembleia,Instrumento Particular de Constituição/Encerramento do Fundo,,data/raw/54871427000194/670687_assembleia_assembleia_670687_2024-04-19.pdf,670687
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,19/04/2024,regulamento,Regulamento,,data/raw/54871427000194/670689_regulamento_regulamento_670689_2024-04-19.pdf,670689
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,28/04/2024,regulamento,Regulamento,,data/raw/54871427000194/670691_regulamento_regulamento_670691_2024-04-28.pdf,670691
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,24/05/2024,assembleia,Instrumento Particular de Emissão de Cotas,,data/raw/54871427000194/668387_assembleia_assembleia_668387_2024-05-24.pdf,668387
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,27/05/2024,emissao,Anúncio de Início,,data/raw/54871427000194/669104_emissao_emissao_669104_2024-05-27.pdf,669104
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,28/05/2024,regulamento,Instrumento Particular de Alteração do Regulamento,,data/raw/54871427000194/670690_regulamento_regulamento_670690_2024-05-28.pdf,670690
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,06/2024,outro,Informe Trimestral,,,716994
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,11/06/2024,emissao,Anúncio de Encerramento,,data/raw/54871427000194/677544_emissao_emissao_677544_2024-06-11.pdf,677544
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,13/06/2024,emissao,Anúncio de Início,,data/raw/54871427000194/679614_emissao_emissao_679614_2024-06-13.pdf,679614
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,13/06/2024 20:00,assembleia,AGE,Ata da Assembleia,data/raw/54871427000194/683482_assembleia_assembleia_683482_2024-06-13.pdf,683482
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,09/2024,outro,Informe Trimestral,,,778334
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,12/2024,outro,Informe Trimestral,,,839147
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,10/12/2024,emissao,Anúncio de Encerramento,,data/raw/54871427000194/798101_emissao_emissao_798101_2024-12-10.pdf,798101
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,31/12/2024,outro,Demonstrações Financeiras,,,870070
