Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
BTG PACTUAL CERES CONFINA FUNDO DE I,62.696.791/0001-93,27/03/2026,2ª emissão subordinada júnior,Subordinada,20.000,"R$ 1.000,00","20,0",Residual / sem parâmetro definido,—,1148821_assembleia_assembleia_1148821_2026-03-27.pdf · p.1
BTG PACTUAL CERES CONFINA FUNDO DE I,62.696.791/0001-93,27/03/2026,2ª emissão sênior,Sênior,150.000,"R$ 1.000,00","150,0",—,—,1148821_assembleia_assembleia_1148821_2026-03-27.pdf · p.2
CLASSE CONSIGNADO PRIVADO DO MT GLOB,63.953.620/0001-65,08/01/2026,1ª emissão senior CP,Sênior,15.000.000,"R$ 1.000,00","15.000,0",—,—,1087883_assembleia_assembleia_1087883_2026-01-08.pdf · p.2
CLASSE CONSIGNADO PRIVADO DO MT GLOB,63.953.620/0001-65,08/01/2026,1ª emissão subordinada CP,Subordinada,7.000,"R$ 1.000,00","7,0",Residual / sem parâmetro definido,—,1087883_assembleia_assembleia_1087883_2026-01-08.pdf · p.2
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,27/05/2024,Classe única - 1ª emissão aprovada,Classe única,140.000,"R$ 1.000,00","140,0",Benchmark: valor patrimonial da cota; sem spread DI/CDI,Sem calendário fixo identificado,668387_assembleia_assembleia_668387_2024-05-24.pdf · p.1-2; 669104_emissao_emissao_669104_2024-05-27.pdf · p.1
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,27/05/2024,Classe única - 1ª emissão encerrada,Classe única,135.000,"R$ 1.000,00","135,0",Benchmark: valor patrimonial da cota; sem spread DI/CDI,Sem calendário fixo identificado,677544_emissao_emissao_677544_2024-06-11.pdf · p.1
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,13/06/2024,Classe única - 2ª emissão aprovada,Classe única,110.000,"R$ 1.000,00","110,0",Benchmark: valor patrimonial da cota; sem spread DI/CDI,Sem calendário fixo identificado,683482_assembleia_assembleia_683482_2024-06-13.pdf · p.1; 679614_emissao_emissao_679614_2024-06-13.pdf · p.1
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,13/06/2024,Classe única - 2ª emissão encerrada,Classe única,55.000,"R$ 1.000,00","55,0",Benchmark: valor patrimonial da cota; sem spread DI/CDI,Sem calendário fixo identificado,798101_emissao_emissao_798101_2024-12-10.pdf · p.1
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,02/12/2025,Classe única - nova emissão privada 2025,Classe única,—,Valor da cota em circulação na data aplicável,"650,0",Benchmark: valor patrimonial da cota; sem spread DI/CDI,Sem calendário fixo identificado,1055482_assembleia_assembleia_1055482_2025-12-02.pdf · p.1
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,20/03/2025,1ª Série Senior,Sênior,475.000,"R$ 1.000,00","475,0","CDI + 4,80% a.a.",—,993785_assembleia_assembleia_993785_2025-03-20.pdf · p.2 e p.5
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,20/03/2025,1ª emissão subordinada,Subordinada,25.000,"R$ 1.000,00","25,0",Residual / sem parâmetro definido,—,993785_assembleia_assembleia_993785_2025-03-20.pdf · p.2
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,12/05/2025,2ª Série Senior,Sênior,1.000.000,"R$ 1.000,00","1.000,0",—,—,911262_assembleia_assembleia_911262_2025-05-09.pdf · p.1-2; 1004656_assembleia_assembleia_1004656_2025-05-12.pdf · p.2
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,26/11/2025,3ª Série Senior,Sênior,2.000.000,"R$ 1.000,00","2.000,0","CDI + 1,50% a.a.",—,1049114_assembleia_assembleia_1049114_2025-11-26.pdf · p.1-3
PLGN MARKETPLACE FUNDO DE INVESTIMEN,55.563.624/0001-09,03/07/2024,1ª emissão,Cotas,405.000,"R$ 1.000,00","405,0",—,—,691674_assembleia_assembleia_691674_2024-07-03.pdf · p.2-3; 811323_emissao_emissao_811323_2024-12-30.pdf · p.1
V CDT 1,62.552.447/0001-20,03/09/2025,1ª emissão,Cotas,250.000,"R$ 1.000,00","250,0",—,—,988020_assembleia_assembleia_988020_2025-09-03.pdf · p.2 e p.6
