grupo,cnpj,fundo,documentos_inventariados,pdfs_locais_analisaveis,documentos_sem_pdf_local,paginas_pdf_locais,quebra_por_categoria
Cloudwalk,42.085.816/0001-05,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,52,18,34,616,outro: 34; regulamento: 11; assembleia: 7
Cloudwalk,42.085.830/0001-09,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,41,13,28,437,outro: 28; regulamento: 9; assembleia: 4
Cloudwalk,42.102.603/0001-44,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,50,23,27,768,outro: 27; regulamento: 13; assembleia: 8; evento: 1; emissao: 1
Cloudwalk,44.124.617/0001-94,CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,47,17,30,538,outro: 30; regulamento: 10; assembleia: 6; evento: 1
Cloudwalk,54.218.673/0001-41,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,28,16,12,628,outro: 12; regulamento: 6; emissao: 5; evento: 3; assembleia: 2
Cloudwalk,54.218.941/0001-25,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,27,16,11,629,outro: 11; regulamento: 6; emissao: 5; evento: 3; assembleia: 2
Cloudwalk,54.219.179/0001-00,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,28,16,12,633,outro: 12; regulamento: 6; emissao: 5; evento: 3; assembleia: 2
Cloudwalk,54.248.022/0001-02,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,29,17,12,649,outro: 12; regulamento: 6; emissao: 5; evento: 4; assembleia: 2
Cloudwalk,57.609.282/0001-46,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,26,15,11,384,outro: 11; regulamento: 8; assembleia: 5; evento: 1; emissao: 1
Cloudwalk,60.356.171/0001-80,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,16,9,7,318,outro: 7; regulamento: 3; emissao: 3; assembleia: 3
Cloudwalk,62.393.679/0001-83,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,35,25,10,1129,assembleia: 10; outro: 10; regulamento: 9; emissao: 6
