Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
CLOUDWALK A.I.,57.609.282/0001-46,14/10/2024,1ª série mezanino,Mezanino,260.000,"R$ 1.000,00","260,0","DI + 3,85% a.a.",Remuneração mensal; amortização programada de 08/06/2027 a 08/11/2027,757906_regulamento_regulamento_757906_2024-10-14.pdf · p.6-7 · ID 757906
CLOUDWALK A.I.,57.609.282/0001-46,14/10/2024,1ª série sênior,Sênior,1.680.000,"R$ 1.000,00","1.680,0","DI + 0,85% a.a.",Remuneração mensal; amortização programada de 08/06/2027 a 08/11/2027,757906_regulamento_regulamento_757906_2024-10-14.pdf · p.3-4 · ID 757906
CLOUDWALK AKIRA I,42.085.830/0001-09,21/01/2022,1ª série sênior,Sênior,—,—,"500,0","DI + 1,14% a.a.",—,259042_regulamento_regulamento_259042_2022-01-21.pdf · p.3 · ID 259042
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,21/01/2022,1ª série sênior,Sênior,—,—,"1.500,0","DI + 1,34% a.a.",—,479404_regulamento_regulamento_479404_2022-01-21.pdf · p.3 · ID 479404
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,23/08/2023,1ª série sênior - rerratificação 2023,Sênior,—,—,—,"DI + 1,35% a.a.",—,512611_assembleia_assembleia_512611_2023-08-23.pdf · p.6 · ID 512611
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,19/08/2024,1ª série sênior - rerratificação 2024,Sênior,—,—,—,"DI + 1,35% a.a.",—,724048_assembleia_assembleia_724048_2024-08-19.pdf · p.3 · ID 724048
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,28/02/2025,1ª série sênior - rerratificação 2025,Sênior,—,—,—,"DI + 1,35% a.a.",—,851797_assembleia_assembleia_851797_2025-02-28.pdf · p.4 · ID 851797
CLOUDWALK BELA,62.393.679/0001-83,16/09/2025,1ª série mezanino A,Mezanino,303.093,"R$ 1.000,00","303,1","DI + 1,35% a.a.",Remuneração mensal; amortização programada de 15/10/2029 a 15/09/2030,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.149-152
CLOUDWALK BELA,62.393.679/0001-83,16/09/2025,1ª série mezanino B,Mezanino,259.794,"R$ 1.000,00","259,8","DI + 4,20% a.a.",Remuneração mensal; amortização programada de 15/10/2029 a 15/09/2030,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.160-163
CLOUDWALK BELA,62.393.679/0001-83,16/09/2025,1ª série sênior,Sênior,3.637.113,"R$ 1.000,00","3.637,1","DI + 0,75% a.a.",Remuneração mensal; amortização programada de 15/10/2029 a 15/09/2030,988402_regulamento_regulamento_988402_2025-09-09.pdf · p.8-10 · 1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.139-141
CLOUDWALK BELA,62.393.679/0001-83,27/02/2026,2ª série mezanino A,Mezanino,396.907,"R$ 1.000,00","396,9","DI + 1,35% a.a.",Remuneração mensal; amortização programada de 26/03/2030 a 26/02/2031,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.153-156
CLOUDWALK BELA,62.393.679/0001-83,27/02/2026,2ª série mezanino B,Mezanino,340.207,"R$ 1.000,00","340,2","DI + 4,20% a.a.",Remuneração mensal; amortização programada de 26/03/2030 a 26/02/2031,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.164-166
CLOUDWALK BELA,62.393.679/0001-83,27/02/2026,2ª série sênior,Sênior,4.762.886,"R$ 1.000,00","4.762,9","DI + 0,75% a.a.",Remuneração mensal; amortização programada de 26/03/2030 a 26/02/2031,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.142-145 · 1124808_emissao_emissao_1124808_2026-02-27.pdf
CLOUDWALK BIG PICTURE I,54.218.673/0001-41,15/04/2024,1ª série sênior,Sênior,877.500,"R$ 1.000,00","877,5",Benchmark em apêndice; spread não localizado nos PDFs baixados,—,620348_emissao_emissao_620348_2024-03-14.pdf · 643240_emissao_emissao_643240_2024-04-22.pdf · 644981_emissao_emissao_644981_2024-04-25.pdf
CLOUDWALK BIG PICTURE II,54.218.941/0001-25,15/04/2024,1ª série sênior,Sênior,291.000,"R$ 1.000,00","291,0",Benchmark em apêndice; spread não localizado nos PDFs baixados,—,620351_emissao_emissao_620351_2024-03-14.pdf · 643242_emissao_emissao_643242_2024-04-22.pdf · 644982_emissao_emissao_644982_2024-04-25.pdf
CLOUDWALK BIG PICTURE III,54.219.179/0001-00,15/04/2024,1ª série sênior,Sênior,142.500,"R$ 1.000,00","142,5",Benchmark em apêndice; spread não localizado nos PDFs baixados,—,620353_emissao_emissao_620353_2024-03-14.pdf · 643243_emissao_emissao_643243_2024-04-22.pdf · 644983_emissao_emissao_644983_2024-04-25.pdf
CLOUDWALK BIG PICTURE IV,54.248.022/0001-02,16/04/2024,1ª série sênior,Sênior,240.000,"R$ 1.000,00","240,0",Benchmark em apêndice; spread não localizado nos PDFs baixados,—,620354_emissao_emissao_620354_2024-03-14.pdf · 641900_emissao_emissao_641900_2024-04-16.pdf · 643244_emissao_emissao_643244_2024-04-22.pdf · 644984_emissao_emissao_644984_2024-0...
CLOUDWALK KICK ASS I,42.085.816/0001-05,23/08/2021,1ª série sênior,Sênior,—,—,—,"DI + 1,15% a.a.",—,209028_regulamento_regulamento_209028_2021-08-23.pdf · p.4 · ID 209028
CLOUDWALK KICK ASS I,42.085.816/0001-05,01/09/2021,Cotas subordinadas,Subordinada,—,—,"5,6",Residual / sem parâmetro definido,Sem calendário fixo identificado,211003_assembleia_assembleia_211003_2021-09-01.pdf · ID 211003
CLOUDWALK KICK ASS II,42.102.603/0001-44,23/08/2021,1ª série sênior,Sênior,—,—,—,"DI + 1,35% a.a.",—,209947_regulamento_regulamento_209947_2021-08-23.pdf · p.4 · ID 209947
CLOUDWALK KICK ASS II,42.102.603/0001-44,02/09/2021,Cotas subordinadas,Subordinada,—,—,"18,0",Residual / sem parâmetro definido,Sem calendário fixo identificado,211105_assembleia_assembleia_211105_2021-09-02.pdf · ID 211105
CLOUDWALK KICK ASS II,42.102.603/0001-44,21/01/2022,1ª série sênior - alteração,Sênior,—,—,"1.500,0","DI + 1,34% a.a.",—,259049_regulamento_regulamento_259049_2022-01-21.pdf · p.3 · ID 259049
CLOUDWALK KICK ASS II,42.102.603/0001-44,23/08/2023,1ª série sênior - rerratificação,Sênior,—,—,—,"DI + 1,37% a.a.",—,512614_assembleia_assembleia_512614_2023-08-23.pdf · p.6 · ID 512614
CLOUDWALK PI,60.356.171/0001-80,11/04/2025,1ª série mezanino A,Mezanino,—,—,"226,7","DI + 1,70% a.a.",Remuneração mensal; amortização programada de 23/05/2029 a 23/04/2030,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.15-17 · ID 883040
CLOUDWALK PI,60.356.171/0001-80,11/04/2025,1ª série mezanino B,Mezanino,—,—,"194,3","DI + 4,99% a.a.",Remuneração mensal; amortização programada de 23/05/2029 a 23/04/2030,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.19-21 · ID 883040
CLOUDWALK PI,60.356.171/0001-80,11/04/2025,1ª série sênior,Sênior,1.650.000.000,"R$ 1,00","1.650,0","DI + 0,95% a.a.",Remuneração mensal; amortização programada de 23/05/2029 a 23/04/2030,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.6-8 · ID 883040
CLOUDWALK PI,60.356.171/0001-80,11/04/2025,2ª série sênior,Sênior,1.070.554.462,"R$ 1,00","1.070,6","DI + 0,95% a.a.",Remuneração mensal; amortização programada de 23/05/2029 a 23/04/2030,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.10-11 · ID 883040
