fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Limites de concentração,Limites de concentração,—,Até 100% em mesmo devedor/grupo e até 100% por mesmo endossante/originador,nao_monitoravel,—,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.11 · itens 4.10 e 4.11.2
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,>=,50% após 180 dias da 1ª integralização,monitoravel,Dir Cred / PL,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.11 · item 4.9
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Composição tributária buscada pelo gestor,Composição tributária buscada pelo gestor,>=,67% em direitos creditórios para regime tributário,direto com ressalva,Dir Cred / PL,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.5 · cap. tributação
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Day trade vedado,Day trade vedado,—,Operações de day trade vedadas,nao_monitoravel,—,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.13 · item 4.16
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Critérios de elegibilidade dos recebíveis,Critérios de elegibilidade dos recebíveis,—,CCBs sem parcela cedida; sem atraso; prestação > R$30; idade + prazo <= 80 anos; demais critérios documentais,nao_monitoravel,—,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.9-10 · item 4.7
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Eventos de avaliação,Eventos de avaliação,—,RAET/liquidação de endossante; descumprimentos contratuais; não entrega de arquivos/documentos; problemas com convênios/licenças; violações legais,nao_monitoravel,—,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.17-19 · item 11.1
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,PL mínimo operacional,PL mínimo operacional,>=,R$ 1.000.000 após 90 dias de atividade; evento se inferior por 90 dias consecutivos,parcial,PL,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.19 · item 11.3(iv)
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Derivativos apenas para proteção ou troca de indexador,Derivativos apenas para proteção ou troca de indexador,—,Permitidos se proteção patrimonial ou troca de indexador sem exposição a risco de capital,parcial,Posições mantidas em derivativos,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.13 · item 4.15
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Recompra ou indenização pelo endossante,Recompra ou indenização pelo endossante,—,"Endossante deve recomprar/indenizar em vícios de formalização, fraude, divergências ou disputas especificadas",nao_monitoravel,—,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.12 · item 4.13
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Cotas pari passu sem subordinação,Cotas pari passu sem subordinação,—,"Não há preferência, prioridade ou subordinação entre titulares de cotas",monitoravel,"Cotas SR / PL %, Cotas MZ / PL %, Cotas Sub / PL %",670691_regulamento_regulamento_670691_2024-04-28.pdf · p.13-14 · itens 5.1 e 5.4
