grupo,cnpj,fundo,documentos_inventariados,pdfs_locais_analisaveis,documentos_sem_pdf_local,paginas_pdf_locais,quebra_por_categoria
Crédito IFs - Mar26,08.692.888/0001-82,CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,79,33,46,1166,outro: 46; assembleia: 24; regulamento: 6; emissao: 3
Crédito IFs - Mar26,50.473.039/0001-02,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,44,21,23,1047,assembleia: 6; emissao: 7; outro: 23; regulamento: 8
Crédito IFs - Mar26,62.838.025/0001-16,ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,10,9,1,142,assembleia: 6; regulamento: 3; outro: 1
Crédito IFs - Mar26,55.070.804/0001-59,ESTRATÉGIA VINCULADA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,14,5,9,157,outro: 9; emissao: 2; assembleia: 2; regulamento: 1
Crédito IFs - Mar26,28.169.275/0001-72,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,71,21,50,993,outro: 50; assembleia: 10; regulamento: 6; emissao: 3; evento: 2
Crédito IFs - Mar26,35.868.110/0001-54,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BV - CRÉDITO DE VEÍCULOS RESPONSABILIDADE LIMITADA,52,26,26,874,outro: 26; assembleia: 13; regulamento: 10; evento: 2; emissao: 1
Crédito IFs - Mar26,54.559.035/0001-94,ESTRATÉGIA VINCULADA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,17,7,10,405,outro: 10; assembleia: 3; regulamento: 2; emissao: 2
Crédito IFs - Mar26,50.988.212/0001-05,CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II-RESPONSABILIDADE LIMITADA,40,26,14,655,assembleia: 17; outro: 14; regulamento: 7; emissao: 2
Crédito IFs - Mar26,62.626.887/0001-85,SUMUP SMART IV FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,24,17,7,796,assembleia: 9; regulamento: 8; outro: 7
Crédito IFs - Mar26,45.598.747/0001-21,SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,40,14,26,374,outro: 26; regulamento: 9; assembleia: 2; emissao: 2; evento: 1
Crédito IFs - Mar26,62.588.266/0001-54,VTK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,13,10,3,583,regulamento: 4; outro: 3; assembleia: 3; emissao: 3
Crédito IFs - Mar26,63.546.406/0001-94,PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,9,9,0,262,emissao: 4; regulamento: 3; assembleia: 1; evento: 1
Crédito IFs - Mar26,42.085.830/0001-09,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,41,13,28,437,outro: 28; regulamento: 9; assembleia: 4
Crédito IFs - Mar26,42.085.816/0001-05,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,52,18,34,616,outro: 34; regulamento: 11; assembleia: 7
Crédito IFs - Mar26,51.957.370/0001-52,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ FGTS I - RESPONSABILIDADE LIMITADA,44,27,17,719,outro: 17; assembleia: 12; regulamento: 10; emissao: 5
Crédito IFs - Mar26,55.401.645/0001-28,QUATÁ FDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,33,24,9,891,regulamento: 11; outro: 9; assembleia: 6; emissao: 5; evento: 2
Crédito IFs - Mar26,26.749.095/0001-34,PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,80,33,47,1519,outro: 47; assembleia: 16; emissao: 9; regulamento: 8
Crédito IFs - Mar26,54.810.968/0001-02,ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,25,16,9,441,outro: 9; assembleia: 8; regulamento: 6; emissao: 2
