Nome,CARTÃO DE COMPRA SUPPLIER,SELLER FIDC,ENDURANCE,ESTRATÉGIA VINCULADA II,PAGSEGURO I,BV - CRÉDITO DE VEÍCULOS,ESTRATÉGIA VINCULADA I,CARTÃO DE COMPRA SUPPLIER II,SUMUP SMART IV FIDC,SUMUP SOLO DE RESPONSABILI,VTK,PINE INSS III,CLOUDWALK AKIRA I,CLOUDWALK KICK ASS I,ANGÁ FGTS I,QUATÁ FDC FGTS,PRAVALER CRÉDITO UNIVERSITÁRIO II -,ANGÁ FGTS III
Grupo,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26,Crédito IFs - Mar26
CNPJ,08.692.888/0001-82,50.473.039/0001-02,62.838.025/0001-16,55.070.804/0001-59,28.169.275/0001-72,35.868.110/0001-54,54.559.035/0001-94,50.988.212/0001-05,62.626.887/0001-85,45.598.747/0001-21,62.588.266/0001-54,63.546.406/0001-94,42.085.830/0001-09,42.085.816/0001-05,51.957.370/0001-52,55.401.645/0001-28,26.749.095/0001-34,54.810.968/0001-02
Páginas locais analisadas,1166,1047,142,157,993,874,405,655,796,374,583,262,437,616,719,891,1519,441
Última competência IME,03/2026,03/2026,04/2026,03/2026,03/2026,09/2025,03/2026,03/2026,03/2026,03/2026,03/2026,—,04/2026,02/2026,03/2026,03/2026,03/2026,03/2026
PL (R$ mm),R$ 2 mm,R$ 4.157 mm,R$ 2.008 mm,R$ 13 mm,R$ 5.881 mm,R$ 946 mm,R$ 122 mm,R$ 186 mm,R$ 355 mm,R$ 376 mm,R$ 3.069 mm,—,R$ 392 mm,R$ 157 mm,R$ 445 mm,R$ 247 mm,R$ 393 mm,R$ 1.023 mm
Direitos creditórios / PL,"9.771,0%","92,5%","63,6%","83,1%","66,4%","0,7%","98,4%","88,4%","93,5%","94,3%","86,9%",—,"80,3%","81,0%","98,5%","99,8%","97,1%","98,4%"
Vencidos Over 30d / crédito,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",—,"0,0%","0,0%","0,0%","0,1%","1,0%","0,0%"
Vencidos Over 60d / crédito,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",—,"0,0%","0,0%","0,0%","0,1%","0,7%","0,0%"
Vencidos Over 90d / crédito,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",—,"0,0%","0,0%","0,0%","0,1%","0,6%","0,0%"
Vencidos Over 180d / crédito,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",—,"0,0%","0,0%","0,0%","0,0%","0,2%","0,0%"
Vencidos Over 360d / crédito,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",—,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%"
PDD / crédito,"99,9%","0,0%","0,0%","0,0%","0,0%","20,8%","0,0%","0,0%","0,0%","0,0%","0,4%",—,"0,0%","0,0%","0,0%","0,1%","5,1%","0,0%"
PDD / vencidos,"99,9%",—,"0,0%",—,—,"94,2%",—,"0,0%",—,—,"1.130,4%",—,—,—,"194,4%","190,3%","371,4%","392,4%"
Cotas sênior / PL,"0,0%","58,4%","90,3%","73,1%","37,6%","70,8%","86,4%","93,4%","96,6%","93,1%","66,6%",—,"95,9%","92,7%","84,9%","83,1%","76,9%","85,1%"
Cotas mezanino / PL,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","7,8%",—,"0,0%","0,0%","7,8%","13,4%","11,5%","0,0%"
Cotas subordinadas / PL,"100,0%","41,6%","9,7%","10,1%","62,4%","29,2%","12,5%","6,6%","3,4%","6,9%","6,7%",—,"4,1%","7,3%","7,3%","3,5%","11,6%","14,9%"
