Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
ANGÁ FGTS I,51.957.370/0001-52,14/09/2023,Cotas Seniores,Sênior,—,—,—,—,—,520822_regulamento_regulamento_520822_2023-09-14.pdf · ID 520822 · 14/09/2023
ANGÁ FGTS I,51.957.370/0001-52,15/09/2023,COTAS SUBORDINADAS,Subordinada,—,—,—,—,—,525830_emissao_emissao_525830_2023-09-15.pdf · ID 525830 · 15/09/2023
ANGÁ FGTS I,51.957.370/0001-52,20/09/2023,COTAS SENIORES E COTAS,Sênior,—,—,"675,0",—,—,524036_emissao_emissao_524036_2023-09-20.pdf · ID 524036 · 20/09/2023
ANGÁ FGTS I,51.957.370/0001-52,21/09/2023,Cotas Subordinadas Juniores,Subordinada,—,—,—,—,—,524439_assembleia_assembleia_524439_2023-09-21.pdf · ID 524439 · 21/09/2023 14:00
ANGÁ FGTS I,51.957.370/0001-52,22/09/2023,Cotas Seniores,Sênior,—,—,—,—,—,525691_regulamento_regulamento_525691_2023-09-22.pdf · ID 525691 · 22/09/2023
ANGÁ FGTS I,51.957.370/0001-52,12/12/2023,1ª Série,—,—,—,"119,7",—,—,568595_assembleia_assembleia_568595_2023-12-12.pdf · ID 568595 · 12/12/2023 14:00
ANGÁ FGTS I,51.957.370/0001-52,20/12/2023,1ª SÉRIE,—,—,—,"119,7",—,—,574128_emissao_emissao_574128_2023-12-20.pdf · ID 574128 · 20/12/2023
ANGÁ FGTS I,51.957.370/0001-52,04/09/2024,Cotas Seniores”: As cotas da subclasse sênior de emissão desta C,Sênior,—,—,—,—,—,731787_regulamento_regulamento_731787_2024-09-04.pdf · ID 731787 · 04/09/2024
ANGÁ FGTS I,51.957.370/0001-52,07/10/2024,Cotas SenioresAs cotas da subclasse sênior de emissão desta Clas,Sênior,—,—,—,—,—,753152_regulamento_regulamento_753152_2024-10-07.pdf · ID 753152 · 07/10/2024
ANGÁ FGTS I,51.957.370/0001-52,21/03/2025,Cotas Seniores”: As cotas da subclasse sênior de emissão desta C,Sênior,—,—,—,—,—,863171_regulamento_regulamento_863171_2025-03-21.pdf · ID 863171 · 21/03/2025
ANGÁ FGTS I,51.957.370/0001-52,03/04/2025,Cotas Seniores”: As cotas da subclasse sênior de emissão desta C,Sênior,—,—,—,—,—,1025473_regulamento_regulamento_1025473_2025-04-03.pdf · ID 1025473 · 03/04/2025
ANGÁ FGTS III,54.810.968/0001-02,21/05/2024,1ª SÉRIE,—,—,—,"1.520,0",—,—,666840_emissao_emissao_666840_2024-05-21.pdf · ID 666840 · 21/05/2024
