Fundo,CNPJ,Item,Percentual a.a.,Mínimo mensal,Fonte,Versão vigente / base documental,Mudanças relevantes,Status curadoria
CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.692.888/0001-82,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.692.888/0001-82,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62.838.025/0001-16,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62.838.025/0001-16,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
ESTRATÉGIA VINCULADA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.070.804/0001-59,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
ESTRATÉGIA VINCULADA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.070.804/0001-59,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BV - CRÉDITO DE VEÍCULOS RESPONSABILIDADE LIMITADA,35.868.110/0001-54,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BV - CRÉDITO DE VEÍCULOS RESPONSABILIDADE LIMITADA,35.868.110/0001-54,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
ESTRATÉGIA VINCULADA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,54.559.035/0001-94,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
ESTRATÉGIA VINCULADA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,54.559.035/0001-94,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II-RESPONSABILIDADE LIMITADA,50.988.212/0001-05,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
