fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
INOVA CREDTECH II,47.669.476/0001-83,16/08/2022,Limite de concentração,elegibilidade,<=,20%,nao_monitoravel,—,387777_regulamento_regulamento_387777_2022-08-16.pdf
INOVA CREDTECH II,47.669.476/0001-83,12/01/2023,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,100%,nao_monitoravel,—,400722_regulamento_regulamento_400722_2023-01-12.pdf
INOVA CREDTECH II,47.669.476/0001-83,12/01/2023,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,400722_regulamento_regulamento_400722_2023-01-12.pdf
INOVA CREDTECH II,47.669.476/0001-83,12/01/2023,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,"1,0%",nao_monitoravel,—,400722_regulamento_regulamento_400722_2023-01-12.pdf
INOVA CREDTECH II,47.669.476/0001-83,16/08/2022,Cobertura mínima de PDD/provisão,enquadramento,>=,10%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,387777_regulamento_regulamento_387777_2022-08-16.pdf
INOVA CREDTECH II,47.669.476/0001-83,12/01/2023,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,400722_regulamento_regulamento_400722_2023-01-12.pdf
INOVA CREDTECH II,47.669.476/0001-83,16/08/2022,Limite de recompra,enquadramento,<=,2%,monitoravel,Recompras / Crédito ou Recompras / PL,387777_regulamento_regulamento_387777_2022-08-16.pdf
INOVA CREDTECH II,47.669.476/0001-83,12/01/2023,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,<=,—,nao_monitoravel,—,400722_regulamento_regulamento_400722_2023-01-12.pdf
INOVA CREDTECH II,47.669.476/0001-83,12/01/2023,"Troca de administrador, gestor ou prestador-chave","Troca de administrador, gestor ou prestador-chave",—,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,—,400722_regulamento_regulamento_400722_2023-01-12.pdf · ID 400722 · 12/01/2023
INOVA CREDTECH II,47.669.476/0001-83,12/01/2023,Subordinação mínima,enquadramento,>=,25%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",400722_regulamento_regulamento_400722_2023-01-12.pdf
INOVA CREDTECH II,47.669.476/0001-83,12/01/2023,Subordinação mínima,enquadramento,>=,"12,5%",monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",400722_regulamento_regulamento_400722_2023-01-12.pdf
INOVA CREDTECH II,47.669.476/0001-83,12/01/2023,Subordinação mínima,Subordinação mínima,—,25%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",400722_regulamento_regulamento_400722_2023-01-12.pdf · ID 400722 · 12/01/2023
