fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
BASSANO DI GRAPPO,37.645.459/0001-52,04/05/2026,Limite de concentração,elegibilidade,<=,20%,nao_monitoravel,—,1180462_regulamento_regulamento_1180462_2026-05-04.pdf
BASSANO DI GRAPPO,37.645.459/0001-52,04/05/2026,Limite de concentração,elegibilidade,>=,67%,nao_monitoravel,—,1180462_regulamento_regulamento_1180462_2026-05-04.pdf
BASSANO DI GRAPPO,37.645.459/0001-52,04/05/2026,Alocação mínima em direitos creditórios,enquadramento,>=,67%,monitoravel,Dir Cred / PL,1180462_regulamento_regulamento_1180462_2026-05-04.pdf
BASSANO DI GRAPPO,37.645.459/0001-52,08/06/2020,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,—,nao_monitoravel,—,191679_regulamento_regulamento_191679_2020-06-08.pdf
BASSANO DI GRAPPO,37.645.459/0001-52,08/06/2020,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,191679_regulamento_regulamento_191679_2020-06-08.pdf
BASSANO DI GRAPPO,37.645.459/0001-52,08/06/2020,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,—,nao_monitoravel,—,191682_regulamento_regulamento_191682_2020-06-08.pdf
BASSANO DI GRAPPO,37.645.459/0001-52,08/06/2020,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,191682_regulamento_regulamento_191682_2020-06-08.pdf
BASSANO DI GRAPPO,37.645.459/0001-52,04/05/2026,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,1180462_regulamento_regulamento_1180462_2026-05-04.pdf
BASSANO DI GRAPPO,37.645.459/0001-52,04/05/2026,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,texto,—,nao_monitoravel,—,1180462_regulamento_regulamento_1180462_2026-05-04.pdf
BASSANO DI GRAPPO,37.645.459/0001-52,04/05/2026,"Troca de administrador, gestor ou prestador-chave","Troca de administrador, gestor ou prestador-chave",—,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,—,1180462_regulamento_regulamento_1180462_2026-05-04.pdf · ID 1180462 · 04/05/2026
