fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Limite de concentração,elegibilidade,<=,7%,nao_monitoravel,—,1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Limite de concentração,elegibilidade,<=,50%,nao_monitoravel,—,1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Limite de concentração,elegibilidade,<=,10%,nao_monitoravel,—,1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Alocação mínima em direitos creditórios,enquadramento,>=,67%,monitoravel,Dir Cred / PL,1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Atraso/Inadimplência - evento de avaliação,avaliação,<=,10%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Atraso/Inadimplência - evento de avaliação,Atraso/Inadimplência - evento de avaliação,—,10%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,<=,5%,nao_monitoravel,—,1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Cobertura mínima de PDD/provisão,enquadramento,>=,100%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Cobertura mínima de PDD/provisão,Cobertura mínima de PDD/provisão,—,100%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,texto,—,nao_monitoravel,—,1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,<=,—,nao_monitoravel,—,1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,"Troca de administrador, gestor ou prestador-chave","Troca de administrador, gestor ou prestador-chave",—,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,—,1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Subordinação mínima,enquadramento,>=,"181,82%",monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Subordinação mínima,enquadramento,>=,22%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Subordinação mínima,enquadramento,>=,8%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1011996_regulamento_regulamento_1011996_2025-10-13.pdf
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Subordinação mínima,Subordinação mínima,—,8%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Subordinação mínima,Subordinação mínima,—,22%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/10/2025,Subordinação mínima,Subordinação mínima,—,"181,82%",monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025
