Nome,INVESTCRED
Grupo,FIDC Investcred (Credsystem)
CNPJ,29.226.654/0001-10
Páginas locais analisadas,778
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,6
Volume emitido identificado (R$ mm),540
Primeira emissão identificada,29/10/2021
Última emissão identificada,28/10/2025
"Emissões detectadas (data, classe, preço e volume)","29/10/2021 · 1ª série sênior - 1ª emissão · Sênior: Qtd 50.000; Preço R$ 1.000,00; R$ 50 mm; Rem 130% da Taxa DI
29/10/2021 · 1ª série sênior - 2ª emissão · Sênior: Qtd 98.067; Preço Valor da cota da 1ª emissão atualizado; R$ 100 mm; Rem Conforme 1ª emissão: 130% da Taxa DI
29/10/2021 · 1ª série sênior - 3ª emissão · Sênior: Qtd 238.195,4209; Preço Valor da cota da 1ª emissão atualizado; R$ 100 mm; Rem Conforme 1ª emissão: 130% da Taxa DI
09/12/2024 · 1ª série subordinada júnior - 4ª emissão · Subordinada: Qtd 50.000; Preço R$ 1.000,00; R$ 50 mm; Rem Sem remuneração-alvo definida
28/10/2025 · 2ª série sênior · Sênior: Qtd 150.000; Preço R$ 1.000,00; R$ 150 mm; Rem DI + 2,50% a.a.
28/10/2025 · 3ª série sênior · Sênior: Qtd 90.000; Preço R$ 1.000,00; R$ 90 mm; Rem DI + 2,50% a.a."
Remuneração-alvo por emissão detectada,"29/10/2021 · 1ª série sênior - 1ª emissão · Sênior: 130% da Taxa DI
29/10/2021 · 1ª série sênior - 2ª emissão · Sênior: Conforme 1ª emissão: 130% da Taxa DI
29/10/2021 · 1ª série sênior - 3ª emissão · Sênior: Conforme 1ª emissão: 130% da Taxa DI
09/12/2024 · 1ª série subordinada júnior - 4ª emissão · Subordinada: Sem remuneração-alvo definida
28/10/2025 · 2ª série sênior · Sênior: DI + 2,50% a.a.
28/10/2025 · 3ª série sênior · Sênior: DI + 2,50% a.a."
Amortização/vencimento por emissão detectada,"29/10/2021 · 1ª série sênior - 1ª emissão · Sênior: Rentabilidade amortizada trimestralmente; principal em parcela única em 12/11/2024
29/10/2021 · 1ª série sênior - 2ª emissão · Sênior: Conforme suplemento da 1ª emissão; resgate em 12/11/2024
29/10/2021 · 1ª série sênior - 3ª emissão · Sênior: Conforme suplemento da 1ª emissão; resgate em 12/11/2024
09/12/2024 · 1ª série subordinada júnior - 4ª emissão · Subordinada: Sem amortização; prazo indeterminado
28/10/2025 · 2ª série sênior · Sênior: Remuneração mensal sem carência; principal com carência de 66 meses; início da amortização do principal em 02/12/2027; resgate 78 meses após emissão
28/10/2025 · 3ª série sênior · Sênior: Remuneração mensal sem carência; principal com carência de 24 meses; início da amortização do principal em 02/12/2027; resgate 36 meses após emissão"
Regulamento-base dos thresholds,29/10/2025 · 1023849_regulamento_regulamento_1023849_2025-10-29.pdf · p.22-24 · arts. 10.1-10.5 · ID 1023849
Alocação mínima em DCs,>= 50% do PL em Direitos Creditórios Elegíveis após 180 dias do início das atividades
Subordinação mínima,"Índice de Cobertura Sênior >= 2,07x e Razão de Garantia >= 307% conforme suplemento"
Evento de avaliação por atraso,">= 62,5% dos Direitos Creditórios da Classe Única; evento se não reenquadrar no mês subsequente ou se novo desenquadramento ocorrer em até 12 meses"
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,"Tabela PDD: 1-14d 1,90%; 15-30d 8,00%; 31-60d 20,00%; 61-90d 50,00%; 91-120d 80,00%; 120-360d 100%; >360d 100%"
Reserva/caixa mínimo,>= 1 mês de despesas ordinárias da Classe Única
Limite de recompra,—
Limite de cancelamento,—
Limite de chargeback/contestação,—
Limites de concentração,<= 5% do PL para Direitos Creditórios Elegíveis e Ativos Financeiros de um mesmo devedor ou mesma coobrigação
Hedges permitidos,Não pode realizar operações em mercados de derivativos
Cross default do cedente,—
Troca de gestor/administrador,Renúncia/substituição de administradora ou gestora exige assembleia/substituição conforme regulamento
Critérios de elegibilidade,CCBs disponibilizadas por instituições conveniadas; não vencidas/inadimplentes na aquisição; prazo máximo de 36 meses; moeda nacional; registro contábil possível; operações de financiamento de faturas/carnês Credsystem em atraso ou parcelados
