fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Cancelamento máximo,enquadramento,<=,25%,parcial,"Recompras / Crédito, baixas ou eventos operacionais informados",1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Cancelamento máximo,enquadramento,<=,25%,parcial,"Recompras / Crédito, baixas ou eventos operacionais informados",1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Cancelamento máximo,Cancelamento máximo,—,25%,parcial,"Recompras / Crédito, baixas ou eventos operacionais informados",1072289_regulamento_regulamento_1072289_2025-12-29.pdf · ID 1072289 · 29/12/2025
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Limite de concentração,elegibilidade,<=,33%,nao_monitoravel,—,1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Limite de concentração,elegibilidade,<=,33%,nao_monitoravel,—,1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Alocação mínima em direitos creditórios,enquadramento,>=,67%,monitoravel,Dir Cred / PL,1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Alocação mínima em direitos creditórios,enquadramento,>=,67%,monitoravel,Dir Cred / PL,1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,25%,nao_monitoravel,—,1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,—,nao_monitoravel,—,1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,25%,nao_monitoravel,—,1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,—,nao_monitoravel,—,1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Reserva ou caixa mínimo,enquadramento,>=,85%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Reserva ou caixa mínimo,enquadramento,>=,95%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Reserva ou caixa mínimo,enquadramento,>=,85%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Reserva ou caixa mínimo,enquadramento,>=,95%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Reserva ou caixa mínimo,Reserva ou caixa mínimo,—,95%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,1072289_regulamento_regulamento_1072289_2025-12-29.pdf · ID 1072289 · 29/12/2025
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Reserva ou caixa mínimo,Reserva ou caixa mínimo,—,85%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,1072289_regulamento_regulamento_1072289_2025-12-29.pdf · ID 1072289 · 29/12/2025
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Cobertura mínima de PDD/provisão,enquadramento,>=,49%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Cobertura mínima de PDD/provisão,enquadramento,>=,10%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Cobertura mínima de PDD/provisão,enquadramento,>=,49%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Cobertura mínima de PDD/provisão,enquadramento,>=,10%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Hedges/derivativos permitidos,enquadramento,texto,33%,parcial,Posições mantidas em derivativos,1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Hedges/derivativos permitidos,enquadramento,texto,17%,parcial,Posições mantidas em derivativos,1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Hedges/derivativos permitidos,enquadramento,texto,17%,parcial,Posições mantidas em derivativos,1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Hedges/derivativos permitidos,enquadramento,texto,33%,parcial,Posições mantidas em derivativos,1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Hedges/derivativos permitidos,Hedges/derivativos permitidos,—,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,1072289_regulamento_regulamento_1072289_2025-12-29.pdf · ID 1072289 · 29/12/2025
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Subordinação mínima,enquadramento,>=,85%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Subordinação mínima,enquadramento,>=,49%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Subordinação mínima,enquadramento,>=,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1072289_regulamento_regulamento_1072289_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Subordinação mínima,enquadramento,>=,85%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Subordinação mínima,enquadramento,>=,49%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Subordinação mínima,enquadramento,>=,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1072290_regulamento_regulamento_1072290_2025-12-29.pdf
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,Subordinação mínima,Subordinação mínima,—,85%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1072289_regulamento_regulamento_1072289_2025-12-29.pdf · ID 1072289 · 29/12/2025
