fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
TRINDADE,36.643.621/0001-30,13/01/2025,Limite de concentração,elegibilidade,>=,20%,nao_monitoravel,—,826314_regulamento_regulamento_826314_2025-01-13.pdf
TRINDADE,36.643.621/0001-30,13/01/2025,Limite de concentração,elegibilidade,>=,67%,nao_monitoravel,—,826314_regulamento_regulamento_826314_2025-01-13.pdf
TRINDADE,36.643.621/0001-30,13/01/2025,Limite de concentração,elegibilidade,<=,20%,nao_monitoravel,—,826314_regulamento_regulamento_826314_2025-01-13.pdf
TRINDADE,36.643.621/0001-30,13/01/2025,Alocação mínima em direitos creditórios,enquadramento,>=,67%,monitoravel,Dir Cred / PL,826314_regulamento_regulamento_826314_2025-01-13.pdf
TRINDADE,36.643.621/0001-30,02/03/2020,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,—,nao_monitoravel,—,185850_regulamento_regulamento_185850_2020-03-02.pdf
TRINDADE,36.643.621/0001-30,02/03/2020,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,185850_regulamento_regulamento_185850_2020-03-02.pdf
TRINDADE,36.643.621/0001-30,02/03/2020,Critérios de elegibilidade dos direitos creditórios,Critérios de elegibilidade dos direitos creditórios,—,Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.,nao_monitoravel,—,185850_regulamento_regulamento_185850_2020-03-02.pdf · ID 185850 · 02/03/2020
TRINDADE,36.643.621/0001-30,13/01/2025,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,826314_regulamento_regulamento_826314_2025-01-13.pdf
TRINDADE,36.643.621/0001-30,02/03/2020,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,<=,—,nao_monitoravel,—,185850_regulamento_regulamento_185850_2020-03-02.pdf
TRINDADE,36.643.621/0001-30,02/03/2020,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,texto,—,nao_monitoravel,—,185850_regulamento_regulamento_185850_2020-03-02.pdf
TRINDADE,36.643.621/0001-30,02/03/2020,"Troca de administrador, gestor ou prestador-chave","Troca de administrador, gestor ou prestador-chave",—,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,—,185850_regulamento_regulamento_185850_2020-03-02.pdf · ID 185850 · 02/03/2020
