fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Cancelamento máximo,enquadramento,<=,"0,20%",parcial,"Recompras / Crédito, baixas ou eventos operacionais informados",790548_regulamento_regulamento_790548_2024-11-28.pdf
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Cancelamento máximo,Cancelamento máximo,—,"0,20%",parcial,"Recompras / Crédito, baixas ou eventos operacionais informados",790548_regulamento_regulamento_790548_2024-11-28.pdf · ID 790548 · 28/11/2024
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Limite de concentração,elegibilidade,<=,100%,nao_monitoravel,—,790548_regulamento_regulamento_790548_2024-11-28.pdf
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Alocação mínima em direitos creditórios,enquadramento,>=,15%,monitoravel,Dir Cred / PL,790548_regulamento_regulamento_790548_2024-11-28.pdf
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Alocação mínima em direitos creditórios,enquadramento,>=,67%,monitoravel,Dir Cred / PL,790548_regulamento_regulamento_790548_2024-11-28.pdf
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,—,67%,monitoravel,Dir Cred / PL,790548_regulamento_regulamento_790548_2024-11-28.pdf · ID 790548 · 28/11/2024
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,67%,nao_monitoravel,—,790548_regulamento_regulamento_790548_2024-11-28.pdf
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,790548_regulamento_regulamento_790548_2024-11-28.pdf
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Critérios de elegibilidade dos direitos creditórios,Critérios de elegibilidade dos direitos creditórios,—,Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.,nao_monitoravel,—,790548_regulamento_regulamento_790548_2024-11-28.pdf · ID 790548 · 28/11/2024
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Reserva ou caixa mínimo,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,790548_regulamento_regulamento_790548_2024-11-28.pdf
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,790548_regulamento_regulamento_790548_2024-11-28.pdf
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Hedges/derivativos permitidos,Hedges/derivativos permitidos,—,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,790548_regulamento_regulamento_790548_2024-11-28.pdf · ID 790548 · 28/11/2024
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,texto,—,nao_monitoravel,—,790548_regulamento_regulamento_790548_2024-11-28.pdf
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,>=,50%,nao_monitoravel,—,790548_regulamento_regulamento_790548_2024-11-28.pdf
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Subordinação mínima,enquadramento,>=,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",790548_regulamento_regulamento_790548_2024-11-28.pdf
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Subordinação mínima,Subordinação mínima,—,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",790548_regulamento_regulamento_790548_2024-11-28.pdf · ID 790548 · 28/11/2024
