Nome,SELLER FIDC,SELLER II,SELLER 3
Grupo,FIDC Sellers (Soma),FIDC Sellers (Soma),FIDC Sellers (Soma)
CNPJ,50.473.039/0001-02,55.471.753/0001-77,63.572.282/0001-11
Páginas locais analisadas,1047,491,488
Última competência IME,03/2026,03/2026,03/2026
PL (R$ mm),R$ 4.157 mm,R$ 2.635 mm,R$ 1.762 mm
Direitos creditórios / PL,"92,5%","94,8%","99,8%"
Vencidos Over 30d / crédito,"0,0%","0,0%","0,0%"
Vencidos Over 60d / crédito,"0,0%","0,0%","0,0%"
Vencidos Over 90d / crédito,"0,0%","0,0%","0,0%"
Vencidos Over 180d / crédito,"0,0%","0,0%","0,0%"
Vencidos Over 360d / crédito,"0,0%","0,0%","0,0%"
PDD / crédito,"0,0%","0,0%","0,0%"
PDD / vencidos,—,—,—
Cotas sênior / PL,"58,4%","38,2%","86,9%"
Cotas mezanino / PL,"0,0%","0,0%","0,0%"
Cotas subordinadas / PL,"41,6%","61,8%","13,1%"
Séries/classes emitidas identificadas,11,7,9
Volume emitido identificado (R$ mm),10.275,2.050,4.729
Primeira emissão identificada,22/05/2023,10/06/2024,23/01/2025
Última emissão identificada,29/05/2025,06/09/2024,05/02/2026
