fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
SIFRA LP,41.351.629/0001-63,01/09/2025,Limite de concentração,elegibilidade,<=,30%,nao_monitoravel,—,1014987_regulamento_regulamento_1014987_2025-09-01.pdf
SIFRA LP,41.351.629/0001-63,01/09/2025,Limite de concentração,elegibilidade,<=,7%,nao_monitoravel,—,1014987_regulamento_regulamento_1014987_2025-09-01.pdf
SIFRA LP,41.351.629/0001-63,01/09/2025,Limite de concentração,elegibilidade,<=,10%,nao_monitoravel,—,1014987_regulamento_regulamento_1014987_2025-09-01.pdf
SIFRA LP,41.351.629/0001-63,01/09/2025,Limite de concentração,Limite de concentração,—,30%,nao_monitoravel,—,1014987_regulamento_regulamento_1014987_2025-09-01.pdf · ID 1014987 · 01/09/2025
SIFRA LP,41.351.629/0001-63,01/09/2025,Limite de concentração,Limite de concentração,—,10%,nao_monitoravel,—,1014987_regulamento_regulamento_1014987_2025-09-01.pdf · ID 1014987 · 01/09/2025
SIFRA LP,41.351.629/0001-63,01/09/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,<=,—,nao_monitoravel,—,1014987_regulamento_regulamento_1014987_2025-09-01.pdf
SIFRA LP,41.351.629/0001-63,01/09/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,"5,00%",nao_monitoravel,—,1014987_regulamento_regulamento_1014987_2025-09-01.pdf
SIFRA LP,41.351.629/0001-63,01/09/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,—,nao_monitoravel,—,1014987_regulamento_regulamento_1014987_2025-09-01.pdf
SIFRA LP,41.351.629/0001-63,01/09/2025,Critérios de elegibilidade dos direitos creditórios,Critérios de elegibilidade dos direitos creditórios,—,Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.,nao_monitoravel,—,1014987_regulamento_regulamento_1014987_2025-09-01.pdf · ID 1014987 · 01/09/2025
SIFRA LP,41.351.629/0001-63,01/09/2025,Limite de recompra,enquadramento,>=,"5,00%",monitoravel,Recompras / Crédito ou Recompras / PL,1014987_regulamento_regulamento_1014987_2025-09-01.pdf
SIFRA LP,41.351.629/0001-63,01/09/2025,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,texto,—,nao_monitoravel,—,1014987_regulamento_regulamento_1014987_2025-09-01.pdf
SIFRA LP,41.351.629/0001-63,01/09/2025,"Troca de administrador, gestor ou prestador-chave","Troca de administrador, gestor ou prestador-chave",—,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,—,1014987_regulamento_regulamento_1014987_2025-09-01.pdf · ID 1014987 · 01/09/2025
SIFRA LP,41.351.629/0001-63,01/09/2025,Subordinação mínima,enquadramento,>=,30%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1014987_regulamento_regulamento_1014987_2025-09-01.pdf
SIFRA LP,41.351.629/0001-63,01/09/2025,Subordinação mínima,Subordinação mínima,—,30%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1014987_regulamento_regulamento_1014987_2025-09-01.pdf · ID 1014987 · 01/09/2025
