grupo,fundo,nome_curto,cnpj,competencia,indicador,valor,unidade,observacao,cache_folder
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,PL (R$),2682976667.8,R$ bruto,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,03/2026,Vencidos > 90 d (R$ MM),362.67744309000005,R$ MM,Visão Executiva canônica; cache IME local a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc,.cache/fundonet-ime/a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc
Mercado Credito Soma,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,03/2026,Vencidos <= 90 d (R$ MM),262.79959256999996,R$ MM,Visão Executiva canônica; cache IME local a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc,.cache/fundonet-ime/a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc
Mercado Credito Soma,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,03/2026,Dir Cred / PL,1.5989500510488224,ratio,Visão Executiva canônica; cache IME local a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc,.cache/fundonet-ime/a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc
Mercado Credito Soma,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,03/2026,Dir Cred (R$ MM),2702.04827771,R$ MM,Visão Executiva canônica; cache IME local a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc,.cache/fundonet-ime/a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc
Mercado Credito Soma,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,03/2026,PL (R$ MM),1689.88910938,R$ MM,Visão Executiva canônica; cache IME local a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc,.cache/fundonet-ime/a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc
Mercado Credito Soma,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,03/2026,PL (R$),1689889109.38,R$ bruto,Visão Executiva canônica; cache IME local a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc,.cache/fundonet-ime/a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Rentabilidade MZ % a.m.,1.47,%,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Cotas MZ / PL %,13.557211763865274,%,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Rentabilidade Sub % a.m.,4.61,%,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,03/2026,Vencidos Total (R$ MM),625.47703566,R$ MM,Visão Executiva canônica; cache IME local a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc,.cache/fundonet-ime/a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Rentabilidade SR % a.m.,0.57,%,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
