Nome,MERCADO CRÉDITO,MERCADO CRÉDITO I BRASIL,MERCADO CRÉDITO II BRASIL
Grupo,Mercado Credito Soma,Mercado Credito Soma,Mercado Credito Soma
CNPJ,33.254.370/0001-04,37.511.828/0001-14,41.970.012/0001-26
Páginas locais analisadas,1282,1951,2964
Última competência IME,03/2026,03/2026,03/2026
PL (R$ mm),R$ 2.683 mm,R$ 744 mm,R$ 1.690 mm
Direitos creditórios / PL,"132,8%","189,9%","159,9%"
Vencidos Over 30d / crédito,"6,0%","34,5%","17,5%"
Vencidos Over 60d / crédito,"4,9%","32,0%","15,3%"
Vencidos Over 90d / crédito,"3,8%","28,9%","13,4%"
Vencidos Over 180d / crédito,"1,1%","20,4%","7,6%"
Vencidos Over 360d / crédito,"0,0%","0,0%","0,0%"
PDD / crédito,"25,5%","49,5%","40,6%"
PDD / vencidos,"323,2%","123,4%","175,3%"
Cotas sênior / PL,"18,7%","68,7%","71,5%"
Cotas mezanino / PL,"0,0%","13,6%","18,8%"
Cotas subordinadas / PL,"81,3%","17,8%","9,7%"
Séries/classes emitidas identificadas,3,2,3
Volume emitido identificado (R$ mm),880,1.400,2.300
Primeira emissão identificada,03/09/2024,12/07/2024,09/08/2023
Última emissão identificada,03/03/2026,13/06/2025,19/12/2025
"Emissões detectadas (data, classe, preço e volume)","03/09/2024 · 2ª série sênior · Sênior: Qtd 80.000; Preço R$ 1.000,00; R$ 80 mm; Rem CDI + 3,50% a.a.
30/04/2025 · 3ª série sênior · Sênior: Qtd 300.000; Preço R$ 1.000,00; R$ 300 mm; Rem DI + 3,00% a.a.
03/03/2026 · 4ª série sênior · Sênior: Qtd 500.000; Preço R$ 1.000,00; R$ 500 mm; Rem DI + 2,50% a.a.","12/07/2024 · Cota sênior única consolidada · Sênior: Qtd 1; Preço R$ 1.300.000.000,00; R$ 1.300 mm; Rem DI + 2,50% a.a.
13/06/2025 · 1ª emissão mezanino · Mezanino: Qtd 100.000; Preço R$ 1.000,00; R$ 100 mm; Rem DI + 5,25% a.a.","09/08/2023 · 2ª emissão sênior · Sênior: Qtd 1.247.000; Preço R$ 561,60; R$ 700 mm; Rem DI + 2,35% a.a.
19/12/2025 · 1ª emissão mezanino · Mezanino: Qtd 400.000; Preço R$ 1.000,00; R$ 400 mm; Rem DI + 5,25% a.a.
19/12/2025 · 1ª emissão sênior · Sênior: Qtd 1.200.000; Preço R$ 1.000,00; R$ 1.200 mm; Rem DI + 1,90% a.a."
