Nome,SELLER FIDC,SELLER II,SELLER 3,Mercado Crédito Merchant,MERCADO CRÉDITO,MERCADO CRÉDITO I BRASIL,MERCADO CRÉDITO II BRASIL
Grupo,Mercado Livre,Mercado Livre,Mercado Livre,Mercado Livre,Mercado Livre,Mercado Livre,Mercado Livre
CNPJ,50.473.039/0001-02,55.471.753/0001-77,63.572.282/0001-11,28.472.333/0001-32,33.254.370/0001-04,37.511.828/0001-14,41.970.012/0001-26
Páginas locais analisadas,1047,491,488,539,1282,1951,2964
Última competência IME,03/2026,03/2026,03/2026,08/2024,03/2026,03/2026,03/2026
PL (R$ mm),R$ 4.157 mm,R$ 2.635 mm,R$ 1.762 mm,R$ 1 mm,R$ 2.683 mm,R$ 744 mm,R$ 1.690 mm
Direitos creditórios / PL,"92,5%","94,8%","99,8%","12.107,8%","132,8%","189,9%","159,9%"
Vencidos Over 30d / crédito,"0,0%","0,0%","0,0%","100,0%","6,0%","34,5%","17,5%"
Vencidos Over 60d / crédito,"0,0%","0,0%","0,0%","100,0%","4,9%","32,0%","15,3%"
Vencidos Over 90d / crédito,"0,0%","0,0%","0,0%","100,0%","3,8%","28,9%","13,4%"
Vencidos Over 180d / crédito,"0,0%","0,0%","0,0%","100,0%","1,1%","20,4%","7,6%"
Vencidos Over 360d / crédito,"0,0%","0,0%","0,0%","100,0%","0,0%","0,0%","0,0%"
PDD / crédito,"0,0%","0,0%","0,0%","100,0%","25,5%","49,5%","40,6%"
PDD / vencidos,—,—,—,"100,0%","323,2%","123,4%","175,3%"
Cotas sênior / PL,"58,4%","38,2%","86,9%","0,0%","18,7%","68,7%","71,5%"
Cotas mezanino / PL,"0,0%","0,0%","0,0%","0,0%","0,0%","13,6%","18,8%"
Cotas subordinadas / PL,"41,6%","61,8%","13,1%","100,0%","81,3%","17,8%","9,7%"
Séries/classes emitidas identificadas,11,7,9,1,3,2,3
Volume emitido identificado (R$ mm),10.275,2.050,4.729,—,880,1.400,2.300
Primeira emissão identificada,22/05/2023,10/06/2024,23/01/2025,03/09/2024,03/09/2024,12/07/2024,09/08/2023
Última emissão identificada,29/05/2025,06/09/2024,05/02/2026,03/09/2024,03/03/2026,13/06/2025,19/12/2025
