Nome,MT CONSIGNADO PRIVADO I,MT CONSIGNADO PRIVADO II,FGTS MT II,MT INSS RECEIVABLES II,MT INSS RECEIVABLES III RESPONSABILI,MT INSS RECEIVABLES V CONSIGNADOS,MT FGTS RECEIVABLES IV,MT INSS RECEIVABLES VI,MT FGTS RECEIVABLES II,CLASSE CONSIGNADO PRIVADO DO MT GLOB
Grupo,MeuTudo Ago-26,MeuTudo Ago-26,MeuTudo Ago-26,MeuTudo Ago-26,MeuTudo Ago-26,MeuTudo Ago-26,MeuTudo Ago-26,MeuTudo Ago-26,MeuTudo Ago-26,MeuTudo Ago-26
CNPJ,60.010.416/0001-12,58.458.416/0001-38,53.179.862/0001-90,40.752.367/0001-86,44.173.467/0001-09,51.290.497/0001-60,62.010.175/0001-37,62.310.468/0001-30,54.464.892/0001-00,63.953.620/0001-65
Páginas locais analisadas,153,399,654,560,364,2955,377,651,940,42
Última competência IME,—,—,—,—,—,—,—,—,—,—
PL (R$ mm),—,—,—,—,—,—,—,—,—,—
Direitos creditórios / PL,—,—,—,—,—,—,—,—,—,—
Vencidos Over 30d / crédito,—,—,—,—,—,—,—,—,—,—
Vencidos Over 60d / crédito,—,—,—,—,—,—,—,—,—,—
Vencidos Over 90d / crédito,—,—,—,—,—,—,—,—,—,—
Vencidos Over 180d / crédito,—,—,—,—,—,—,—,—,—,—
Vencidos Over 360d / crédito,—,—,—,—,—,—,—,—,—,—
PDD / crédito,—,—,—,—,—,—,—,—,—,—
PDD / vencidos,—,—,—,—,—,—,—,—,—,—
Cotas sênior / PL,—,—,—,—,—,—,—,—,—,—
Cotas mezanino / PL,—,—,—,—,—,—,—,—,—,—
Cotas subordinadas / PL,—,—,—,—,—,—,—,—,—,—
Séries/classes emitidas identificadas,4,—,—,—,4,—,—,7,—,2
Volume emitido identificado (R$ mm),3.500,—,—,—,168,—,—,2.238,—,15.007
Primeira emissão identificada,20/03/2025,—,—,—,14/06/2022,—,—,19/08/2025,—,08/01/2026
Última emissão identificada,26/11/2025,—,—,—,30/12/2025,—,—,06/01/2026,—,08/01/2026
"Emissões detectadas (data, classe, preço e volume)","20/03/2025 · 1ª Série Senior · Sênior: Qtd 475.000; Preço R$ 1.000,00; R$ 475 mm; Rem CDI + 4,80% a.a.
20/03/2025 · 1ª emissão subordinada · Subordinada: Qtd 25.000; Preço R$ 1.000,00; R$ 25 mm; Rem Residual / sem parâmetro definido
12/05/2025 · 2ª Série Senior · Sênior: Qtd 1.000.000; Preço R$ 1.000,00; R$ 1.000 mm
26/11/2025 · 3ª Série Senior · Sênior: Qtd 2.000.000; Preço R$ 1.000,00; R$ 2.000 mm; Rem CDI + 1,50% a.a.",—,—,—,"14/06/2022 · Classe/série não identificada: R$ 165 mm
23/09/2022 · Classe/série não identificada: Rem DI + 4,45% a.a.
23/09/2022 · Cotas Subordinadas Júnior do Fundo · Subordinada: R$ 2 mm
10/05/2023 · Cotas Subordinadas Júnior · Subordinada: R$ 1 mm
18/11/2024 · Cotas Seniores serão colocados à disposição do Fundo · Sênior: Rem DI + 4,6% a.a.
28/11/2024 · Classe/série não identificada: Rem DI + 4,45% a.a.
30/12/2025 · Cotas Subordinadas Júnior sem a necessidade de aprovação em assemble · Subordinada: termos econômicos não identificados",—,—,"19/08/2025 · cotas seniores da 1ª (primeira) série da Classe · Sênior: R$ 1 mm
25/08/2025 · Classe/série não identificada: R$ 475 mm
28/08/2025 · Classe/série não identificada: Rem DI + 2,40% a.a.
28/08/2025 · Cotas Subordinadas Júnior e de Cotas Seniores da Classe · Sênior: R$ 15 mm; Rem DI + 2,40% a.a.
04/09/2025 · Classe/série não identificada: Rem DI + 2,40% a.a.
04/09/2025 · Cotas Subordinadas e (b) o Patrimônio Líquido da Classe · Subordinada: termos econômicos não identificados
22/10/2025 · 2ª série: R$ 200 mm
30/10/2025 · 1ª Série: R$ 475 mm; Rem DI + 2,40% a.a.
30/10/2025 · Classe/série não identificada: Rem DI + 2,40% a.a.
03/12/2025 · COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE · Sênior: R$ 324 mm
11/12/2025 · Classe/série não identificada: Rem DI + 1,25% a.a.
05/01/2026 · Cotas Seniores na CVM sob o nº CVM/SER/AUT/FDC/SEC/2026/001 · Sênior: R$ 748 mm
06/01/2026 · Classe/série não identificada: Rem DI + 1% a.a.",—,"08/01/2026 · 1ª emissão senior CP · Sênior: Qtd 15.000.000; Preço R$ 1.000,00; R$ 15.000 mm
08/01/2026 · 1ª emissão subordinada CP · Subordinada: Qtd 7.000; Preço R$ 1.000,00; R$ 7 mm; Rem Residual / sem parâmetro definido"
Remuneração-alvo por emissão detectada,"20/03/2025 · 1ª Série Senior · Sênior: CDI + 4,80% a.a.
20/03/2025 · 1ª emissão subordinada · Subordinada: Residual / sem parâmetro definido
26/11/2025 · 3ª Série Senior · Sênior: CDI + 1,50% a.a.",—,—,—,"23/09/2022 · Classe/série não identificada: DI + 4,45% a.a.
18/11/2024 · Cotas Seniores serão colocados à disposição do Fundo · Sênior: DI + 4,6% a.a.
28/11/2024 · Classe/série não identificada: DI + 4,45% a.a.",—,—,"28/08/2025 · Classe/série não identificada: DI + 2,40% a.a.
28/08/2025 · Cotas Subordinadas Júnior e de Cotas Seniores da Classe · Sênior: DI + 2,40% a.a.
04/09/2025 · Classe/série não identificada: DI + 2,40% a.a.
30/10/2025 · 1ª Série: DI + 2,40% a.a.
30/10/2025 · Classe/série não identificada: DI + 2,40% a.a.
11/12/2025 · Classe/série não identificada: DI + 1,25% a.a.
06/01/2026 · Classe/série não identificada: DI + 1% a.a.",—,08/01/2026 · 1ª emissão subordinada CP · Subordinada: Residual / sem parâmetro definido
Amortização/vencimento por emissão detectada,"20/03/2025 · 1ª Série Senior · Sênior: Sem amortização no período de investimento; após o período, amortização mensal por cash sweep se subordinação atendida.
12/05/2025 · 2ª Série Senior · Sênior: Sem amortização no período de investimento; depois cash sweep mensal conforme suplemento.
26/11/2025 · 3ª Série Senior · Sênior: Sem amortização no período de investimento; após o período, cash sweep mensal.",—,—,—,—,—,—,—,—,—
