fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
MT INSS RECEIVABLES II,40.752.367/0001-86,19/03/2025,Limite de concentração,elegibilidade,<=,100%,nao_monitoravel,—,864357_regulamento_regulamento_864357_2025-03-19.pdf
MT INSS RECEIVABLES II,40.752.367/0001-86,19/03/2025,Limite de concentração,elegibilidade,>=,20%,nao_monitoravel,—,864357_regulamento_regulamento_864357_2025-03-19.pdf
MT INSS RECEIVABLES II,40.752.367/0001-86,19/03/2025,Alocação mínima em direitos creditórios,enquadramento,>=,15%,monitoravel,Dir Cred / PL,864357_regulamento_regulamento_864357_2025-03-19.pdf
MT INSS RECEIVABLES II,40.752.367/0001-86,19/03/2025,Atraso/Inadimplência - evento de avaliação,avaliação,<=,20%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,864357_regulamento_regulamento_864357_2025-03-19.pdf
MT INSS RECEIVABLES II,40.752.367/0001-86,19/03/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,<=,—,nao_monitoravel,—,864357_regulamento_regulamento_864357_2025-03-19.pdf
MT INSS RECEIVABLES II,40.752.367/0001-86,19/03/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,864357_regulamento_regulamento_864357_2025-03-19.pdf
MT INSS RECEIVABLES II,40.752.367/0001-86,19/03/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,5%,nao_monitoravel,—,864357_regulamento_regulamento_864357_2025-03-19.pdf
MT INSS RECEIVABLES II,40.752.367/0001-86,19/03/2025,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,864357_regulamento_regulamento_864357_2025-03-19.pdf
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,28/11/2024,Limite de concentração,elegibilidade,>=,67%,nao_monitoravel,—,791513_regulamento_regulamento_791513_2024-11-28.pdf
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,28/11/2024,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,40%,nao_monitoravel,—,791513_regulamento_regulamento_791513_2024-11-28.pdf
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,28/11/2024,Critérios de elegibilidade dos direitos creditórios,elegibilidade,<=,—,nao_monitoravel,—,791513_regulamento_regulamento_791513_2024-11-28.pdf
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,28/11/2024,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,791513_regulamento_regulamento_791513_2024-11-28.pdf
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,28/11/2024,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,—,nao_monitoravel,—,791513_regulamento_regulamento_791513_2024-11-28.pdf
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,28/11/2024,Critérios de elegibilidade dos direitos creditórios,Critérios de elegibilidade dos direitos creditórios,—,Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.,nao_monitoravel,—,791513_regulamento_regulamento_791513_2024-11-28.pdf · ID 791513 · 28/11/2024
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,28/11/2024,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,791513_regulamento_regulamento_791513_2024-11-28.pdf
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,28/11/2024,Hedges/derivativos permitidos,Hedges/derivativos permitidos,—,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,791513_regulamento_regulamento_791513_2024-11-28.pdf · ID 791513 · 28/11/2024
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,28/11/2024,Subordinação mínima,enquadramento,>=,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",791513_regulamento_regulamento_791513_2024-11-28.pdf
MT INSS RECEIVABLES V CONSIGNADOS,51.290.497/0001-60,08/11/2024,Cancelamento máximo,enquadramento,>=,100%,parcial,"Recompras / Crédito, baixas ou eventos operacionais informados",777584_regulamento_regulamento_777584_2024-11-08.pdf
MT INSS RECEIVABLES V CONSIGNADOS,51.290.497/0001-60,19/02/2025,Limite de concentração,elegibilidade,<=,100%,nao_monitoravel,—,846194_regulamento_regulamento_846194_2025-02-19.pdf
MT INSS RECEIVABLES V CONSIGNADOS,51.290.497/0001-60,28/07/2025,Alocação mínima em direitos creditórios,enquadramento,>=,50%,monitoravel,Dir Cred / PL,956736_regulamento_regulamento_956736_2025-07-28.pdf
MT INSS RECEIVABLES V CONSIGNADOS,51.290.497/0001-60,28/07/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,50%,nao_monitoravel,—,956736_regulamento_regulamento_956736_2025-07-28.pdf
MT INSS RECEIVABLES V CONSIGNADOS,51.290.497/0001-60,28/07/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,1%,nao_monitoravel,—,956736_regulamento_regulamento_956736_2025-07-28.pdf
MT INSS RECEIVABLES V CONSIGNADOS,51.290.497/0001-60,28/07/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,10%,nao_monitoravel,—,956736_regulamento_regulamento_956736_2025-07-28.pdf
MT INSS RECEIVABLES V CONSIGNADOS,51.290.497/0001-60,28/07/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,956736_regulamento_regulamento_956736_2025-07-28.pdf
MT INSS RECEIVABLES V CONSIGNADOS,51.290.497/0001-60,28/07/2025,Reserva ou caixa mínimo,enquadramento,>=,1%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,956736_regulamento_regulamento_956736_2025-07-28.pdf
MT INSS RECEIVABLES V CONSIGNADOS,51.290.497/0001-60,28/07/2025,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,956736_regulamento_regulamento_956736_2025-07-28.pdf
MT INSS RECEIVABLES V CONSIGNADOS,51.290.497/0001-60,08/11/2024,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,texto,—,nao_monitoravel,—,777584_regulamento_regulamento_777584_2024-11-08.pdf
MT INSS RECEIVABLES V CONSIGNADOS,51.290.497/0001-60,08/11/2024,Subordinação mínima,enquadramento,>=,50%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",777584_regulamento_regulamento_777584_2024-11-08.pdf
MT INSS RECEIVABLES V CONSIGNADOS,51.290.497/0001-60,08/11/2024,Subordinação mínima,enquadramento,>=,"7,82%",monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",777584_regulamento_regulamento_777584_2024-11-08.pdf
FGTS MT II,53.179.862/0001-90,07/02/2024,Cancelamento máximo,enquadramento,>=,100%,parcial,"Recompras / Crédito, baixas ou eventos operacionais informados",599028_regulamento_regulamento_599028_2024-02-07.pdf
FGTS MT II,53.179.862/0001-90,14/07/2025,Alocação mínima em direitos creditórios,enquadramento,>=,67%,monitoravel,Dir Cred / PL,948986_regulamento_regulamento_948986_2025-07-14.pdf
FGTS MT II,53.179.862/0001-90,14/07/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,948986_regulamento_regulamento_948986_2025-07-14.pdf
FGTS MT II,53.179.862/0001-90,14/07/2025,Cobertura mínima de PDD/provisão,enquadramento,>=,93%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,948986_regulamento_regulamento_948986_2025-07-14.pdf
FGTS MT II,53.179.862/0001-90,14/07/2025,Hedges/derivativos permitidos,enquadramento,>=,—,parcial,Posições mantidas em derivativos,948986_regulamento_regulamento_948986_2025-07-14.pdf
FGTS MT II,53.179.862/0001-90,14/07/2025,Hedges/derivativos permitidos,enquadramento,texto,20%,parcial,Posições mantidas em derivativos,948986_regulamento_regulamento_948986_2025-07-14.pdf
FGTS MT II,53.179.862/0001-90,14/07/2025,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,948986_regulamento_regulamento_948986_2025-07-14.pdf
FGTS MT II,53.179.862/0001-90,14/07/2025,Limite de recompra,enquadramento,<=,"15,0%",monitoravel,Recompras / Crédito ou Recompras / PL,948986_regulamento_regulamento_948986_2025-07-14.pdf
FGTS MT II,53.179.862/0001-90,14/07/2025,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,texto,—,nao_monitoravel,—,948986_regulamento_regulamento_948986_2025-07-14.pdf
FGTS MT II,53.179.862/0001-90,14/07/2025,Subordinação mínima,enquadramento,>=,1%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",948986_regulamento_regulamento_948986_2025-07-14.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Limite de concentração,elegibilidade,>=,50%,nao_monitoravel,—,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Limite de concentração,elegibilidade,<=,50%,nao_monitoravel,—,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Limite de concentração,elegibilidade,<=,"4,75%",nao_monitoravel,—,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Atraso/Inadimplência - evento de avaliação,avaliação,<=,"2,50%",monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Diluição máxima,enquadramento,<=,1%,nao_monitoravel,—,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Diluição máxima,enquadramento,>=,"1,00%",nao_monitoravel,—,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Diluição máxima,enquadramento,<=,"97,50%",nao_monitoravel,—,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Reserva ou caixa mínimo,enquadramento,>=,"0,66%",parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Reserva ou caixa mínimo,enquadramento,>=,"1,00%",parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Hedges/derivativos permitidos,enquadramento,>=,"2,00%",parcial,Posições mantidas em derivativos,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Hedges/derivativos permitidos,enquadramento,>=,—,parcial,Posições mantidas em derivativos,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Hedges/derivativos permitidos,enquadramento,>=,50%,parcial,Posições mantidas em derivativos,884293_regulamento_regulamento_884293_2025-04-23.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,15/10/2024,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,texto,—,nao_monitoravel,—,759523_regulamento_regulamento_759523_2024-10-15.pdf
MT FGTS RECEIVABLES II,54.464.892/0001-00,23/04/2025,Subordinação mínima,enquadramento,>=,80%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",884293_regulamento_regulamento_884293_2025-04-23.pdf
MT CONSIGNADO PRIVADO II,58.458.416/0001-38,11/07/2025,Cancelamento máximo,enquadramento,>=,10%,parcial,"Recompras / Crédito, baixas ou eventos operacionais informados",947037_regulamento_regulamento_947037_2025-07-11.pdf
MT CONSIGNADO PRIVADO II,58.458.416/0001-38,28/08/2025,Limite de concentração,elegibilidade,>=,67%,nao_monitoravel,—,982232_regulamento_regulamento_982232_2025-08-28.pdf
MT CONSIGNADO PRIVADO II,58.458.416/0001-38,28/08/2025,Limite de concentração,elegibilidade,>=,3%,nao_monitoravel,—,982232_regulamento_regulamento_982232_2025-08-28.pdf
MT CONSIGNADO PRIVADO II,58.458.416/0001-38,28/08/2025,Alocação mínima em direitos creditórios,enquadramento,>=,67%,monitoravel,Dir Cred / PL,982232_regulamento_regulamento_982232_2025-08-28.pdf
MT CONSIGNADO PRIVADO II,58.458.416/0001-38,28/08/2025,Atraso/Inadimplência - evento de avaliação,avaliação,<=,15%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,982232_regulamento_regulamento_982232_2025-08-28.pdf
MT CONSIGNADO PRIVADO II,58.458.416/0001-38,28/08/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,<=,"3,00%",nao_monitoravel,—,982232_regulamento_regulamento_982232_2025-08-28.pdf
MT CONSIGNADO PRIVADO II,58.458.416/0001-38,28/08/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,982232_regulamento_regulamento_982232_2025-08-28.pdf
MT CONSIGNADO PRIVADO II,58.458.416/0001-38,28/08/2025,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,982232_regulamento_regulamento_982232_2025-08-28.pdf
MT CONSIGNADO PRIVADO II,58.458.416/0001-38,28/08/2025,Subordinação mínima,enquadramento,>=,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",982232_regulamento_regulamento_982232_2025-08-28.pdf
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,20/03/2025,Concentração por devedor/endossante,Concentração por devedor/endossante,—,Pode chegar a 100% por mesmo devedor/grupo; não adquirir DCs originados/endossados por administrador/gestor,nao_monitoravel,—,993786_regulamento_regulamento_993786_2025-03-20.pdf · p.12
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,20/03/2025,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,>=,50% após 180 dias da 1ª integralização,monitoravel,Dir Cred / PL,993786_regulamento_regulamento_993786_2025-03-20.pdf · p.12
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,20/03/2025,Composição tributária buscada pelo gestor,Composição tributária buscada pelo gestor,>=,67% em direitos creditórios para regime tributário,direto com ressalva,Dir Cred / PL,993786_regulamento_regulamento_993786_2025-03-20.pdf · p.12
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,09/10/2025,Atraso/Inadimplência - evento de avaliação,avaliação,>=,25%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,1051393_regulamento_regulamento_1051393_2025-10-09.pdf
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,20/03/2025,Elegibilidade/origem Plataforma MT,Elegibilidade/origem Plataforma MT,—,CCB eletrônica de empréstimo consignado concedido pelo Endossante ao Devedor por meio da Plataforma MT,nao_monitoravel,—,993786_regulamento_regulamento_993786_2025-03-20.pdf · p.9 e p.41-46
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,09/10/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,<=,—,nao_monitoravel,—,1051393_regulamento_regulamento_1051393_2025-10-09.pdf
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,09/10/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,1051393_regulamento_regulamento_1051393_2025-10-09.pdf
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,09/10/2025,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,1051393_regulamento_regulamento_1051393_2025-10-09.pdf
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,09/10/2025,Hedges/derivativos permitidos,enquadramento,texto,100%,parcial,Posições mantidas em derivativos,1051393_regulamento_regulamento_1051393_2025-10-09.pdf
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,09/10/2025,Hedges/derivativos permitidos,Hedges/derivativos permitidos,—,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,1051393_regulamento_regulamento_1051393_2025-10-09.pdf · ID 1051393 · 09/10/2025
MT FGTS RECEIVABLES IV,62.010.175/0001-37,13/08/2025,Limite de concentração,elegibilidade,>=,67%,nao_monitoravel,—,971924_regulamento_regulamento_971924_2025-08-13.pdf
