Nome,MULTIPLIKE PLUS
Grupo,MULTIPLIKE PLUS
CNPJ,42.154.687/0001-60
Páginas locais analisadas,2467
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,29
Volume emitido identificado (R$ mm),5.498
Primeira emissão identificada,22/09/2021
Última emissão identificada,13/04/2026
"Emissões detectadas (data, classe, preço e volume)","22/09/2021 · 1ª Série: R$ 200 mm; Rem CDI + 6%
06/10/2021 · 1ª Série: R$ 200 mm; Rem CDI + 6%
10/11/2021 · 1ª Série: R$ 200 mm; Rem DI + 6%
15/03/2022 · cotas Subordinadas · Subordinada: R$ 5 mm; Rem CDI + 5,0%
20/04/2022 · Classe/série não identificada: R$ 150 mm; Rem CDI + 6%
17/05/2022 · Cotas Subordinadas Juniores emitidas · Subordinada: R$ 28 mm
18/05/2022 · Cotas Subordinadas · Subordinada: R$ 28 mm
03/06/2022 · Classe/série não identificada: Rem DI + 6,00% a.a.
03/06/2022 · Cotas Seniores ou classes de Cotas Subordinadas Mezanino pela Ad · Sênior: R$ 450 mm; Rem CDI + 3,75%
08/06/2022 · Cotas Seniores cuja emissão foi aprovada · Sênior: R$ 450 mm; Rem CDI + 3,75%
15/07/2022 · 6ª Série: Rem CDI + 3,25%
29/08/2022 · Cotas Subordinadas Juniores ofertas · Subordinada: R$ 112 mm
05/12/2022 · Classe/série não identificada: Rem DI + 6,00% a.a.
27/02/2023 · 6ª Série: Rem CDI + 3,25%
13/06/2023 · Classe/série não identificada: Rem DI + 6,00% a.a.
25/07/2023 · Classe/série não identificada: Rem DI + 6,00% a.a.
08/09/2023 · Classe/série não identificada: Rem DI + 6,00% a.a.
01/11/2023 · Classe/série não identificada: R$ 35 mm
01/11/2023 · cotas Mezanino 3 do · Mezanino: R$ 15 mm
01/11/2023 · cotas Mezanino 3 integrantes da · Mezanino: R$ 15 mm
03/11/2023 · Classe/série não identificada: Rem DI + 6,00% a.a.
08/11/2023 · Classe/série não identificada: Rem DI + 6,00% a.a.
08/11/2023 · Cotas Subordinadas Mezanino do Fundo · Mezanino: R$ 35 mm; Rem CDI + 2,75% a.a.
22/12/2023 · Classe/série não identificada: R$ 25 mm
20/02/2024 · Classe/série não identificada: R$ 25 mm
13/05/2024 · Cotas Subordinadas Mezanino 4 · Mezanino: R$ 58 mm; Rem CDI + 4,3%a.a.
14/06/2024 · Classe/série não identificada: Rem DI + 6,00% a.a.
21/08/2024 · Classe/série não identificada: R$ 75 mm; Rem CDI + 2,10% a.a.
27/09/2024 · Classe/série não identificada: Rem DI + 6,00% a.a.
02/10/2024 · cotas MEZANINO 5 do · Mezanino: R$ 30 mm
25/10/2024 · 12ª Série: R$ 105 mm; Rem DI + 2,30% a.a.
04/11/2024 · 12ª SÉRIE: R$ 105 mm
04/11/2024 · 12ª Série: Rem DI + 2,30% a.a.
18/11/2024 · Classe/série não identificada: Rem DI + 6,00% a.a.
03/12/2024 · cotas MEZANINO 7 do · Mezanino: R$ 12 mm
13/03/2025 · Classe/série não identificada: R$ 90 mm
17/03/2025 · cota Mezanino · Mezanino: R$ 90 mm; Rem CDI + 4,20% a.a.
24/03/2025 · Classe/série não identificada: Rem DI + 6,00% a.a.
08/04/2025 · 15ª série: R$ 600 mm; Rem DI + 2,40% a.a.
09/04/2025 · Classe/série não identificada: R$ 300 mm
30/04/2025 · Classe/série não identificada: Rem DI + 6,00% a.a.
05/06/2025 · Classe/série não identificada: R$ 100 mm
02/10/2025 · Cotas Seniores ou classes de Cotas Subordinadas Mezanino · Sênior: R$ 100 mm; Rem CDI + 3,3% a.a.
08/10/2025 · 10ª Série: Rem CDI + 3,3%
08/10/2025 · cotas MEZANINO 10 do · Mezanino: R$ 100 mm
14/10/2025 · 16ª Série: R$ 300 mm; Rem DI + 1,25% a.a.
17/10/2025 · 16ª SÉRIE: R$ 300 mm
20/10/2025 · 10ª Série: R$ 100 mm; Rem DI + 6,00% a.a.
28/10/2025 · Cotas Seniores ou classes de Cotas · Sênior: R$ 35 mm; Rem CDI + 4% a.a.
04/11/2025 · Cotas Seniores ou classes de Cotas Subordinada s Mezanino · Sênior: R$ 45 mm; Rem CDI + 4% a.a.
05/12/2025 · Cotas Seniores ou classes de Cotas Subordinadas Mezanino · Sênior: R$ 65 mm; Rem CDI + 1,55% a.a.
28/01/2026 · Cotas Mezanino · Mezanino: R$ 50 mm; Rem CDI + 4,00% a.a.
29/01/2026 · cotas MEZANINO 13 do · Mezanino: R$ 50 mm
02/03/2026 · 14ª Série: R$ 75 mm; Rem DI + 3,5% a.a.
05/03/2026 · cotas MEZANINO 14 do · Mezanino: R$ 75 mm
10/03/2026 · Cotas Seniores ou classes de Cotas Subordinadas Mezanino · Sênior: R$ 35 mm; Rem CDI + 1,55% a.a.
11/03/2026 · Cotas Sêniores · Sênior: R$ 120 mm; Rem CDI + 2,00% a.a.
18/03/2026 · Classe/série não identificada: Rem DI + 6,00% a.a.
20/03/2026 · 20ª Série: R$ 120 mm; Rem DI + 6,00% a.a.
20/03/2026 · 20ª Série: Rem DI + 2,00% a.a.
20/03/2026 · 20ª Série: R$ 50 mm; Rem DI + 6,00% a.a.
20/03/2026 · Classe/série não identificada: R$ 120 mm
13/04/2026 · 21ª Série: R$ 210 mm; Rem CDI + 2,00%
13/04/2026 · 21ª série: Rem DI + 6,00% a.a.
13/04/2026 · Classe/série não identificada: R$ 10 mm"
