Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
MULTIPLIKE PLUS,42.154.687/0001-60,22/09/2021,1ª Série,—,—,—,"200,0",CDI + 6%,—,217426_emissao_emissao_217426_2021-09-22.pdf · ID 217426 · 22/09/2021
MULTIPLIKE PLUS,42.154.687/0001-60,06/10/2021,1ª Série,—,—,—,"200,0",CDI + 6%,—,224046_emissao_emissao_224046_2021-10-06.pdf · ID 224046 · 06/10/2021
MULTIPLIKE PLUS,42.154.687/0001-60,10/11/2021,1ª Série,—,—,—,"200,0",DI + 6%,—,238930_emissao_emissao_238930_2021-11-10.pdf · ID 238930 · 10/11/2021
MULTIPLIKE PLUS,42.154.687/0001-60,15/03/2022,cotas Subordinadas,Subordinada,—,—,"5,0","CDI + 5,0%",—,279543_assembleia_assembleia_279543_2022-03-15.pdf · ID 279543 · 15/03/2022 11:00
MULTIPLIKE PLUS,42.154.687/0001-60,20/04/2022,Classe/série não identificada,—,—,—,"150,0",CDI + 6%,—,297354_assembleia_assembleia_297354_2022-04-20.pdf · ID 297354 · 20/04/2022 15:00
MULTIPLIKE PLUS,42.154.687/0001-60,17/05/2022,Cotas Subordinadas Juniores emitidas,Subordinada,—,—,"28,0",—,—,306555_assembleia_assembleia_306555_2022-05-17.pdf · ID 306555 · 17/05/2022 15:00
MULTIPLIKE PLUS,42.154.687/0001-60,18/05/2022,Cotas Subordinadas,Subordinada,—,—,"28,0",—,—,307396_emissao_emissao_307396_2022-05-18.pdf · ID 307396 · 18/05/2022
MULTIPLIKE PLUS,42.154.687/0001-60,03/06/2022,Classe/série não identificada,—,—,—,—,"DI + 6,00% a.a.",—,313543_regulamento_regulamento_313543_2022-06-03.pdf · ID 313543 · 03/06/2022
MULTIPLIKE PLUS,42.154.687/0001-60,03/06/2022,Cotas Seniores ou classes de Cotas Subordinadas Mezanino pela Ad,Sênior,—,—,"450,0","CDI + 3,75%",—,313538_assembleia_assembleia_313538_2022-06-03.pdf · ID 313538 · 03/06/2022 10:00
MULTIPLIKE PLUS,42.154.687/0001-60,08/06/2022,Cotas Seniores cuja emissão foi aprovada,Sênior,—,—,"450,0","CDI + 3,75%",—,313544_regulamento_regulamento_313544_2022-06-08.pdf · ID 313544 · 08/06/2022
