grupo,fundo,nome_curto,cnpj,competencia,indicador,valor,unidade,observacao,cache_folder
Pravaler,CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,03/2026,PL (R$),1333931514.48,R$ bruto,Visão Executiva canônica; cache IME local d48fc9925e2f9d97bf53b1bbc3a03dc9f5bf1efa99947956ef8db72d43376840,.cache/fundonet-ime/d48fc9925e2f9d97bf53b1bbc3a03dc9f5bf1efa99947956ef8db72d43376840
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,03/2026,PDD / Crédito,0.047372386109557955,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,02/2026,PDD / Crédito,0.04275454853392772,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,01/2026,PDD / Crédito,0.04312262567126753,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,12/2025,PDD / Crédito,0.04694861227625955,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,11/2025,PDD / Crédito,0.046660028825615874,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,10/2025,PDD / Crédito,0.044334630806824045,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,09/2025,PDD / Crédito,0.04337050856230839,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,08/2025,PDD / Crédito,0.042648196096141094,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,10/2024,PDD (R$ MM),6.140677,R$ MM,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,07/2025,PDD / Crédito,0.04744285155139206,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,05/2025,PDD / Crédito,0.0636144106328994,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,04/2025,PDD / Crédito,0.06010068202982758,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,03/2025,PDD / Crédito,0.062213955280548544,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
Pravaler,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,02/2025,PDD / Crédito,0.06158128019210696,ratio,Visão Executiva canônica; cache IME local 2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44,.cache/fundonet-ime/2d1f16bfb138570697fc35c0674bd9c367d6eb8d6cea5d6dca1cf38dbb0c6b44
