Nome,CRÉDITO UNIVERSITÁRIO,PRAVALER CRÉDITO UNIVERSITÁRIO II,CRÉDITO UNIVERSITÁRIO IV,CREDITO UNIVERSITARIO III
Grupo,Pravaler,Pravaler,Pravaler,Pravaler
CNPJ,08.417.544/0001-65,26.749.095/0001-34,55.983.705/0001-68,34.408.539/0001-04
Páginas locais analisadas,1082,1519,900,1663
Última competência IME,03/2026,03/2026,03/2026,03/2026
PL (R$ mm),R$ 1.334 mm,R$ 393 mm,R$ 185 mm,R$ 145 mm
Direitos creditórios / PL,"93,1%","97,1%","92,0%","391,3%"
Vencidos Over 30d / crédito,"1,0%","1,0%","1,0%","1,2%"
Vencidos Over 60d / crédito,"0,7%","0,7%","0,7%","1,0%"
Vencidos Over 90d / crédito,"0,6%","0,6%","0,5%","0,7%"
Vencidos Over 180d / crédito,"0,2%","0,2%","0,2%","0,3%"
Vencidos Over 360d / crédito,"0,0%","0,0%","0,0%","0,0%"
PDD / crédito,"4,6%","5,1%","4,7%","4,3%"
PDD / vencidos,"330,6%","371,4%","334,0%","250,3%"
Cotas sênior / PL,"77,0%","76,9%","80,0%","72,4%"
Cotas mezanino / PL,"9,4%","11,5%","8,9%","0,0%"
Cotas subordinadas / PL,"13,5%","11,6%","11,1%","27,6%"
Séries/classes emitidas identificadas,24,12,7,5
Volume emitido identificado (R$ mm),1.843,443,330,65
Primeira emissão identificada,05/02/2021,03/08/2021,16/07/2024,02/06/2021
Última emissão identificada,02/07/2025,13/08/2025,09/04/2026,03/10/2024
