Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
CREDITO UNIVERSITARIO III,34.408.539/0001-04,02/06/2021,Cotas Mezanino B,Mezanino,não identificado,"R$ 0,01",—,"Benchmark 10,00% a.a.",—,181768_assembleia_assembleia_181768_2021-06-02.pdf · p. regulamento anexo · ID 181768
CREDITO UNIVERSITARIO III,34.408.539/0001-04,02/06/2021,Cotas Seniores,Sênior,não identificado,"R$ 0,01",—,"Benchmark 9,00% a.a.",Pagamento de rendimentos mensal; vencimento até 25/09/2024,181768_assembleia_assembleia_181768_2021-06-02.pdf · p. regulamento anexo · ID 181768
CREDITO UNIVERSITARIO III,34.408.539/0001-04,02/06/2021,Cotas Subordinadas,Subordinada,não identificado,"R$ 0,01",—,"Benchmark 15,00% a.a.",—,181768_assembleia_assembleia_181768_2021-06-02.pdf · p. regulamento anexo · ID 181768
CREDITO UNIVERSITARIO III,34.408.539/0001-04,21/09/2023,Cotas Seniores III,Sênior,não identificado,Não identificado nos PDFs baixados,—,"DI + 3,95% a.a.",—,526619_assembleia_assembleia_526619_2023-09-21.pdf · p. apêndice · ID 526619
CREDITO UNIVERSITARIO III,34.408.539/0001-04,03/10/2024,Cotas Subordinadas Júnior,Subordinada,não identificado,Não identificado nos PDFs baixados,"65,0",Residual / sem parâmetro definido,Sem calendário fixo identificado,751179_assembleia_assembleia_751179_2024-10-03.pdf · ID 751179
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,05/02/2021,25ª série,Sênior,50.000.000 a 130.000.000,"R$ 1,00","130,0","IPCA + 5,25% a.a. ou NTN-B 2024 + 3,30% a.a. (maior)",60 meses; 12 meses de carência; depois 1/48 do principal por mês; juros mensais sem carência,147591_assembleia_assembleia_147591_2021-02-05.pdf · p. ata/anexo · ID 147591
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,05/02/2021,Subordinada Mezanino F,Mezanino,até 10.000.000,"R$ 1,00","10,0","DI + 5,50% a.a.",60 meses; 12 meses de carência; depois 1/48 do principal por mês; juros mensais sem carência,147591_assembleia_assembleia_147591_2021-02-05.pdf · p. ata/anexo · ID 147591
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,22/07/2021,26ª série,Sênior,50.000.000 a 125.000.000,"R$ 1,00","125,0","DI + 3,30% a.a.",84 meses; 12 meses de carência; depois 1/72 do principal por mês; juros mensais sem carência,197229_assembleia_assembleia_197229_2021-07-22.pdf · p. ata/anexo · ID 197229
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,22/07/2021,Subordinada Mezanino G,Mezanino,até 10.000.000,"R$ 1,00","10,0","DI + 4,55% a.a.",84 meses; 12 meses de carência; depois 1/72 do principal por mês; juros mensais sem carência,197229_assembleia_assembleia_197229_2021-07-22.pdf · p. ata/anexo · ID 197229
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,23/12/2021,27ª série,Sênior,50.000.000 a 110.000.000,"R$ 1,00","110,0","Taxa DI + até 2,90% a.a. (bookbuilding)",60 meses; 12 meses de carência; depois 1/48 do principal por mês; juros mensais sem carência,256459_assembleia_assembleia_256459_2021-12-23.pdf · p. ata/anexo · ID 256459
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,23/12/2021,28ª série,Sênior,2.000.000 a 20.000.000,"R$ 1,00","20,0","Taxa DI + até 3,25% a.a. (bookbuilding)",84 meses; 12 meses de carência; depois 1/72 do principal por mês; juros mensais sem carência,256459_assembleia_assembleia_256459_2021-12-23.pdf · p. ata/anexo · ID 256459
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,23/12/2021,Subordinada Mezanino H,Mezanino,até 15.000.000,"R$ 1,00","15,0","DI + 4,50% a.a.",84 meses; 12 meses de carência; depois 1/72 do principal por mês; juros mensais sem carência,256459_assembleia_assembleia_256459_2021-12-23.pdf · p. ata/anexo · ID 256459
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,11/07/2022,29ª série,Sênior,50.000.000 a 160.000.000,"R$ 1,00","160,0","Taxa DI + até 2,80% a.a. (bookbuilding)",60 meses; 12 meses de carência; amortização programada mensal após carência,324285_assembleia_assembleia_324285_2022-07-11.pdf · p. ata/anexo · ID 324285
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,11/07/2022,30ª série,Sênior,2.000.000 a 20.000.000,"R$ 1,00","20,0",Taxa DI + sobretaxa sênior definida em bookbuilding,120 meses; 12 meses de carência; amortização programada mensal após carência,324285_assembleia_assembleia_324285_2022-07-11.pdf · ID 324285
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,11/07/2022,Subordinada Mezanino I,Mezanino,não identificado,"R$ 1,00",—,Taxa DI + sobretaxa mezanino definida em bookbuilding,—,324285_assembleia_assembleia_324285_2022-07-11.pdf · ID 324285
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,05/05/2023,32ª série,Sênior,não identificado,"R$ 1,00",—,"Taxa DI + até 3,50% a.a. (bookbuilding)",—,458966_assembleia_assembleia_458966_2023-05-05.pdf · ID 458966
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,05/05/2023,Subordinada Mezanino I-J,Mezanino,não identificado,"R$ 1,00",—,"Taxa DI + até 4,75% a.a. (bookbuilding)",—,458966_assembleia_assembleia_458966_2023-05-05.pdf · ID 458966
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,05/05/2023,Subordinada Mezanino II-A,Mezanino,não identificado,"R$ 1,00",—,"Taxa DI + até 6,50% a.a. (bookbuilding)",—,458966_assembleia_assembleia_458966_2023-05-05.pdf · ID 458966
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,09/06/2023,31ª série,Sênior,até 242.038.461,"R$ 1,00","242,0","Taxa DI + até 3,25% a.a. (bookbuilding)",Prazo de 36 meses; 12 meses de carência; amortização programada após carência,458966_assembleia_assembleia_458966_2023-05-05.pdf; 475826_emissao_emissao_475826_2023-06-09.pdf; 479908_emissao_emissao_479908_2023-06-15.pdf
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,09/02/2024,33ª série,Sênior,200.000.000,"R$ 1,00","200,0","DI + 2,10% a.a.",60 meses; 12 meses de carência; amortização programada após carência,596947_assembleia_assembleia_596947_2024-02-06.pdf; 602486_emissao_emissao_602486_2024-02-09.pdf
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,09/02/2024,Subordinada Mezanino I-K,Mezanino,19.000.000,"R$ 1,00","19,0","DI + 3,70% a.a.",60 meses; 12 meses de carência; amortização programada após carência,596947_assembleia_assembleia_596947_2024-02-06.pdf; 602486_emissao_emissao_602486_2024-02-09.pdf
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,09/02/2024,Subordinada Mezanino I-L,Mezanino,1.000.000,"R$ 1,00","1,0","DI + 4,60% a.a.",96 meses; 12 meses de carência; amortização programada após carência,596947_assembleia_assembleia_596947_2024-02-06.pdf; 602486_emissao_emissao_602486_2024-02-09.pdf
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,09/02/2024,Subordinada Mezanino II-B,Mezanino,4.000.000,"R$ 1,00","4,0",Taxa DI + sobretaxa mezanino definida em bookbuilding,—,602486_emissao_emissao_602486_2024-02-09.pdf · ID 602486
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,09/02/2024,Subordinada Mezanino II-C,Mezanino,1.000.000,"R$ 1,00","1,0",Taxa DI + sobretaxa mezanino definida em bookbuilding,—,602486_emissao_emissao_602486_2024-02-09.pdf · ID 602486
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,24/09/2024,34ª série,Sênior,276.400.000,"R$ 1,00","276,4","DI + 1,40% a.a.",60 meses; 12 meses de carência; amortização programada após carência,743529_emissao_emissao_743529_2024-09-24.pdf; 743627_assembleia_assembleia_743627_2024-09-24.pdf
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,24/09/2024,Subordinada Mezanino II-D,Mezanino,24.000.000,"R$ 1,00","24,0","DI + 3,90% a.a.",60 meses; 12 meses de carência; amortização programada após carência,743529_emissao_emissao_743529_2024-09-24.pdf; 743627_assembleia_assembleia_743627_2024-09-24.pdf
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,02/07/2025,35ª série,Sênior,até 468.000.000,"R$ 1,00","468,0",Taxa DI + sobretaxa sênior definida em bookbuilding,72 meses; 12 meses de carência; amortização programada após carência,928766_assembleia_assembleia_928766_2025-06-30.pdf; 939731_emissao_emissao_939731_2025-07-02.pdf; 974566_emissao_emissao_974566_2025-08-12.pdf
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,02/07/2025,Subordinada Mezanino I-M,Mezanino,até 5.000.000,"R$ 1,00","5,0",Taxa DI + sobretaxa mezanino definida em bookbuilding,72 meses; 12 meses de carência; amortização programada após carência,928766_assembleia_assembleia_928766_2025-06-30.pdf; 939731_emissao_emissao_939731_2025-07-02.pdf
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,02/07/2025,Subordinada Mezanino II-E,Mezanino,até 3.000.000,"R$ 1,00","3,0",Taxa DI + sobretaxa mezanino definida em bookbuilding,72 meses; 12 meses de carência; amortização programada após carência,928766_assembleia_assembleia_928766_2025-06-30.pdf; 939731_emissao_emissao_939731_2025-07-02.pdf
CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,16/07/2024,Subordinada Júnior,Subordinada,13.600,"R$ 1.000,00","13,6",Residual / sem parâmetro definido,Sem calendário fixo identificado,701561_assembleia_assembleia_701561_2024-07-16.pdf; 751969_regulamento_regulamento_751969_2024-10-03.pdf
CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,27/09/2024,1ª série,Sênior,140.250,"R$ 1.000,00","140,2","DI + 2,20% a.a.",60 meses; 12 meses de carência; amortização programada após carência,701561_assembleia_assembleia_701561_2024-07-16.pdf; 727048_regulamento_regulamento_727048_2024-08-27.pdf; 749953_emissao_emissao_749953_2024-09-27.pdf; 761740_emissao_emissao_76...
CRÉDITO UNIVERSITÁRIO IV,55.983.705/0001-68,27/09/2024,Subordinada Mezanino 1ª emissão,Mezanino,11.550,"R$ 1.000,00","11,6","DI + 4,90% a.a.",60 meses; 12 meses de carência; amortização programada após carência,701561_assembleia_assembleia_701561_2024-07-16.pdf; 727048_regulamento_regulamento_727048_2024-08-27.pdf; 749953_emissao_emissao_749953_2024-09-27.pdf
