fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,18/11/2024,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,—,Dir Cred / PL >= 50%,monitoravel com ressalva,Dir Cred / PL,784311_regulamento_regulamento_784311_2024-11-18.pdf · p.116 · ID 784311
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,18/11/2024,Índice de Atraso Over 180,Índice de Atraso Over 180,—,Over 180 > 8%,monitoravel com ressalva,Vencidos Over 180 d / Crédito,784311_regulamento_regulamento_784311_2024-11-18.pdf · p.97 e p.131 · ID 784311
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,18/11/2024,Índice de Atraso Over 90,Índice de Atraso Over 90,—,"Over 90 > 10,5%",monitoravel com ressalva,Vencidos Over 90 d / Crédito,784311_regulamento_regulamento_784311_2024-11-18.pdf · p.97 e p.131 · ID 784311
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,18/11/2024,Índice de Atraso Over 60,Índice de Atraso Over 60,—,Over 60 > 12%,monitoravel com ressalva,Vencidos Over 60 d / Crédito,784311_regulamento_regulamento_784311_2024-11-18.pdf · p.97 e p.131 · ID 784311
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,18/11/2024,Índice de Atraso Over 30,Índice de Atraso Over 30,—,Over 30 > 14%,monitoravel com ressalva,Vencidos Over 30 d / Crédito,784311_regulamento_regulamento_784311_2024-11-18.pdf · p.97 e p.130 · ID 784311
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,18/11/2024,Reserva de Liquidez,Reserva de Liquidez,—,Maior entre (Reserva de Amortização + Reserva de Despesas e Encargos) e Reserva de Fluxo de Caixa,parcial,Disponibilidades; exige cronograma/fluxo manual,784311_regulamento_regulamento_784311_2024-11-18.pdf · p.65 · ID 784311
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,18/11/2024,Derivativos permitidos,Derivativos permitidos,—,Derivativos de juros e inflação para hedge até 1x PL,parcial,Posições mantidas em derivativos,784311_regulamento_regulamento_784311_2024-11-18.pdf · p.52 · ID 784311
CRÉDITO UNIVERSITÁRIO,08.417.544/0001-65,18/11/2024,Relação Mínima,Relação Mínima,—,PL / Cotas Sênior >= 105%,monitoravel com ressalva,"PL / Cotas Sênior; equivalente a Cotas SR / PL <= 95,24%",784311_regulamento_regulamento_784311_2024-11-18.pdf · p.139 · ID 784311
PRAVALER CRÉDITO UNIVERSITÁRIO II,26.749.095/0001-34,19/11/2025,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,—,Dir Cred / PL >= 50%,monitoravel com ressalva,Dir Cred / PL,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.125 · ID 1061833
PRAVALER CRÉDITO UNIVERSITÁRIO II,26.749.095/0001-34,19/11/2025,Índice de Atraso Over 90,Índice de Atraso Over 90,—,"Over 90 > 8,5%",monitoravel com ressalva,Vencidos Over 90 d / Crédito,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.107 e p.142 · ID 1061833
PRAVALER CRÉDITO UNIVERSITÁRIO II,26.749.095/0001-34,19/11/2025,Índice de Atraso Over 60,Índice de Atraso Over 60,—,Over 60 > 10%,monitoravel com ressalva,Vencidos Over 60 d / Crédito,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.106 e p.141 · ID 1061833
PRAVALER CRÉDITO UNIVERSITÁRIO II,26.749.095/0001-34,19/11/2025,Índice de Atraso Over 30,Índice de Atraso Over 30,—,Over 30 > 12%,monitoravel com ressalva,Vencidos Over 30 d / Crédito,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.106 e p.141 · ID 1061833
PRAVALER CRÉDITO UNIVERSITÁRIO II,26.749.095/0001-34,19/11/2025,Índice de Atraso Over 180,Índice de Atraso Over 180,—,Over 180 > 6%,monitoravel com ressalva,Vencidos Over 180 d / Crédito,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.107 e p.142 · ID 1061833
PRAVALER CRÉDITO UNIVERSITÁRIO II,26.749.095/0001-34,19/11/2025,Índice de Cobertura na integralização,Índice de Cobertura na integralização,—,Índice de Cobertura >= 100%,parcial,Sem proxy completo no IME; exige fator de ponderação e valor presente,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.71 · ID 1061833
PRAVALER CRÉDITO UNIVERSITÁRIO II,26.749.095/0001-34,19/11/2025,Derivativos permitidos,Derivativos permitidos,—,Derivativos de juros e inflação para hedge até 1x PL,parcial,Posições mantidas em derivativos,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.62 · ID 1061833
