Nome,TAMBASA
Grupo,Tambasa
CNPJ,50.327.909/0001-27
Páginas locais analisadas,276
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,2
Volume emitido identificado (R$ mm),200
Primeira emissão identificada,07/03/2024
Última emissão identificada,07/03/2024
"Emissões detectadas (data, classe, preço e volume)","07/03/2024 · COTAS SUBORDINADAS JUNIORES D · Subordinada: R$ 100 mm
07/03/2024 · COTAS SUBORDINADAS JUNIORES DO TAMB · Subordinada: R$ 100 mm"
Remuneração-alvo por emissão detectada,—
Amortização/vencimento por emissão detectada,—
Regulamento-base dos thresholds,06/10/2025 · 1007241_regulamento_regulamento_1007241_2025-10-06.pdf
Alocação mínima em DCs,—
Subordinação mínima,—
Evento de avaliação por atraso,—
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,—
Reserva/caixa mínimo,—
Limite de recompra,—
Limite de cancelamento,—
Limite de chargeback/contestação,—
Limites de concentração,<= 50%
Hedges permitidos,texto
Cross default do cedente,—
Troca de gestor/administrador,texto
Critérios de elegibilidade,texto; Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.
