fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
VALOREM MULTISETORIAL,17.468.142/0001-80,05/04/2023,Limite de concentração,elegibilidade,>=,15%,nao_monitoravel,—,441802_regulamento_regulamento_441802_2023-04-05.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,05/04/2023,Limite de concentração,elegibilidade,<=,20%,nao_monitoravel,—,441802_regulamento_regulamento_441802_2023-04-05.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,05/04/2023,Limite de concentração,elegibilidade,<=,50%,nao_monitoravel,—,441802_regulamento_regulamento_441802_2023-04-05.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Alocação mínima em direitos creditórios,enquadramento,>=,67%,monitoravel,Dir Cred / PL,1157934_regulamento_regulamento_1157934_2026-04-09.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,—,67%,monitoravel,Dir Cred / PL,1157934_regulamento_regulamento_1157934_2026-04-09.pdf · ID 1157934 · 09/04/2026
VALOREM MULTISETORIAL,17.468.142/0001-80,15/07/2021,Atraso/Inadimplência - evento de avaliação,avaliação,<=,66%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,196680_regulamento_regulamento_196680_2021-07-15.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,—,nao_monitoravel,—,1157934_regulamento_regulamento_1157934_2026-04-09.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,1157934_regulamento_regulamento_1157934_2026-04-09.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Reserva ou caixa mínimo,enquadramento,>=,"0,50%",parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,1157934_regulamento_regulamento_1157934_2026-04-09.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Reserva ou caixa mínimo,enquadramento,>=,50%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,1157934_regulamento_regulamento_1157934_2026-04-09.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Reserva ou caixa mínimo,Reserva ou caixa mínimo,—,50%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,1157934_regulamento_regulamento_1157934_2026-04-09.pdf · ID 1157934 · 09/04/2026
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Reserva ou caixa mínimo,Reserva ou caixa mínimo,—,"0,50%",parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,1157934_regulamento_regulamento_1157934_2026-04-09.pdf · ID 1157934 · 09/04/2026
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Cobertura mínima de PDD/provisão,enquadramento,>=,67%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,1157934_regulamento_regulamento_1157934_2026-04-09.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Cobertura mínima de PDD/provisão,enquadramento,<=,4%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,1157934_regulamento_regulamento_1157934_2026-04-09.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Cobertura mínima de PDD/provisão,Cobertura mínima de PDD/provisão,—,67%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,1157934_regulamento_regulamento_1157934_2026-04-09.pdf · ID 1157934 · 09/04/2026
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Cobertura mínima de PDD/provisão,Cobertura mínima de PDD/provisão,—,4%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,1157934_regulamento_regulamento_1157934_2026-04-09.pdf · ID 1157934 · 09/04/2026
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Hedges/derivativos permitidos,enquadramento,texto,20%,parcial,Posições mantidas em derivativos,1157934_regulamento_regulamento_1157934_2026-04-09.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,1157934_regulamento_regulamento_1157934_2026-04-09.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Limite de recompra,enquadramento,>=,5%,monitoravel,Recompras / Crédito ou Recompras / PL,1157934_regulamento_regulamento_1157934_2026-04-09.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Limite de recompra,enquadramento,>=,15%,monitoravel,Recompras / Crédito ou Recompras / PL,1157934_regulamento_regulamento_1157934_2026-04-09.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Limite de recompra,Limite de recompra,—,15%,monitoravel,Recompras / Crédito ou Recompras / PL,1157934_regulamento_regulamento_1157934_2026-04-09.pdf · ID 1157934 · 09/04/2026
VALOREM MULTISETORIAL,17.468.142/0001-80,05/04/2023,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,<=,—,nao_monitoravel,—,441802_regulamento_regulamento_441802_2023-04-05.pdf
VALOREM MULTISETORIAL,17.468.142/0001-80,09/04/2026,Subordinação mínima,enquadramento,>=,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",1157934_regulamento_regulamento_1157934_2026-04-09.pdf
