grupo,fundo,nome_curto,cnpj,data_referencia,categoria,tipo_documento,documento_id,source_file,arquivo_local_existe,page_count,categorias_com_evidencia,paginas_com_evidencia,amostra_trecho,status_auditoria
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,23/10/2020,outro,Relatório de Agência de Rating,157108,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/11/2020 11:00,assembleia,AGE,135822,data/raw/28472333000132/135822_assembleia_assembleia_135822_2020-11-06.pdf,True,5.0,alteracoes_assembleias: 5; amortizacao: 2; cotistas_partes_relacionadas: 5; direitos_creditorios_cessoes: 5; emissoes: 2; governanca_operacional: 5; performance_risco: 2,"1, 2, 3, 4, 5","ATA DA ASSEMBLEIA GERAL DE COTISTAS DO MERCADO CRÉDITO MERCHANT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CNPJ Nº 28.472.333/0001-32 DATA, HORA E LOCAL: Aos 06 dias de novembro de 2020, às 11h, na sede social da VÓRTX Distribuidora de Títulos e Valores Mobiliários Ltda., administradora do MERCADO CRÉDITO MERCHANT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS (“Fundo”), com sede na Rua Gilberto Sabino, n° 215, 4º andar, Pinheiros, na cidade de São Paulo, Estad...",PDF analisado
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,16/11/2020,regulamento,Regulamento,135821,data/raw/28472333000132/135821_regulamento_regulamento_135821_2020-11-16.pdf,True,113.0,alteracoes_assembleias: 5; amortizacao: 5; cotistas_partes_relacionadas: 5; direitos_creditorios_cessoes: 5; emissoes: 5; governanca_operacional: 5; performance_risco: 5; preco_economia: 5; triggers_protecao: 5,"1, 10, 11, 13, 15, 16, 18, 2, 21, 22, 24, 27, 3, 4, 5, 6, 7, 8, 9",REGULAMENTO DO “MERCADO CRÉDITO MERCHANT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS” ________________________ Datado de 16 de novembro de 2020 ________________________,PDF analisado
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,12/2020,outro,Informe Trimestral,146340,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/12/2020,outro,Relatório de Agência de Rating,146344,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/12/2020,outro,Demonstrações Financeiras,166929,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,15/02/2021,outro,Relatório de Agência de Rating,157110,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/2021,outro,Informe Trimestral,173096,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/2021,outro,Informe Trimestral,173101,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/03/2021,outro,Relatório de Agência de Rating,173098,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/2021,outro,Informe Trimestral,205041,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/2021,outro,Informe Trimestral,208366,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,30/06/2021,outro,Relatório de Agência de Rating,205027,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,09/2021,outro,Informe Trimestral,235040,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,30/09/2021,outro,Relatório de Agência de Rating,235044,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,30/09/2021,outro,Relatório de Agência de Rating,235878,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,12/2021,outro,Informe Trimestral,270880,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,12/2021,outro,Informe Trimestral,321401,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/12/2021,outro,Demonstrações Financeiras,510926,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/2022,outro,Informe Trimestral,304904,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/2022,outro,Informe Trimestral,373768,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/2022,outro,Informe Trimestral,340650,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/2022,outro,Informe Trimestral,373901,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,09/2022,outro,Informe Trimestral,376748,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,09/2022,outro,Informe Trimestral,410062,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,12/2022,outro,Informe Trimestral,415493,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,30/12/2022,outro,Relatório de Agência de Rating,410762,,False,,,,,Inventariado sem PDF local
