Nome,MERCADO CRÉDITO,MERCADO CRÉDITO I BRASIL,MERCADO CRÉDITO II BRASIL,Mercado Crédito Merchant,SELLER 3,SELLER FIDC,SELLER II
Grupo,Mercado Crédito,Mercado Crédito,Mercado Crédito,Mercado Crédito,Sellers,Sellers,Sellers
CNPJ,33.254.370/0001-04,37.511.828/0001-14,41.970.012/0001-26,28.472.333/0001-32,63.572.282/0001-11,50.473.039/0001-02,55.471.753/0001-77
Documentos inventariados,75,73,78,52,10,44,28
Pdfs locais analisaveis,30,39,40,14,10,21,13
Documentos sem pdf local,45,34,38,38,0,23,15
Paginas pdf locais,1282,1951,2964,539,488,1047,491
PL (R$),R$ 1.515 mm,—,—,—,—,R$ 4.157 mm,R$ 2.409 mm
Dir Cred / PL,"95,0%",—,—,—,—,"92,5%","91,9%"
Vencidos Over 30 d / Crédito,"4,3%",—,—,—,—,"0,0%","0,0%"
Vencidos Over 60 d / Crédito,"3,7%",—,—,—,—,"0,0%","0,0%"
Vencidos Over 90 d / Crédito,"3,2%",—,—,—,—,"0,0%","0,0%"
Vencidos Over 180 d / Crédito,"1,8%",—,—,—,—,"0,0%","0,0%"
Vencidos Over 360 d / Crédito,"0,0%",—,—,—,—,"0,0%","0,0%"
PDD / Crédito,"13,8%",—,—,—,—,"0,0%","0,0%"
PDD / Venc Total,"277,3%",—,—,—,—,—,—
Cotas SR / PL %,"0,0%",—,—,—,—,"0,0%","0,0%"
Cotas MZ / PL %,—,—,—,—,—,—,—
Cotas Sub / PL %,"0,0%",—,—,—,—,"0,0%","0,0%"
Linhas de emissões/cronogramas,32,31,46,10,18,32,18
Última evidência de emissão,1128340_regulamento_regulamento_1128340_2026-03-03.pdf,1019776_regulamento_regulamento_1019776_2025-10-20.pdf,1077334_regulamento_regulamento_1077334_2025-12-19.pdf,732140_regulamento_regulamento_732140_2024-09-03.pdf,1104314_emissao_emissao_1104314_2026-02-06.pdf,932137_emissao_emissao_932137_2025-06-04.pdf,733048_assembleia_assembleia_733048_2024-09-06.pdf
Alocação mínima em DCs,>= 67%,>= 50%,">= 1,00%",>= 50%,>= 50%,>= 50%,>= 67%
Subordinação mínima,>= 7%,>= 7%,>= 10%,—,>= 10%,>= 10%,">= 3,3%"
Evento avaliação por atraso,<= 35%,<= 8%,—,—,—,—,—
Liquidação/vencimento por atraso,—,<= 10%,—,—,—,—,—
Cobertura mínima PDD,—,—,">= 0,0%",>= 20%,>= 100%,>= 100%,>= 100%
Reserva/caixa mínimo,">= 0,01%",<= 75%,—,—,>= 100 %,>= 100 %,>= 4%
Hedges permitidos,texto,texto,texto,texto,—,—,—
