Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
MERCADO CRÉDITO,33.254.370/0001-04,03/09/2024,2ª série sênior,Sênior,80.000,"R$ 1.000,00","80,0","CDI + 3,50% a.a.","30/01/2025: 8,33%; 28/02/2025: 9,09%; 30/03/2025: 10,00%; 30/04/2025: 11,11%; 30/05/2025: 12,50%; 30/06/2025: 14,29%; 30/07/2025: 16,67%; 30/08/2025: 20,00%; 30/09/2025: 25,00%;...",749010_assembleia_assembleia_749010_2024-09-03.pdf · p.5-8 · ID 749010
MERCADO CRÉDITO,33.254.370/0001-04,30/04/2025,3ª série sênior,Sênior,300.000,"R$ 1.000,00","300,0","DI + 3,00% a.a.","31/05/2026: 4,1667%; 30/06/2026: 4,3478%; 31/07/2026: 4,5455%; 31/08/2026: 4,7619%; 30/09/2026: 5,0000%; 31/10/2026: 5,2632%; 30/11/2026: 5,5556%; 31/12/2026: 5,8824%; 31/01/202...",914383_assembleia_assembleia_914383_2025-04-30.pdf · p.2 e p.6-8 · ID 914383
MERCADO CRÉDITO,33.254.370/0001-04,03/03/2026,4ª série sênior,Sênior,500.000,"R$ 1.000,00","500,0","DI + 2,50% a.a.","31/10/2027: 5,56%; 30/11/2027: 5,88%; 31/12/2027: 6,25%; 31/01/2028: 6,67%; 29/02/2028: 7,14%; 31/03/2028: 7,69%; 30/04/2028: 8,33%; 31/05/2028: 9,09%; 30/06/2028: 10,00%; 31/07...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf · p.2 e p.5-7 · ID 1128337
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,12/07/2024,Cota sênior única consolidada,Sênior,1,"R$ 1.300.000.000,00","1.300,0","DI + 2,50% a.a.",Principal pago mensalmente a partir do mês subsequente à Data Limite para Aquisição de Direitos Creditórios até o resgate em 01/03/2027,939685_regulamento_regulamento_939685_2025-06-13.pdf · p.143-147 · ID 939685
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,13/06/2025,1ª emissão mezanino,Mezanino,100.000,"R$ 1.000,00","100,0","DI + 5,25% a.a.","15/07/2026: 2,78%; 15/08/2026: 2,86%; 15/09/2026: 2,94%; 15/10/2026: 3,03%; 15/11/2026: 3,13%; 15/12/2026: 3,23%; 2027-2029 conforme Anexo A; 15/06/2029: 100,00%",939685_regulamento_regulamento_939685_2025-06-13.pdf · p.153-160 · ID 939685
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,09/08/2023,2ª emissão sênior,Sênior,1.247.000,"R$ 561,60","700,3","DI + 2,35% a.a.",Amortização após 14/04/2027; resgate em 14/10/2031,1077334_regulamento_regulamento_1077334_2025-12-19.pdf · p.167-171 · ID 1077334
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,19/12/2025,1ª emissão mezanino,Mezanino,400.000,"R$ 1.000,00","400,0","DI + 5,25% a.a.","14/03/2026: 3,57%; 14/04/2026: 3,70%; 2026-2028 conforme apêndice; 14/06/2028: 100,00%",1077334_regulamento_regulamento_1077334_2025-12-19.pdf · p.172-176 · ID 1077334
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,19/12/2025,1ª emissão sênior,Sênior,1.200.000,"R$ 1.000,00","1.200,0","DI + 1,90% a.a.",Amortização do principal a partir do mês subsequente à Data Limite de Investimento em Direitos Creditórios; resgate em 14/10/2031,1077334_regulamento_regulamento_1077334_2025-12-19.pdf · p.162-166 · ID 1077334
Mercado Crédito Merchant,28.472.333/0001-32,03/09/2024,Cotas seniores - suplemento não localizado,Sênior,—,—,—,—,—,732140_regulamento_regulamento_732140_2024-09-03.pdf · p.84 · ID 732140
SELLER 3,63.572.282/0001-11,—,Subordinada Júnior - 3ª emissão,Subordinada,Não informada,VNU calculado na forma do regulamento,"195,0",Residual / sem parâmetro definido,Sem calendário fixo identificado,1089840 p.2
