Fundo,CNPJ,Item,Percentual a.a.,Mínimo mensal,Fonte,Versão vigente / base documental,Mudanças relevantes,Status curadoria
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,Administração,"0,07% a.a. sobre o Patrimônio Líquido; Taxa de Administração Máxima 0,30% a.a.","R$ 15.000,00/mês",1128340_regulamento_regulamento_1128340_2026-03-03.pdf · p.38-40 · cláusulas 9.1-9.5,Regulamento vigente de 03/03/2026 · ID 1128340,"Versões 2021-2023 traziam administração e gestão agregadas em taxa máxima de 1,25% a.a. e mínimo de R$ 30.000,00/mês; estrutura vigente separa administração e gestão.",curado documental Mercado Crédito
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,Gestão,"Escalonada pelo PL agregado com Mercado Crédito II Brasil: 0,20% até R$ 2,1 bi; 0,15% de R$ 2,1 bi a R$ 2,5 bi; 0,13% de R$ 2,5 bi a R$ 3,0 bi; 0,10% acima de R$ 3,0 bi",Sem mínimo mensal separado identificado,1128340_regulamento_regulamento_1128340_2026-03-03.pdf · p.39-40 · cláusulas 9.2-9.5,Regulamento vigente de 03/03/2026 · ID 1128340,Versões antigas incluíam gestão na taxa máxima de administração; estrutura vigente separa taxa de gestão e usa faixas do PL agregado dos fundos Mercado Crédito e Mercado Crédito II Brasil.,curado documental Mercado Crédito
MERCADO CRÉDITO I BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Administração,"Escalonada progressiva: 0,125% até R$ 500 mi; 0,11% de R$ 500 mi a R$ 1 bi; 0,09% acima de R$ 1 bi","R$ 27.000,00/mês",1019776_regulamento_regulamento_1019776_2025-10-20.pdf · p.103-104 · cláusulas 18.1-18.1.6,Regulamento vigente de 20/10/2025 · ID 1019776,Sem mudança material de custo identificada nesta curadoria frente às versões recentes analisadas; mínimos atualizáveis anualmente por IGP-M.,curado documental Mercado Crédito
MERCADO CRÉDITO I BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Gestão,"0,12% a.a. sobre o Patrimônio Líquido","R$ 25.000,00/mês",1019776_regulamento_regulamento_1019776_2025-10-20.pdf · p.104 · cláusulas 18.2-18.2.4,Regulamento vigente de 20/10/2025 · ID 1019776,Sem mudança material de custo identificada nesta curadoria frente às versões recentes analisadas; mínimos atualizáveis anualmente por IGP-M.,curado documental Mercado Crédito
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Administração,"0,075% a.a. sobre o Patrimônio Líquido; acrescida remuneração do Agente de Recebimento de 0,50% a 1,50% a.a.","R$ 15.000,00/mês",1077334_regulamento_regulamento_1077334_2025-12-19.pdf · p.121 · cláusulas 19.1-19.1.5,Regulamento vigente de 19/12/2025 · ID 1077334,Versões 2024/2025 já separavam Taxa de Administração e Taxa de Gestão; versão vigente explicita Agente de Recebimento acrescido à Taxa de Administração.,curado documental Mercado Crédito
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Gestão,"Escalonada pelo PL agregado com Mercado Crédito: 0,20% até R$ 2,1 bi; 0,15% de R$ 2,1 bi a R$ 2,5 bi; 0,13% de R$ 2,5 bi a R$ 3,0 bi; 0,10% acima de R$ 3,0 bi",Sem mínimo mensal separado identificado,1077334_regulamento_regulamento_1077334_2025-12-19.pdf · p.122 · cláusulas 19.2-19.5,Regulamento vigente de 19/12/2025 · ID 1077334,Estrutura vigente mantém taxa de gestão escalonada e renegociável se Mercado Crédito deixar de ser gerido pelo Gestor.,curado documental Mercado Crédito
Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,28.472.333/0001-32,Administração,"Taxa máxima de administração de 1,25% a.a. sobre o Patrimônio Líquido; engloba administração, gestão, custódia, controladoria e escrituração","R$ 30.000,00/mês",732140_regulamento_regulamento_732140_2024-09-03.pdf · p.18-20 · cláusulas 7.1-7.1.3 e 9.1.1-9.1.2,Regulamento vigente de 03/09/2024 · ID 732140,Estrutura vigente preserva modelo antigo com gestão e demais serviços remunerados dentro da taxa máxima de administração.,curado documental Mercado Crédito
Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,28.472.333/0001-32,Gestão,"Incluída na taxa máxima de administração de 1,25% a.a.; parcela de gestão pode ser paga diretamente a contratados, sem percentual separado identificado",Sem mínimo mensal separado identificado,732140_regulamento_regulamento_732140_2024-09-03.pdf · p.20 · cláusulas 9.1.1-9.1.2,Regulamento vigente de 03/09/2024 · ID 732140,Regulamento não apresenta taxa de gestão autônoma; gestão é custo embutido na taxa máxima de administração e respeita o mínimo mensal da cláusula 7.1.,curado documental Mercado Crédito
SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,63.572.282/0001-11,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,63.572.282/0001-11,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
