fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
Mercado Crédito Merchant,28.472.333/0001-32,03/09/2024,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,—,Direitos Creditórios / PL >= 50%,monitoravel com ressalva,Dir Cred / PL,732140_regulamento_regulamento_732140_2024-09-03.pdf · ID 732140
Mercado Crédito Merchant,28.472.333/0001-32,03/09/2024,Cobertura mínima de PDD/provisão,enquadramento,>=,20%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,732140_regulamento_regulamento_732140_2024-09-03.pdf
Mercado Crédito Merchant,28.472.333/0001-32,03/09/2024,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,732140_regulamento_regulamento_732140_2024-09-03.pdf
Mercado Crédito Merchant,28.472.333/0001-32,03/09/2024,Relação mínima de subordinação,Relação mínima de subordinação,—,Relação Mínima >= Meta de Relação Mínima; percentual não localizado nos PDFs locais,monitoravel com ressalva,Cotas Sub Jr / PL,732140_regulamento_regulamento_732140_2024-09-03.pdf · p.33 e p.63 · ID 732140
MERCADO CRÉDITO,33.254.370/0001-04,30/04/2025,Limite de concentração,elegibilidade,>=,67%,nao_monitoravel,—,914386_regulamento_regulamento_914386_2025-04-30.pdf
MERCADO CRÉDITO,33.254.370/0001-04,03/03/2026,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,—,Direitos Creditórios Elegíveis / PL >= 67%,monitoravel com ressalva,Dir Cred / PL,1128340_regulamento_regulamento_1128340_2026-03-03.pdf · ID 1128340
MERCADO CRÉDITO,33.254.370/0001-04,21/11/2024,Índice de atraso Over 30 - evento de avaliação,Índice de atraso Over 30 - evento de avaliação,—,Média móvel 3 meses do Índice de Atraso Over 30 <= 35%,monitoravel com ressalva,Vencidos Over 30 d / Crédito,787126_regulamento_regulamento_787126_2024-11-21.pdf · ID 787126
MERCADO CRÉDITO,33.254.370/0001-04,03/03/2026,Reserva ou caixa mínimo,enquadramento,>=,"0,01%",parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,1128340_regulamento_regulamento_1128340_2026-03-03.pdf
MERCADO CRÉDITO,33.254.370/0001-04,03/03/2026,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,1128340_regulamento_regulamento_1128340_2026-03-03.pdf
MERCADO CRÉDITO,33.254.370/0001-04,03/03/2026,Subordinação mínima,Subordinação mínima,—,Cotas Subordinadas / PL >= 7%,monitoravel com ressalva,Cotas Sub / PL,1128340_regulamento_regulamento_1128340_2026-03-03.pdf · ID 1128340
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,20/10/2025,Limite de concentração,elegibilidade,>=,240%,nao_monitoravel,—,1019776_regulamento_regulamento_1019776_2025-10-20.pdf
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,20/10/2025,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,—,Direitos Creditórios / PL >= 50%,monitoravel com ressalva,Dir Cred / PL,1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776
