cnpj14_formatted,cnpj14_digits,label,source_reference
28.169.275/0001-72,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,FIDCs.xlsx#Adquirência!A4
26.287.464/0001-14,26287464000114,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,FIDCs.xlsx#Adquirência!A5
26.286.939/0001-58,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDCs.xlsx#Adquirência!A6
57.609.282/0001-46,57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,FIDCs.xlsx#Adquirência!A7
42.085.830/0001-09,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,FIDCs.xlsx#Adquirência!A8
44.124.617/0001-94,44124617000194,CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,FIDCs.xlsx#Adquirência!A9
62.393.679/0001-83,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,FIDCs.xlsx#Adquirência!A10
54.218.673/0001-41,54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,FIDCs.xlsx#Adquirência!A11
54.218.941/0001-25,54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,FIDCs.xlsx#Adquirência!A12
54.219.179/0001-00,54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,FIDCs.xlsx#Adquirência!A13
54.248.022/0001-02,54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,FIDCs.xlsx#Adquirência!A14
42.085.816/0001-05,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,FIDCs.xlsx#Adquirência!A15
60.356.171/0001-80,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,FIDCs.xlsx#Adquirência!A16
63.572.282/0001-11,63572282000111,SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,brief_2026-07-21#Adquirência-SELLER-3
50.473.039/0001-02,50473039000102,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,brief_2026-07-21#Adquirência-SELLER
55.471.753/0001-77,55471753000177,SELLER II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO RESP LTDA,brief_2026-07-21#Adquirência-SELLER-2
