competencia,admin_cnpj,admin_nome,pl,n_veiculos
2013-01,,,1615739835.81,38
2013-01,33918160000173.0,"GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",445329828.76,8
2013-01,36113876000191.0,OLIVEIRA TRUST DTVM S.A.,4954536239.93,37
2013-01,42066258000130.0,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,882952322.2,6
2013-01,45246410000155.0,PLURAL S.A. BANCO MULTIPLO,373780439.79,2
2013-01,50657675000186.0,SLW CVC LTDA,67683428.86,1
2013-01,52904364000108.0,NECTON INVESTIMENTOS S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES,1970152002.14,13
2013-01,62232889000190.0,BANCO DAYCOVAL S.A.,53838279.2,2
2013-01,33868597000140.0,CITIBANK DTVM SA,969693678.12,7
2013-01,62285390000140.0,SOCOPA SOCIEDADE CORRETORA PAULISTA SA,2694309712.33,75
2013-01,62382908000164.0,MASSA FALIDA DA CRUZEIRO DO SUL S.A. DTVM,999159905.94,6
2013-01,62418140000131.0,INTRAG DTVM LTDA.,2623962406.4500003,14
2013-01,67030395000146.0,PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,268009721.05,4
2013-01,71590442000183.0,LASTRO RDV DTVM LTDA,6850773.55,1
2013-01,74073974000131.0,ESTRATEGIA INVESTIMENTOS S/A CVC,743754004.61,1
2013-01,82016270000155.0,UP FINANÇAS E NEGÓCIOS S.A.,47140841.88,1
2013-01,90400888000142.0,BANCO SANTANDER (BRASIL) S.A.,0.0,1
2013-01,62318407000119.0,SANTANDER CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,3376065170.9399996,15
2013-01,30822936000169.0,BB GESTAO DE RECURSOS DTVM S.A,13658739263.37,3
2013-01,59281253000123.0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,1242923781.74,13
2013-01,27652684000162.0,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,188556171.47,4
2013-01,30723886000162.0,BANCO MODAL S.A.,184665255.74,4
2013-01,360305000104.0,CAIXA ECONOMICA FEDERAL,5600004360.4,11
2013-01,806535000154.0,PLANNER CORRETORA DE VALORES SA,135559343.53,4
2013-01,1522368000182.0,BANCO BNP PARIBAS BRASIL S/A,133462734.57,1
2013-01,1581283000175.0,OBOÉ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S/A.,11302579.75,4
2013-01,2201501000161.0,BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,808133134.4499999,14
2013-01,2276653000123.0,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,27019801.14,1
2013-01,2671743000119.0,CM CAPITAL MARKETS DTVM LTDA,540057744.17,6
2013-01,3017677000120.0,BANCO J. SAFRA S.A.,37166437.27,1
2013-01,66670000100.0,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,14363684001.34,40
2013-01,3384738000198.0,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,6340495065.22,9
2013-01,5389174000101.0,MODAL D.T.V.M. LTDA,555681585.1999999,12
2013-01,11758741000152.0,BANCO FINAXIS S.A.,329559270.74,22
2013-01,12063256000127.0,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,4158945.26,1
2013-01,13486793000142.0,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,1088544541.58,12
2013-01,13673855000125.0,FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,1660359.44,1
2013-01,15489568000195.0,INTRADER DTVM LTDA,10979047.56,1
2013-01,3317692000194.0,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,1696678800.98,16
2013-02,33868597000140.0,CITIBANK DTVM SA,935760268.54,6
2013-02,52904364000108.0,NECTON INVESTIMENTOS S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES,1967796653.59,13
2013-02,50657675000186.0,SLW CVC LTDA,67763173.71,1
2013-02,33918160000173.0,"GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",446075140.4,7
2013-02,42066258000130.0,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,928281585.34,6
2013-02,36113876000191.0,OLIVEIRA TRUST DTVM S.A.,4877160115.16,38
2013-02,59281253000123.0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,990071704.64,13
2013-02,45246410000155.0,PLURAL S.A. BANCO MULTIPLO,369298436.39,2
2013-02,62232889000190.0,BANCO DAYCOVAL S.A.,50964365.62,2
2013-02,62418140000131.0,INTRAG DTVM LTDA.,2608091256.2,14
2013-02,62318407000119.0,SANTANDER CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,3376119815.5000005,15
2013-02,62382908000164.0,MASSA FALIDA DA CRUZEIRO DO SUL S.A. DTVM,1015649473.43,6
2013-02,67030395000146.0,PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,225151372.69,4
2013-02,71590442000183.0,LASTRO RDV DTVM LTDA,6870196.95,1
2013-02,74073974000131.0,ESTRATEGIA INVESTIMENTOS S/A CVC,741918504.63,1
2013-02,82016270000155.0,UP FINANÇAS E NEGÓCIOS S.A.,46448497.24,1
2013-02,90400888000142.0,BANCO SANTANDER (BRASIL) S.A.,0.0,1
2013-02,62285390000140.0,SOCOPA SOCIEDADE CORRETORA PAULISTA SA,2744647913.82,75
2013-02,30822936000169.0,BB GESTAO DE RECURSOS DTVM S.A,14950339298.47,3
2013-02,3017677000120.0,BANCO J. SAFRA S.A.,37167921.31,1
2013-02,27652684000162.0,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,114250415.88,4
2013-02,30723886000162.0,BANCO MODAL S.A.,105465483.27,4
2013-02,66670000100.0,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,13345563877.18,40
2013-02,360305000104.0,CAIXA ECONOMICA FEDERAL,6112405100.13,12
2013-02,806535000154.0,PLANNER CORRETORA DE VALORES SA,120663690.13,4
2013-02,1522368000182.0,BANCO BNP PARIBAS BRASIL S/A,133737901.76,1
2013-02,1581283000175.0,OBOÉ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S/A.,11157461.83,4
2013-02,2201501000161.0,BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,861870511.21,14
2013-02,2276653000123.0,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,27170967.36,1
2013-02,2671743000119.0,CM CAPITAL MARKETS DTVM LTDA,540392577.13,6
2013-02,,,1671642347.7,39
2013-02,3317692000194.0,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,1749560875.81,16
2013-02,3384738000198.0,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,6327785574.82,9
2013-02,5389174000101.0,MODAL D.T.V.M. LTDA,612897786.1899999,13
2013-02,11758741000152.0,BANCO FINAXIS S.A.,1108402011.84,22
2013-02,12063256000127.0,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,4193410.93,1
2013-02,13486793000142.0,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,982841887.89,12
2013-02,13673855000125.0,FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,1658674.84,1
2013-02,15489568000195.0,INTRADER DTVM LTDA,10208884.93,1
2013-03,33868597000140.0,CITIBANK DTVM SA,929586522.49,6
2013-03,33918160000173.0,"GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",438942273.54,7
2013-03,36113876000191.0,OLIVEIRA TRUST DTVM S.A.,4932730581.81,38
2013-03,42066258000130.0,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,953962136.13,6
2013-03,45246410000155.0,PLURAL S.A. BANCO MULTIPLO,371048196.99,2
2013-03,50657675000186.0,SLW CVC LTDA,67847823.19,1
2013-03,52904364000108.0,NECTON INVESTIMENTOS S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES,1961785372.34,13
2013-03,62232889000190.0,BANCO DAYCOVAL S.A.,54371311.21,2
2013-03,62418140000131.0,INTRAG DTVM LTDA.,2442825822.12,13
2013-03,62318407000119.0,SANTANDER CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,3457031615.97,16
2013-03,62382908000164.0,MASSA FALIDA DA CRUZEIRO DO SUL S.A. DTVM,947924287.08,6
2013-03,30822936000169.0,BB GESTAO DE RECURSOS DTVM S.A,14878424071.88,3
2013-03,67030395000146.0,PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,229128626.84,4
2013-03,71590442000183.0,LASTRO RDV DTVM LTDA,6826110.79,1
2013-03,74073974000131.0,ESTRATEGIA INVESTIMENTOS S/A CVC,730864095.47,1
2013-03,82016270000155.0,UP FINANÇAS E NEGÓCIOS S.A.,38749548.62,1
2013-03,90400888000142.0,BANCO SANTANDER (BRASIL) S.A.,1808.7,1
2013-03,62285390000140.0,SOCOPA SOCIEDADE CORRETORA PAULISTA SA,2750471510.27,75
2013-03,30723886000162.0,BANCO MODAL S.A.,80285842.67,4
2013-03,59281253000123.0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,1165064741.22,14
2013-03,15489568000195.0,INTRADER DTVM LTDA,8454880.77,1
2013-03,66670000100.0,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,12021256651.78,41
2013-03,360305000104.0,CAIXA ECONOMICA FEDERAL,6347791682.15,12
2013-03,806535000154.0,PLANNER CORRETORA DE VALORES SA,92485417.85,4
2013-03,1522368000182.0,BANCO BNP PARIBAS BRASIL S/A,134779166.35,1
2013-03,1581283000175.0,OBOÉ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S/A.,10841468.97,4
2013-03,2201501000161.0,BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,880707765.66,14
2013-03,2276653000123.0,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,29413642.93,1
2013-03,2671743000119.0,CM CAPITAL MARKETS DTVM LTDA,535076639.62,6
2013-03,,,1430082693.41,38
2013-03,27652684000162.0,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,71572205.03999999,4
2013-03,3317692000194.0,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,1780892434.97,16
2013-03,3384738000198.0,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,6254242720.280001,9
2013-03,5389174000101.0,MODAL D.T.V.M. LTDA,694860705.54,13
2013-03,11758741000152.0,BANCO FINAXIS S.A.,367242543.35,22
2013-03,12063256000127.0,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,4258321.11,1
2013-03,13486793000142.0,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,992135762.87,13
2013-03,13673855000125.0,FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,1676739.29,1
2013-03,3017677000120.0,BANCO J. SAFRA S.A.,0.0,2
2013-04,50657675000186.0,SLW CVC LTDA,67890367.37,1
2013-04,45246410000155.0,PLURAL S.A. BANCO MULTIPLO,387889388.51,2
2013-04,33868597000140.0,CITIBANK DTVM SA,970627920.71,6
2013-04,36113876000191.0,OLIVEIRA TRUST DTVM S.A.,5013065056.1,39
2013-04,33918160000173.0,"GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",441630051.36,7
2013-04,52904364000108.0,NECTON INVESTIMENTOS S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES,1549547486.46,13
2013-04,42066258000130.0,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,968039444.89,6
2013-04,59281253000123.0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,1167730613.48,14
2013-04,62418140000131.0,INTRAG DTVM LTDA.,2624426243.58,14
2013-04,62285390000140.0,SOCOPA SOCIEDADE CORRETORA PAULISTA SA,3103156237.64,77
2013-04,62318407000119.0,SANTANDER CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,3592082574.02,16
2013-04,62382908000164.0,MASSA FALIDA DA CRUZEIRO DO SUL S.A. DTVM,899092155.85,6
2013-04,67030395000146.0,PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,227757314.59,4
2013-04,71590442000183.0,LASTRO RDV DTVM LTDA,6951689.28,1
2013-04,74073974000131.0,ESTRATEGIA INVESTIMENTOS S/A CVC,737870595.56,1
2013-04,82016270000155.0,UP FINANÇAS E NEGÓCIOS S.A.,37764142.71,1
2013-04,30822936000169.0,BB GESTAO DE RECURSOS DTVM S.A,16229089717.82,3
2013-04,62232889000190.0,BANCO DAYCOVAL S.A.,51637325.35,2
2013-04,30723886000162.0,BANCO MODAL S.A.,13372611.42,3
2013-04,90400888000142.0,BANCO SANTANDER (BRASIL) S.A.,0.0,1
2013-04,15489568000195.0,INTRADER DTVM LTDA,8115559.64,1
2013-04,,,1470294791.79,37
2013-04,66670000100.0,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,12628855735.79,41
