id,tipo_de_alteracao,estrutura_tabela_interna,fundo,cnpj,campo_alterado,valor_anterior,valor_novo,fonte,motivo,artefato
A001,Reconciliação da tabela interna,Fidc MBRF,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLIENTES BRF II,52720932000102,presença no universo comparável,ausente,Ausente; incluída,Tabela interna de exposições agro — revisada por analista,CNPJ pelo cedente declarado (BRF S.A.) e nome FIDC Clientes BRF II,agro_revenda_auditoria_tabela_interna.csv
A002,Reconciliação da tabela interna,DEB SYNGENTA,—,—,presença no universo comparável,ausente,Fora do escopo FIDC,Tabela interna de exposições agro — revisada por analista,"Instrumento de dívida corporativa, não é fundo",agro_revenda_auditoria_tabela_interna.csv
A003,Reconciliação da tabela interna,Fidc Basf,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SALES FINANCE - RESPONSABILIDADE LIMITADA,45829624000154,presença no universo comparável,ausente,Ausente; incluída,Tabela interna de exposições agro — revisada por analista,"CNPJ pelo cedente declarado (BASF SA, 36% da carteira)",agro_revenda_auditoria_tabela_interna.csv
A004,Reconciliação da tabela interna,Fidc UPL,UPL 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRONEGÓCIO RESPONSABILIDADE LIMITADA,28472392000100,presença no universo comparável,ausente,Ausente; incluída,Tabela interna de exposições agro — revisada por analista,"CNPJ pelo cedente declarado (UPL do Brasil, 72,96%)",agro_revenda_auditoria_tabela_interna.csv
A005,Reconciliação da tabela interna,CR Origeo,—,—,presença no universo comparável,ausente,Fora do escopo FIDC,Tabela interna de exposições agro — revisada por analista,"Emissão de securitizadora, não é fundo",agro_revenda_auditoria_tabela_interna.csv
A006,Reconciliação da tabela interna,Fidc Albaugh II,FIDC AGRO CAPITAL FINANCE RESPONSABILIDADE LIMITADA,47280025000150,presença no universo comparável,presente,Já no slide 18,Tabela interna de exposições agro — revisada por analista,"Mesmo CNPJ; ""FIDC Albaugh I"" nas ofertas da CVM e ""Agro Capital Finance"" no Informe; cedente Albaugh Agro Brasil",agro_revenda_auditoria_tabela_interna.csv
A007,Reconciliação da tabela interna,Três Tentos,TRÊS TENTOS FIAGRO RESPONSABILIDADE LIMITADA,57259989000170,presença no universo comparável,presente,Já no slide 18,Tabela interna de exposições agro — revisada por analista,Nome e CNPJ,agro_revenda_auditoria_tabela_interna.csv
A008,Reconciliação da tabela interna,Fidc Frimesa,FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,58171340000165,presença no universo comparável,presente,Já no slide 18,Tabela interna de exposições agro — revisada por analista,Nome e CNPJ,agro_revenda_auditoria_tabela_interna.csv
A009,Reconciliação da tabela interna,Fiagro Sinova,—,—,presença no universo comparável,ausente,Não localizado,Tabela interna de exposições agro — revisada por analista,"Não localizado no Informe FIDC, no cadastro CVM nem nas bases de oferta",agro_revenda_auditoria_tabela_interna.csv
A010,Reconciliação da tabela interna,Fidc UPL Revendas,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS UPL 02 - RESPONSABILIDADE LIMITADA,44574361000117,presença no universo comparável,presente,Já no slide 18,Tabela interna de exposições agro — revisada por analista,Nome UPL 02 e CNPJ,agro_revenda_auditoria_tabela_interna.csv
A011,Reconciliação da tabela interna,Fidc MAQCAMPO,—,—,presença no universo comparável,ausente,Não localizado,Tabela interna de exposições agro — revisada por analista,"Não localizado no Informe FIDC, no cadastro CVM nem nas bases de oferta",agro_revenda_auditoria_tabela_interna.csv
A012,Reconciliação da tabela interna,Fidc OCP CIBRA,—,57933661000197,presença no universo comparável,ausente,Fora do universo ativo,Tabela interna de exposições agro — revisada por analista,Nome CIBRA FIAGRO; OCP é o grupo controlador da Cibra,agro_revenda_auditoria_tabela_interna.csv
A013,Override do mínimo (confirmação),Fidc Albaugh II,FIDC AGRO CAPITAL FINANCE RESPONSABILIDADE LIMITADA,47280025000150,subordinacao_minima_pct → referencia_pct,30.0,30.0,Tabela interna de exposições agro — revisada por analista,Leitura automática e tabela interna coincidem; override fixa a fonte.,agro_revenda_reconciliacao_minimo.csv
A014,Override do mínimo (confirmação),Fidc Basf,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SALES FINANCE - RESPONSABILIDADE LIMITADA,45829624000154,subordinacao_minima_pct → referencia_pct,—,25.0,Tabela interna de exposições agro — revisada por analista,Estrutura ausente da base; o mínimo do analista entra na inclusão.,agro_revenda_reconciliacao_minimo.csv
A015,Override do mínimo (confirmação),Três Tentos,TRÊS TENTOS FIAGRO RESPONSABILIDADE LIMITADA,57259989000170,subordinacao_minima_pct → referencia_pct,20.0,20.0,Tabela interna de exposições agro — revisada por analista,Leitura automática e tabela interna coincidem; override fixa a fonte.,agro_revenda_reconciliacao_minimo.csv
A016,Override do mínimo (divergência),Fidc Frimesa,FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,58171340000165,subordinacao_minima_pct → referencia_pct,1.0,20.0,Tabela interna de exposições agro — revisada por analista,Leitura automática diverge da tabela interna; prevalece o analista.,agro_revenda_reconciliacao_minimo.csv
A017,Override do mínimo (confirmação),Fidc UPL,UPL 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRONEGÓCIO RESPONSABILIDADE LIMITADA,28472392000100,subordinacao_minima_pct → referencia_pct,—,15.0,Tabela interna de exposições agro — revisada por analista,Estrutura ausente da base; o mínimo do analista entra na inclusão.,agro_revenda_reconciliacao_minimo.csv
