measure,ranking_code,ranking_label,window,participant,rank,value_brl_or_count,share
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,ITAU BBA,1.0,21946898950.23,0.26599103078
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,BRADESCO BBI,2.0,14744386680.29,0.17869834915
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,BTG PACTUAL,3.0,12795175038.58,0.15507438227
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,XP INVESTIMENTOS,4.0,6064532493.559999,0.07350064594
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,SANTANDER,5.0,5896399172.610001,0.07146291134
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,UBS BB,6.0,4635954076.700001,0.05618662601
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,CEF,7.0,2425725000.0,0.02939919187
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,ABC BRASIL,8.0,2357068918.19,0.028567097
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,SAFRA,9.0,2166564477.33,0.02625822992
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,BR PARTNERS,10.0,1799511987.56,0.02180964379
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,VOTORANTIM,11.0,1745111842.0,0.02115032738
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,CITIGROUP,12.0,1413200920.39,0.01712764844
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,BB-BI,13.0,1367166619.27,0.016569724
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,M7 IB,14.0,757443687.0,0.00918003165
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,INTER,15.0,586385502.5400001,0.00710684843
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,DAYCOVAL,16.0,551925364.5699999,0.00668920001
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,BOCOM BBM,17.0,282265506.66,0.00342098869
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,ASA ASSET 2 GESTÃO DE RECURSOS LTDA,18.0,204234000.0,0.00247526597
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,One Corporate,19.0,175298477.0,0.00212457453
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,BNDES,20.0,130000000.0,0.00157556811
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,MAX CAPITAL MARKETS,21.0,100000000.0,0.00121197547
