coordinators,operations,volume_brl,share_of_operations,scope
1,304,103530685532.15,0.7272727272727273,renda_fixa_consolidado
2,53,43917045111.57,0.12679425837320574,renda_fixa_consolidado
3,29,21311726250.79,0.06937799043062201,renda_fixa_consolidado
4,17,29682113999.99,0.04066985645933014,renda_fixa_consolidado
5,5,6529999999.97,0.011961722488038277,renda_fixa_consolidado
6,3,13792085999.95,0.007177033492822967,renda_fixa_consolidado
7,6,3730000428.3199997,0.014354066985645933,renda_fixa_consolidado
8,1,730494999.86,0.0023923444976076554,renda_fixa_consolidado
1,38,13584535148.52,0.8837209302325582,fidc
2,3,5750000000.0,0.06976744186046512,fidc
3,1,224999999.97,0.023255813953488372,fidc
6,1,5500000000.0,0.023255813953488372,fidc
