bank_group,cnpj_root8,supplied_name,supplied_condition,supplied_note,source_reference
BTG,36672404,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITOS NÃO PADRONIZADOS I RESPONSABILIDADE LIMITADA,PARTICIPANTE,?,FIDCs.xlsx#BTG!A2:D2
BTG,32774233,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRECATÓRIOS BRASIL,PARTICIPANTE,Precatórios,FIDCs.xlsx#BTG!A3:D3
BTG,29225241,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,PARTICIPANTE,?,FIDCs.xlsx#BTG!A4:D4
BTG,24194675,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA,PARTICIPANTE,?,FIDCs.xlsx#BTG!A5:D5
BTG,43721713,BTG CONSÓRCIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II,PARTICIPANTE,Crédito PF,FIDCs.xlsx#BTG!A6:D6
BTG,39863047,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DO SETOR ELETRICO - INVESTIMENTO EM COTAS,PARTICIPANTE,Setor Elétrico,FIDCs.xlsx#BTG!A7:D7
BTG,43508561,FGTS I FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,PARTICIPANTE,Consignado PF,FIDCs.xlsx#BTG!A8:D8
BTG,40752367,MT INSS RECEIVABLES II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,PARTICIPANTE,Consignado PF,FIDCs.xlsx#BTG!A9:D9
BTG,40750266,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MT I RECEIVABLES RESPONSABILIDADE LIMITADA,PARTICIPANTE,Consignado PF,FIDCs.xlsx#BTG!A10:D10
BTG,47410134,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS IV - E,PARTICIPANTE,?,FIDCs.xlsx#BTG!A11:D11
BTG,50906397,BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,PARTICIPANTE,Consignado PF,FIDCs.xlsx#BTG!A12:D12
BTG,52242420,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,PARTICIPANTE,Consignado PF,FIDCs.xlsx#BTG!A13:D13
BTG,52049112,KATETO INVESTIMENTO PRECATÓRIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,PARTICIPANTE,Precatórios,FIDCs.xlsx#BTG!A14:D14
BTG,54134587,KATETO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,PARTICIPANTE,?,FIDCs.xlsx#BTG!A15:D15
BTG,54871427,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,PARTICIPANTE,Consignado PF,FIDCs.xlsx#BTG!A16:D16
BTG,55521594,BTG EMPRESAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,PARTICIPANTE,?,FIDCs.xlsx#BTG!A17:D17
BTG,58328083,PLGN AUTO LOANS I FEEDER FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,PARTICIPANTE,Auto,FIDCs.xlsx#BTG!A18:D18
BTG,49999307,ATIVOS ESTRATÉGICOS LOCAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,PARTICIPANTE,?,FIDCs.xlsx#BTG!A19:D19
BTG,62084270,SORACHI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,PARTICIPANTE,?,FIDCs.xlsx#BTG!A20:D20
BTG,62083078,PORTFOLIO 22 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,PARTICIPANTE,?,FIDCs.xlsx#BTG!A21:D21
BTG,23798073,JC PLÁSTICOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS - FIDC - NP,PARTICIPANTE,?,FIDCs.xlsx#BTG!A22:D22
BTG,20403406,SG II A FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,PARTICIPANTE,?,FIDCs.xlsx#BTG!A23:D23
BTG,64157536,MT GLOBAL II FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,PARTICIPANTE,Consignado PF,FIDCs.xlsx#BTG!A24:D24
BTG,36335723,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS,PARTICIPANTE,?,FIDCs.xlsx#BTG!A25:D25
BTG,36669346,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS INSOLVÊNCIA,PARTICIPANTE,?,FIDCs.xlsx#BTG!A26:D26
BTG,36335649,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SPECIAL SITUATIONS,PARTICIPANTE,?,FIDCs.xlsx#BTG!A27:D27
BTG,36335689,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SETOR PÚBLICO,PARTICIPANTE,Setor Público,FIDCs.xlsx#BTG!A28:D28
BTG,65473848,PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,PARTICIPANTE,Auto,FIDCs.xlsx#BTG!A29:D29
BTG,26471075,JC 4870 V FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP,PARTICIPANTE,?,FIDCs.xlsx#BTG!A30:D30
BTG,26570645,JC 4870 VI - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,PARTICIPANTE,?,FIDCs.xlsx#BTG!A31:D31
BTG,23954863,JC 4870 IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC-NP,PARTICIPANTE,?,FIDCs.xlsx#BTG!A32:D32
BTG,66737102,PAN CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,PARTICIPANTE,Consignado PF,FIDCs.xlsx#BTG!A33:D33
Itau,29292312,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS NPL II,PARTICIPANTE,,FIDCs.xlsx#Itau!A2:C2
Itau,26749095,PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,PARTICIPANTE,,FIDCs.xlsx#Itau!A3:C3
Itau,08417544,PRAVALER CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADA,PARTICIPANTE,,FIDCs.xlsx#Itau!A4:C4
Itau,42085830,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,PARTICIPANTE,,FIDCs.xlsx#Itau!A5:C5
Itau,44395252,B2CYCLE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,PARTICIPANTE,,FIDCs.xlsx#Itau!A6:C6
Itau,45598747,SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,PARTICIPANTE,,FIDCs.xlsx#Itau!A7:C7
Itau,48967719,SOULPAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,PARTICIPANTE,,FIDCs.xlsx#Itau!A8:C8
Itau,48997793,IA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,PARTICIPANTE,,FIDCs.xlsx#Itau!A9:C9
Itau,50988212,CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II-RESPONSABILIDADE LIMITADA,PARTICIPANTE,,FIDCs.xlsx#Itau!A10:C10
Itau,54178902,TANGERINA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,PARTICIPANTE,,FIDCs.xlsx#Itau!A11:C11
