cnpj14_digits,status_curadoria,decisao_curadoria,cedente_originador,devedor_sacado,instrumento,natureza_economica,criterio_decisao,evidencia_curta,fonte_documento,fonte_data,fonte_url,confianca,origem_decisao,flag_pf_pj_ccb
32527650000186,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","Usuários finais, clientes e estabelecimentos subcredenciados do PicPay","PicPay","Cessão eletrônica de direitos de transações de pagamento","Créditos contra o PicPay originados por cash-in, pagamentos, boletos e compras processados no Sistema PicPay","Confirmação do usuário e regulamento descrevem cadeia de pagamentos","O fundo adquire créditos de usuários e estabelecimentos contra o PicPay decorrentes de transações processadas no Sistema PicPay.","Regulamento FundosNet 1203914","2026-04-01","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1203914&cvm=true","Alta","Confirmação do usuário + documento primário","Não"
54979779000168,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","Stone Instituição de Pagamento S.A.","Emissores de cartões dos grupos Itaú, Bradesco, Santander, Caixa e Banco do Brasil","Cessão de recebíveis de liquidação","Créditos da Stone contra emissores, líquidos das taxas do arranjo, gerados por transações no Sistema Stone","Recebível puro da cadeia de credenciamento e liquidação","O regulamento identifica Stone como credenciadora e os emissores como devedores dos créditos cedidos.","Regulamento FundosNet 656484","2024-05-09","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=656484&cvm=true","Alta","Curadoria documental","Não"
52256912000122,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","Stone Instituição de Pagamento S.A.","Instituições financeiras e de pagamento emissoras","Cessão de recebíveis de liquidação","Créditos da Stone contra emissores por transações processadas no Sistema Stone","Recebível puro da cadeia de credenciamento e liquidação","A Stone cede créditos contra os emissores originados após transações em estabelecimentos credenciados.","Regulamento FundosNet 643480","2024-04-05","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=643480&cvm=true","Alta","Curadoria documental","Não"
26142862000142,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","Não identificado no documento público","Um devedor não identificado nas demonstrações financeiras","Cessão de unidades de recebíveis","Carteira atual descrita como recebíveis de cartão de crédito na forma de unidades de recebíveis","O ativo observado é uma unidade de recebíveis; as partes permanecem não nominadas","O informe trimestral descreve cessão de recebíveis de cartão em unidades de recebíveis; as DFs mostram um único devedor.","Informe trimestral 1196139 e DFs 1147072","2026-03-31","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1196139&cvm=true","Média","Curadoria documental","Não identificado na carteira observada"
38314763000180,"Fora de Adquirência","Manter na categoria CVM reportada","Stone SCD, Stone e afiliadas","Usuários Stone que contratam crédito","CCB e outros instrumentos de crédito","Empréstimos a usuários Stone; recebíveis de cartão atuam como garantia ou meio de pagamento","CCB e crédito a PF/PJ atendem ao critério de exclusão","O regulamento define devedores como usuários que realizam operação de crédito e admite CCB; a agenda de recebíveis funciona como colateral.","Regulamento FundosNet 1238855","2026-06-25","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1238855&cvm=true","Alta","Curadoria documental","Sim — PF/PJ e CCB"
38376526000143,"Fora de Adquirência","Manter na categoria CVM reportada","Produtores e estabelecimentos da plataforma Hotmart","Hotmart e compradores","Cessão eletrônica de recebíveis de pagamento e de vendas parceladas","Estrutura mista: créditos contra a subadquirente e créditos a prazo contra compradores","A presença de devedores compradores impede a classificação integral do CNPJ como adquirência","O regulamento combina recebíveis de cartão devidos pela Hotmart com parcelas devidas diretamente pelos compradores.","Regulamento FundosNet 948252","2025-07-02","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=948252&cvm=true","Alta","Curadoria documental","Sim — compradores PF/PJ"
26722650000134,"Fora de Adquirência","Manter na categoria CVM reportada","Quero-Quero VerdeCard Instituição de Pagamento S.A. e instituições financeiras","Portadores do VerdeCard","Contrato de cartão, faturas e financiamentos","Crédito do emissor contra portadores: compras, tarifas, saque, rotativo, renegociação e parcelamento de fatura","O risco econômico é do portador do cartão","O regulamento define os devedores como portadores e inclui crédito rotativo e parcelamento de fatura.","Regulamento FundosNet 899881","2025-05-08","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=899881&cvm=true","Alta","Curadoria documental","Sim — PF/PJ"
31739396000117,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","Listo Instituição de Pagamento Ltda.","Emissores de cartões e instituições que liquidam as transações","Cessão de recebíveis de liquidação","Créditos da Listo contra emissores, equivalentes ao valor líquido de transações em estabelecimentos credenciados","Recebível puro da cadeia de pagamentos","Os direitos cedidos equivalem às transações processadas pelo Sistema Listo após taxas e retenções do arranjo.","Regulamento FundosNet 1146939","2026-03-27","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1146939&cvm=true","Alta","Curadoria documental","Não"
60942242000126,"Fora de Adquirência","Manter na categoria CVM reportada","Supplier, grupos Supplier/TOTVS Techfin e agente financiador","Titulares do Cartão de Compra Supplier","Contrato de cartão, demonstrativos e CCB","Crédito contra titulares por compras B2B, financiamento, refinanciamento e saque","Crédito a PJ e CCB atendem ao critério de exclusão","O lastro combina compras do titular e operações financeiras representadas por CCB.","Regulamento FundosNet 939378","2025-07-03","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=939378&cvm=true","Alta","Curadoria documental","Sim — PJ e CCB"
57816252000100,"Fora de Adquirência","Manter na categoria CVM reportada","Natura &Co Pay Sociedade de Crédito Direto S.A.","Consultoras Natura","CCB eletrônica endossada ao fundo","Microcrédito para compra e revenda de cosméticos","Crédito pessoal em CCB atende ao critério de exclusão","O fundo recebe CCBs de microcrédito concedido às consultoras Natura.","Regulamento FundosNet 1182394","2026-05-07","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1182394&cvm=true","Alta","Curadoria documental","Sim — PF/PJ e CCB"
