ordem,cnpj,nome_fundo,status_scan,fontes_consultadas,status_online,erros_scan,originador,originador_status,originador_natureza,originador_fonte,originador_data,originador_pagina,originador_link,originador_camada,cedente,cedente_status,cedente_natureza,cedente_fonte,cedente_data,cedente_pagina,cedente_link,cedente_camada,sacado_devedor,sacado_devedor_status,sacado_devedor_natureza,sacado_devedor_fonte,sacado_devedor_data,sacado_devedor_pagina,sacado_devedor_link,sacado_devedor_camada,tipo_recebivel,tipo_recebivel_status,tipo_recebivel_natureza,tipo_recebivel_fonte,tipo_recebivel_data,tipo_recebivel_pagina,tipo_recebivel_link,tipo_recebivel_camada,minimo_junior,minimo_junior_status,minimo_junior_natureza,minimo_junior_fonte,minimo_junior_data,minimo_junior_pagina,minimo_junior_link,minimo_junior_camada,minimo_estrutural_total,minimo_estrutural_total_status,minimo_estrutural_total_natureza,minimo_estrutural_total_fonte,minimo_estrutural_total_data,minimo_estrutural_total_pagina,minimo_estrutural_total_link,minimo_estrutural_total_camada,natureza_indice,natureza_indice_status,natureza_indice_natureza,natureza_indice_fonte,natureza_indice_data,natureza_indice_pagina,natureza_indice_link,natureza_indice_camada
1,42462306000100,IS GREEN SOLFÁCIL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,concluído,6,consultado,,Solfácil Energia,encontrado_explicito,rótulo explícito de participante v2,1023995,30/10/2025,6,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1023995,rating_report,Solfácil,aceito_payload,,IMG_8704.JPG,2025-05-05,12,,planilha_manual,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,créditos originados para securitização posterior em CRIs,aceito_payload,,IMG_8704.JPG,2025-05-05,12,,planilha_manual,4.5%,aceito_payload,junior_pl,896879,2025-05-05,12,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=896879,payload_documental,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,junior_pl,aceito_payload,junior_pl,896879,2025-05-05,12,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=896879,payload_documental
2,54810968000102,ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,concluído,8,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,BMG,aceito_payload,,IMG_8704.JPG,2025-04-22,16,,planilha_manual,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,Crédito FGTS,aceito_payload,,IMG_8704.JPG,2025-04-22,16,,planilha_manual,5%,aceito_payload,junior_pl,937760,2025-04-22,16,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=937760,payload_documental,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,junior_pl,aceito_payload,junior_pl,937760,2025-04-22,16,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=937760,payload_documental
3,53270983000142,ANGÁ FGTS +AG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,concluído,6,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,QI Tech,aceito_payload,,IMG_8704.JPG,2025-04-03,14,,planilha_manual,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,8%,aceito_payload,junior_pl,881263,2025-04-03,14,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=881263,payload_documental,20%,encontrado_explicito,suporte_total_pl,881263,03/04/2025,14,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=881263,regulamento,junior_pl,aceito_payload,junior_pl,881263,2025-04-03,14,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=881263,payload_documental
4,52968533000165,MCPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,concluído,6,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,"a MAQCAMPO SOLUÇÕES AGRÍCOLAS S.A. , sociedade por ações, com sede na cidade de Brasília, Distrito Federal, no Docusign Envelope ID: 5A498997-5E9C-4FDB-AAA6-D7EDA05D2564",encontrado_explicito,,1049185,14/10/2025,57,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1049185,regulamento,"qualquer cliente da Cedente cujos Direitos Creditórios venham a ser cedidos ao Fundo, observadas as características e condições descritas neste Anexo Descritivo",encontrado_explicito,,1049185,14/10/2025,63,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1049185,regulamento,"os direitos creditórios performados originados da venda a prazo de Bens, assim como da prestação dos Serviços pela Cedente, representados pelos Documentos Comprobatórios, conforme o caso, detidas pela Cedente contra os Devedores",encontrado_explicito,,994391,06/08/2025,63,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=994391,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,20%,aceito_payload,suporte_total_pl,1049185,2025-10-14,72,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1049185,payload_documental,suporte_total_pl,aceito_payload,suporte_total_pl,1049185,2025-10-14,72,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1049185,payload_documental
5,52100879000147,SOTREQ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,concluído,5,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,"a Sotreq e a Somov, na qualidade de cedentes de Direitos Creditórios, por meio de sua matriz ou de suas filiais. - 9 -",encontrado_explicito,,740367,17/09/2024,50,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=740367,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,25%,aceito_payload,suporte_total_pl,1117315,2026-02-06,49,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1117315,payload_documental,suporte_total_pl,aceito_payload,suporte_total_pl,1117315,2026-02-06,49,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1117315,payload_documental
6,53662209000187,PNEUCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA - RESP LTDA,concluído,9,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,Cantu Store,aceito_payload,,IMG_8704.JPG,2026-06-30,49,,planilha_manual,"os devedores (sacados), pessoas físicas ou jurídicas, que tenham estabelecido relação de consumo dos Direitos Creditórios com as Cedentes",encontrado_explicito,,1239751,30/06/2026,7,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1239751,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,20%,aceito_payload,suporte_total_pl,1239751,2026-06-30,49,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1239751,payload_documental,suporte_total_pl,aceito_payload,suporte_total_pl,1239751,2026-06-30,49,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1239751,payload_documental
7,53577135000180,ANGÁ FGTS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,concluído,6,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,QI Tech,aceito_payload,,IMG_8704.JPG,2026-06-18,17,,planilha_manual,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,Crédito FGTS,aceito_payload,,IMG_8704.JPG,2026-06-18,17,,planilha_manual,15%,aceito_payload,junior_pl,1224059,2026-06-18,17,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1224059,payload_documental,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,junior_pl,aceito_payload,junior_pl,1224059,2026-06-18,17,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1224059,payload_documental
8,62626887000185,SUMUP SMART IV FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,concluído,9,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,"a SUMUP INSTITUIÇÃO DE PAGAMENTO BRASIL LTDA., sociedade limitada com sede na Cidade e Estado de São Paulo, na Rua Gilberto Sabino, nº 215, 10º andar, Pinheiros, CEP: 05425-020, inscrita no CNPJ/MF sob o nº 16.668.076/0001-20",encontrado_explicito,,1152823,2026-03-31,89,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1152823,regulamento,os Emissores,encontrado_explicito,,1152823,2026-03-31,92,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1152823,regulamento,"os direitos creditórios de tempos em tempos detidos pelo Cedente em face dos Devedores, conforme as regras dos Arranjos de Pagamentos, decorrentes de Transações de Pagamento realizadas por Usuários-Finais com a utilização de Instrumentos de Pagamento das Bandeiras, operacionalizadas pelo Sistema SumUp, para a aquisição de bens ou serviços nos Estabelecimentos Comerciais",encontrado_explicito,,1152823,2026-03-31,93,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1152823,regulamento,2.9%,aceito_payload,junior_pl,1152823,2026-03-31,96,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1152823,payload_documental,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,junior_pl,aceito_payload,junior_pl,1152823,2026-03-31,96,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1152823,payload_documental
9,50098465000103,CHEMICAL XIII - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - INDÚSTRIA PETROQUÍMICA,concluído,8,consultado,,Braskem S .A.,encontrado_explicito,rótulo explícito de participante v2,903310,31/03/2025,1,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=903310,rating_report,Braskem,aceito_payload,,IMG_8704.JPG,2024-07-01,15,,planilha_manual,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,9.2%,aceito_payload,suporte_combinado_pl,690567,2024-07-01,15,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=690567,payload_documental,suporte_combinado_pl,aceito_payload,suporte_combinado_pl,690567,2024-07-01,15,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=690567,payload_documental
10,48967719000122,SOULPAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,concluído,7,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,Soulpay Soluções de Pagamentos,aceito_payload,,IMG_8704.JPG,2024-11-22,82,,planilha_manual,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,5%,aceito_payload,junior_pl,785770,2024-11-22,82,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=785770,payload_documental,5%,aceito_payload,suporte_total_pl,785770,2024-11-22,82,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=785770,payload_documental,junior_pl,aceito_payload,junior_pl,785770,2024-11-22,82,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=785770,payload_documental
