ordem,cnpj,fundo,escopo,competencia,pl_total_cotas_brl,pl_senior_brl,pl_mezanino_brl,pl_subordinada_brl,tem_mezanino,valor_nao_classificado_brl,diferenca_total_vs_mensal_brl,diferenca_submaismez_vs_mensal_brl,fonte
1,42462306000100,IS GREEN SOLFACIL II FIDC,Carteira 101,2026-06,96077249.32026216,72305773.31,14515113.81992,9256362.190342152,True,0.0,0.0,3.725290298461914e-09,CVM Informe Mensal 2026-06 — Tabela X.2
2,54810968000102,ANGA FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CR,Carteira 101,2026-06,965301307.9575001,809507341.5975001,0.0,155793966.36,False,0.0,1.1920928955078125e-07,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
3,53270983000142,ANGA FGTS MAIS AG FIDC RESPONSABILIDADE LIMITADA,Carteira 101,2026-06,71093264.69995001,56725859.330000006,8585513.89995,5781891.470000001,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
4,52968533000165,MCPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIO,Carteira 101,2026-06,113318733.22481221,113318733.22481221,0.0,0.0,True,0.0,1.4901161193847656e-08,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
5,52100879000147,SOTREQ FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Carteira 101,2026-06,205217344.77034083,156797568.4305,48419776.33984083,0.0,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
6,53662209000187,PNEUCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Carteira 101,2026-06,265375590.17523253,171327419.5914485,87511561.1937699,6536609.390014113,True,0.0,2.9802322387695312e-08,-2.9802322387695312e-08,CVM Informe Mensal 2026-06 — Tabela X.2
7,53577135000180,ANGA FGTS II FUNDO DE INVESTIMENTO EM DIREITOS CR,Carteira 101,2026-06,249730019.94861954,194789728.21621704,0.0,54940291.73240251,False,0.0,2.9802322387695312e-08,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
8,62626887000185,TOP 2025 C FIDC RESP LTDA,Carteira 101,2026-06,356847386.66493005,342663338.555405,0.0,14184048.109525,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
9,50098465000103,CHEMICAL XIII FUNDO DE INVESTIMENTO EM DIREITOS,Carteira 101,2025-05,90257852.68650001,68448435.87006001,5430237.55704,16379179.259399999,True,0.0,1.4901161193847656e-08,0.0,CVM Informe Mensal 2025-05 — Tabela X.2
10,48967719000122,SOULPAY FIDC,Carteira 101,2026-06,78431250.08938673,73755277.28939836,0.0,4675972.799988379,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
11,37645417000111,UBYFOL AGRO FIDC III,Carteira 101,2025-09,85415689.71883798,14705050.48964614,45957748.27921657,24752890.949975267,True,0.0,0.0,0.0,CVM Informe Mensal 2025-09 — Tabela X.2
12,50832746000130,BOASAFRA FIDC DO AGRONEGOCIO,Carteira 101,2025-07,5779375.345262333,0.0,2473661.2552938648,3305714.089968468,True,0.0,0.0,0.0,CVM Informe Mensal 2025-07 — Tabela X.2
13,33076242000118,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ALBA,Carteira 101,2026-06,443208155.4404642,347585855.19817,0.0,95622300.24229427,False,0.0,-5.960464477539063e-08,-1.4901161193847656e-08,CVM Informe Mensal 2026-06 — Tabela X.2
14,44173467000109,RECEIVABLES 48 FUNDO DE INVEST INSS MEU TUDO,Carteira 101,2026-06,34539332.55446858,30696642.479989734,3395324.772360493,447365.3021183572,True,0.0,-7.450580596923828e-09,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
15,54252144000164,J17 FGTS FUNDO DE INVESTIMENTO,Carteira 101,2026-06,213618399.47941318,181514481.84943354,20719203.890063405,11384713.73991624,True,0.0,-2.9802322387695312e-08,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
16,48313595000161,IBBA AGRO BR FUNDO DE INVESTIMENTO EM DIREITOS CRE,Carteira 101,2026-06,609029.2199209237,0.0,609029.2099932038,0.009927719994786,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
17,32526025000110,COBUCCIO FUNDO I F D C NAO P,Carteira 101,2026-06,1759550198.608294,430157362.6386121,0.0,1329392835.969682,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
18,45523699000102,VIXTRA FUNDO DE INVE E D C RL,Carteira 101,2026-06,233574411.6390185,144301381.933106,65123456.52607894,24149573.17983358,True,0.0,-5.960464477539063e-08,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
19,54083697000130,PERNAMBUCANAS FIDC DE RESPONSABILIDADE LIMITADA,Carteira 101,2026-06,226559970.92000234,201868944.27,0.0,24691026.650002338,False,0.0,2.9802322387695312e-08,3.725290298461914e-09,CVM Informe Mensal 2026-06 — Tabela X.2
20,56936116000191,FATOR TARKEN FUNDO DE INVESTIMENTO EM DIREITOS CRE,Carteira 101,2025-10,120559231.52287284,102530379.30780949,14474140.829674397,3554711.385388957,True,0.0,0.0,0.0,CVM Informe Mensal 2025-10 — Tabela X.2
21,50089559000108,AGRICONNECTION FIAGRO DIREITOS CREDITORIOS,Carteira 101,2025-08,116575512.76924387,91582149.98927729,5725340.52999118,19268022.2499754,True,0.0,-1.4901161193847656e-08,3.725290298461914e-09,CVM Informe Mensal 2025-08 — Tabela X.2
22,57131490000182,PONTO RURAL FIAGRO FIDC LTDA,Carteira 101,2025-09,98778804.94971208,47656958.73995957,48866185.059758514,2255661.149994,True,0.0,0.0,0.0,CVM Informe Mensal 2025-09 — Tabela X.2
23,47151680000108,FARM TECH IBBA I FUNDO DE INVESTIMENTO EM DIREITOS,Carteira 101,2026-06,9408887.7042,0.0,9408887.7042,0.0,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
24,43309233000183,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS LIVERPOOL,Carteira 101,2026-02,3223519.600005,0.0,0.0,3223519.600005,False,0.0,0.0,0.0,CVM Informe Mensal 2026-02 — Tabela X.2
25,43616659000180,TALO 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Carteira 101,2026-06,7003747.490086623,0.0,0.0,7003747.490086623,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
26,52343195000176,FARMTECH SYNGENTA FUNDO DE INVESTIMENTO EM DIREITO,Carteira 101,2025-09,1626090.3200262752,0.0,0.0,1626090.3200262752,False,0.0,0.0,0.0,CVM Informe Mensal 2025-09 — Tabela X.2
