cnpj,fundo,categoria_original,risco_corporativo,cedente,multicedente,multissacado,categoria_final,acao,documento_id,documento_data,pagina,evidencia,observacao
47151680000108,FARM TECH IBBA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,não avaliado,indeterminado,indeterminado,indeterminado,EXCLUIR_COMPARACAO,remover,orientacao_usuario,2026-08-10,,"FIDC informado como amortizado pelo usuário.","Exclusão restrita às lâminas de comparação; o histórico regulatório permanece na base."
43616659000180,TALÓ 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,não avaliado,indeterminado,indeterminado,indeterminado,EXCLUIR_COMPARACAO,remover,orientacao_usuario,2026-08-10,,"FIDC informado como amortizado pelo usuário.","Exclusão restrita às lâminas de comparação; o histórico regulatório permanece na base."
50089559000108,AGRICONNECTION FIAGRO,Agro / Revenda,não avaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,999633,2025-09-26,"7; 11","O regulamento menciona contrato global para todas as cedentes ou para cada cedente e registra expressiva diversificação de devedores.","Classificação contratual por pluralidade explícita de cedentes e devedores."
50832746000130,BOASAFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO RESPONSABILIDADE LIMITADA,Agro / Revenda,não avaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,791780,2024-11-28,84,"O glossário define duplicatas emitidas pelos cedentes em face dos devedores.","A extração textual do PDF tem fonte parcialmente corrompida; a cláusula citada permanece legível."
37035970000132,CD CASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,não avaliado,"CHDS do Brasil Comércio de Insumos Agrícolas Ltda., filiais e grupo econômico",sim,sim,Agro / Revenda,manter,1187379,2026-05-12,"4; 47","Os contratos são celebrados com cada cedente e a quantidade mínima é superior a 100 devedores.","Exceção expressa do usuário: permanece em Agro / Revenda."
47425750000179,CEREALIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro / Revenda,não avaliado,indeterminado,sim,sim,Agro / Revenda,manter,1237988,2026-07-02,"6; 7; 13","O regulamento usa cedentes no plural e registra expressiva diversificação de devedores.","Exceção expressa do usuário: permanece em Agro / Revenda."
52343195000176,FARMTECH SYNGENTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,não avaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,791944,2024-11-27,"16; 31; 99","Há contrato com cada cedente e quantidade mínima de 100 devedores.","Classificação contratual por pluralidade explícita de cedentes e devedores."
29492605000129,GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS - RESPONSABILIDADE LIMITADA,Agro / Revenda,"sim, predominante","Cedentes Outro; Entidades Gazin; Gazincred S.A. SCFI",sim,sim,Multicedente/Multissacado,mover,1117213,2026-02-12,"5-8; 30-32","Cedentes reúne Cedentes Outro, Entidades Gazin e Gazincred; os devedores podem ser pessoas físicas ou jurídicas. Ao menos 85% dos direitos devem ser devidos por ou cedidos com coobrigação de Entidades Gazin.","A concentração contratual em Entidades Gazin sustenta risco corporativo predominante; a estrutura admite múltiplos cedentes e devedores."
45523699000102,VIXTRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,não avaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,1024756,2025-10-30,"6; 12; 44","O regulamento registra expressiva diversificação de devedores e contratos celebrados com cada cedente.","Classificação contratual por pluralidade explícita de cedentes e devedores."
44173467000109,MT INSS RECEIVABLES III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE,Consignado INSS e FGTS,não avaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,791513,2024-11-28,"10; 35; 52","O regulamento registra expressiva diversificação de devedores e diversificação de cedentes; cada cessão é celebrada com cada cedente.","O documento posterior disponível é ato de emissão; a última íntegra contratual localizada é de 28/11/2024."
49113994000141,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CAP - RESPONSABILIDADE LIMITADA,Financeiro,não avaliado,indeterminado,indeterminado,sim,Multicedente/Multissacado,mover,788104,2024-11-22,44,"O regulamento registra significativa quantidade de direitos e expressiva diversificação de devedores.","A pluralidade de cedentes não foi confirmada."
26749095000134,PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,Financeiro,não avaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,1061833,2025-11-19,"24-25; 129-130","O regulamento registra expressiva diversificação de devedores e contratos distintos com cada cedente banco e cada cedente instituição de ensino.","Classificação contratual por pluralidade explícita de cedentes e devedores."
43193260000133,RESIDENCE CLUB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Financeiro,não avaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,1044387,2025-11-17,"5; 23","Cada cedente responde pelos direitos cedidos e o regulamento registra expressiva diversificação de devedores.","Classificação contratual por pluralidade explícita de cedentes e devedores."
47640584000123,SOL AGORA GREEN ESG FIDC IS SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Financeiro,não avaliado,indeterminado,indeterminado,sim,Multicedente/Multissacado,mover,930974,2025-06-13,"12; 43","O regulamento registra expressiva diversificação de devedores de CCBs de financiamento solar.","A pluralidade de cedentes ou endossantes não foi confirmada."
18185812000114,GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,Fomento Mercantil,não avaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,1011996,2025-10-13,"10; 27; 38; 70","O regulamento limita exposição por cedente e devedor, registra expressiva diversificação de devedores e opera termos de cessão com cada cedente.","Classificação contratual por pluralidade explícita de cedentes e devedores."
58288437000152,ALTOMAX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO RECEBÍVEIS COMERCIAIS DE RESP LTDA,Risco Corporativo,não reavaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,1240668,2026-02-24,"10; 83; 91","O regulamento lista cedentes de duplicatas, cartão e adicionais e prevê cada cedente adicional e cada devedor adicional.","Validação cruzada do grupo Risco Corporativo."
65873297000145,ARCELORMITTAL VÉRTICE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS - RESP LIMITADA,Risco Corporativo,não reavaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,1226438,2026-05-20,"4-5; 40","Cedentes são os fornecedores; devedoras são a AMB e sociedades por ela controladas.","Validação cruzada do grupo Risco Corporativo."
63679792000192,BLUE HEALTH FIDC RECEBÍVEIS COMERCIAIS DE RESPONSABILIDADE LIMITADA,Risco Corporativo,não reavaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,1278972,2026-07-27,"8; 64; 85; 93","O regulamento nomeia três cedentes e afirma que a carteira é pulverizada em relação aos devedores.","Validação cruzada do grupo Risco Corporativo."
