cnpj,apelido,subordinacao_minima_pct,subordinacao_estrutural_pct,inclui_mezanino,origem,fonte,observacao,responsavel,atualizado_em_utc
11468186000124,ATLANTA FIDC NAO PADRONIZADO,50.0,,False,carteira_101,Regulamento 1130308 · p. 47 · 2026-03-06,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
17468142000180,VALOREM FIDC MULTISSETORIAL,15.0,,False,carteira_101,Regulamento 1157934 · p. 102 · 2026-04-09,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
18185812000114,GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,22.0,,False,carteira_101,Regulamento 1011996 · p. 53 · 2025-10-13,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
26749095000134,CREDITO UNIVERSITARIO II FUNDO DE INVESTIMENTO EM,10.0,,False,carteira_101,Regulamento 1061833 · p. 152 · 2025-11-19,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS PAGSEGURO I,50.0,,False,carteira_101,Regulamento 1149521 · p. 44 · 2026-03-25,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
29226654000110,INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDI,67.4267,67.4267,True,carteira_101,Regulamento 1023848 · p. 3–4; 9–10 · 2025-10-28,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
29492605000129,GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIO,51.0,51.0,True,carteira_101,Regulamento 1117213 · p. 44 · 2026-02-12,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
30035329000159,VIAINVEST II FIDC MULTISSETORIAL,15.0,,False,carteira_101,Regulamento 998769 · p. 44; 64 · 2025-09-22,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
31570767000180,FUNDO DE INVESTIMENTO EM DIREITOS,5.0,,False,carteira_101,Regulamento 1203635 · p. 39 · 2026-05-25,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
31739396000117,FIDC LF III,0.5,,False,carteira_101,Regulamento 1146939 · p. 39 · 2026-03-27,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
32526025000110,COBUCCIO FUNDO I F D C NAO P,75.0,,False,carteira_101,Regulamento 1186789 · p. 57 · 2026-05-12,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
33076242000118,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ALBA,20.0,20.0,True,carteira_101,Regulamento 1060211 · p. 61 · 2025-12-12,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
35868110000154,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS BV,25.0,25.0,True,carteira_101,Regulamento 792021 · p. 48 · 2024-11-27,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
37035970000132,CD BANCK FIDC,30.0,,False,carteira_101,Regulamento 1187379 · p. 43 · 2026-05-12,revisto — mínimo júnior calculado de cláusulas contratuais,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
37294759000134,FUNDO I E D C GALLERIA,,4.7619,True,carteira_101,Regulamento 927443 · p. 110 · 2026-07-10,revisto — suporte estrutural total localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
37645417000111,UBYFOL AGRO FIDC III,10.0,,False,carteira_101,Regulamento 1016909 · p. 12 · 2025-10-16,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
38376526000143,HOTFUND FIDC,21.0,,False,carteira_101,Regulamento 948252 · p. 68 · 2025-07-02,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
38385876000176,ESTRATEGIA EDUCACIONAL FIDC,10.0,,False,carteira_101,Regulamento 719764 · p. 11 · 2024-08-14,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
38658727000133,FIDC FORNEC MADEIRA MADEIRA I,26.665,26.665,True,carteira_101,Regulamento 1216296 · p. 62 · 2026-06-05,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
40919667000107,RECARGAPAY I FUNDO DE INVESTIMENTO EM DIREITOS CRE,50.0,50.0,True,carteira_101,Regulamento 1118056 · p. 31 · 2026-02-12,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
41197066000109,MOVILEPAY CREDITO I FIDC SEGMENTO FINANCEIRO DE RE,10.0,,False,carteira_101,Regulamento 1076481 · p. 89 · 2025-12-30,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIRE,4.8,4.8,True,carteira_101,Regulamento 733165 · p. 98 · 2024-09-05,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITO,3.0,3.0,True,carteira_101,Regulamento 966441 · p. 99 · 2025-07-24,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIR,6.8,6.8,True,carteira_101,Regulamento 733239 · p. 99 · 2024-09-05,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
42154687000160,MULTIPLIKE PLUS FUNDO I D CRED,20.0,,False,carteira_101,Regulamento 1223029 · p. 54 · 2026-06-08,revisto — mínimo júnior calculado de cláusulas contratuais,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
42462306000100,IS GREEN SOLFACIL II FIDC,4.5,,False,carteira_101,Regulamento 896879 · p. 12 · 2025-05-05,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
