cnpj,fundo,categoria_estrutural,categoria_detalhe,override_flag,fonte,motivo
42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Adquirência,Adquirência,False,N/D,N/D
44124617000194,CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,Adquirência,Adquirência,False,N/D,N/D
42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Adquirência,Adquirência,False,N/D,N/D
42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Adquirência,Adquirência,False,N/D,N/D
38385876000176,ESTRATÉGIA EDUCACIONAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Adquirência,Agro / Revenda,True,regulamento 719764,Direitos constam da agenda de recebíveis do arranjo
48953864000154,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ASAAS II - RESPONSABILIDADE LIMITADA,Adquirência,Agro / Revenda,True,regulamento 473796,Cedente é subcredenciadora e lastro são URs registradas
28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,Adquirência,Adquirência,False,N/D,N/D
38376526000143,HOTFUND FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDAD,Adquirência,Financeiro,True,regulamento 948252,Hotmart é devedora dos direitos de cartões
52271464000136,KIWIFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE,Adquirência,Agro / Revenda,True,"FundosNet/B3 doc. 1155755, p. 13; IMG_8705.JPG e IMG_8707.jpg","Direitos da Kiwify, na condição de subcredenciadora, contra credenciadoras de transações de pagamento."
50857998000113,LEO MADEIRAS FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Adquirência,Agro / Revenda,True,regulamento e auditoria documental,Devedora é a subcredenciadora da Rede Leo
31739396000117,LF III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Adquirência,Agro / Revenda,True,"FundosNet/B3 doc. 1146939, p. 10; IMG_8706.JPG",Recebíveis da Listo IP contra emissores derivados de transações em arranjos de pagamento.
54083697000130,PERNAMBUCANAS FIDC DE RESPONSABILIDADE LIMITADA,Adquirência,Agro / Revenda,True,"regulamento 640301, 119 páginas","Contratos de adquirência, bandeiras, emissores e transações de pagamento"
40919667000107,RECARGAPAY I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Adquirência,Agro / Revenda,True,"FundosNet/B3 doc. 1118056, p. 24 e 36–38; IMG_8705.JPG e IMG_8707.jpg",Direitos de clientes e estabelecimentos contra RecargaPay por transações de pagamento; RecargaPay atua como subcredenciadora.
50473039000102,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Adquirência,Adquirência,False,N/D,N/D
48967719000122,SOULPAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Adquirência,Agro / Revenda,True,"FundosNet/B3 doc. 785770, p. 14; IMG_8704.JPG",Soulpay atua como subcredenciadora; créditos contra Redecard decorrem de transações com instrumentos de pagamento.
62626887000185,SUMUP SMART IV FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Adquirência,Agro / Revenda,True,"FundosNet/B3 doc. 1152823, p. 93; IMG_8704.JPG",Transações com instrumentos de pagamento operacionalizadas pelo Sistema SumUp; devedores são os emissores.
45598747000121,SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,Adquirência,Agro / Revenda,True,FundosNet/B3 doc. 883977; IMG_8705.JPG,Créditos contra emissores derivados de transações de pagamento processadas pelo Sistema SumUp.
50089559000108,AGRICONNECTION FIAGRO,Agro / Revenda,Agro / Revenda,False,N/D,N/D
57752597000148,AGROMERCANTIL CRÉDITO AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
50832746000130,BOASAFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
37035970000132,CD CASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
