rank,commercial_group,legal_entities,funds,linked_pl_fractional_brl,linked_issuance_fractional_brl,commercial_signal_brl,confidence_median,sector
1,QI SCD,1,12,1668176306.71,2174486553.03,3842662859.7400002,0.95,"Atividades financeiras, seguros e serviços relacionados"
2,BMP,3,11,1225913105.2766666,656000018.405,1881913123.6816666,0.93," | Atividades financeiras, seguros e serviços relacionados"
3,CELCOIN / VIA CAPITAL,1,4,451346244.80500007,615200007.94,1066546252.7450001,0.93,"Atividades financeiras, seguros e serviços relacionados"
4,UY3,1,4,294105872.76,279750000.0,573855872.76,0.8,"Atividades financeiras, seguros e serviços relacionados"
5,CBAA,4,4,0.0,28571428.57142857,28571428.57142857,0.635,Comércio e reparação de veículos | Indústrias de transformação
6,PARATI,1,3,3432093917.04,50000000.0,3482093917.04,0.95,
7,BANCO PINE,2,3,1125487797.73,1166666666.6666665,2292154464.3966665,0.815," | Atividades financeiras, seguros e serviços relacionados"
8,SUMUP,1,3,1126375898.54,1159250000.0,2285625898.54,0.95,
9,UP.P SOCIEDADE DE EMPRESTIMOS ENTRE PESSOAS S.A,1,2,311380678.0,412250000.0,723630678.0,0.68,
10,ALBAUGH AGRO BRASIL LTDA,2,2,344972679.3933333,53333333.333333336,398306012.7266666,0.815, | Indústrias de transformação
11,BANCO VOTORANTIM S.A,2,2,212604988.8,0.0,212604988.8,0.815," | Atividades financeiras, seguros e serviços relacionados"
12,POUPACRED PROCESSAMENTO DE DADOS LTDA,1,2,54790178.96,97000000.0,151790178.96,0.78,"Atividades financeiras, seguros e serviços relacionados"
13,E A MOVA SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS S.A,2,2,0.0,15000000.0,15000000.0,0.815,
14,BANCO BMG S.A,1,1,986234239.47,1520000000.0,2506234239.4700003,0.95,"Atividades financeiras, seguros e serviços relacionados"
15,BRB,1,1,580174139.11,1542169187.0300002,2122343326.1400003,0.84,"Atividades financeiras, seguros e serviços relacionados"
16,"TRADEMASTER INSTITUICAO DE PAGAMENTO, SERVICOS E PARTICIPACOES S.A",1,1,655493512.2,944000401.9,1599493914.1,0.95,
17,LIGA INVEST,1,1,697280197.815,625000000.0,1322280197.815,0.9,"Atividades financeiras, seguros e serviços relacionados"
18,PICPAY BANK - BANCO MULTIPLO S.A,1,1,697280197.815,625000000.0,1322280197.815,0.95,"Atividades financeiras, seguros e serviços relacionados"
19,PAGUEVELOZ,1,1,1003066273.66,0.0,1003066273.66,0.95,Atividades administrativas e serviços complementares
20,PAGUEVELOZ”); E (II) SERASA S.A,1,1,1003066273.66,0.0,1003066273.66,0.95,
21,"IBM BRASIL - INDUSTRIA, MAQUINAS, E SERVICOS LTDA",1,1,6036672.82,850000000.0,856036672.82,0.95,
