sector,cedents,funds,linked_pl_fractional_brl,linked_issuance_fractional_brl,commercial_signal_brl,commercial_signal_share
"Atividades financeiras, seguros e serviços relacionados",34,61,9299939015.201668,11282928801.835001,20582867817.036667,0.4396224328939116
Nao identificado,56,61,9681589341.670666,7601119674.858334,17282709016.529,0.36913546996377167
Atividades administrativas e serviços complementares,7,7,1531581163.008,730191500.03,2261772663.038,0.04830842862211321
Indústrias de transformação,12,12,1371690163.7816668,511880952.38095236,1883571116.162619,0.04023055115433024
Comércio e reparação de veículos,12,12,766104587.63,643952380.9523809,1410056968.582381,0.030116924451805895
Acoes judiciais | Comercial,1,3,1066475589.01,310700000.01,1377175589.02,0.029414622313512162
"Atividades profissionais, científicas e técnicas",10,10,300790815.055,695833333.3333334,996624148.3883333,0.021286554268820108
Informação e comunicação,5,5,590455396.93,133996000.0,724451396.9300001,0.015473309572932584
"Transporte, armazenagem e correio",1,1,85729153.465,35000000.0,120729153.465,0.0025786126908697703
Construção,2,2,54874567.768,49000000.0,103874567.768,0.0022186213604390805
Saúde humana e serviços sociais,1,1,42088677.57,33500000.0,75588677.57,0.0016144727074937346
