Competência,Data,Segmento,Cedentes únicos,Vínculos,PL alcançado (R$),% do PL do Top 500,Capital social mediano (R$)
202312,dez/23,Agro,17,19,9376936685.2,0.023011926281374055,562976521.0
202312,dez/23,IFs,59,110,48759423391.86,0.11966042795050139,11315000.675
202312,dez/23,Infra e Energia,14,16,44832181021.090004,0.11002258832768641,309405200.0
202312,dez/23,Large,37,41,32342876635.57,0.07937260513233779,1807089200.0
202312,dez/23,Não classificado,34,50,16719487461.819998,0.04103126915008633,350000.0
202312,dez/23,Não informado,4,634,93594925942.51999,0.229691167638933,
202312,dez/23,Potencial Middle,43,44,10751742898.189999,0.026385836150514444,12980000.0
202412,dez/24,Agro,15,17,10987201649.390001,0.018893588301785395,781129125.0
202412,dez/24,IFs,64,100,63257012470.939995,0.10877673760481119,15385000.0
202412,dez/24,Infra e Energia,14,14,100748695043.56,0.17324742248640082,542054863.81
202412,dez/24,Large,38,41,40818537969.299995,0.07019154431515928,882786698.0
202412,dez/24,Não classificado,12,12,3247302083.4500003,0.005584059582599955,5000.0
202412,dez/24,Não informado,5,415,96813603054.01001,0.16648063961004042,
202412,dez/24,Potencial Middle,26,27,11406391745.89,0.01961442745229797,10000000.0
202512,dez/25,Agro,30,36,19998227839.809998,0.029608742353947032,74184042.45
202512,dez/25,IFs,118,193,141708872457.13,0.20980966550940983,0.0
202512,dez/25,Infra e Energia,18,18,76492124333.40001,0.11325181509259379,335568507.5
202512,dez/25,Large,47,52,52679597948.86,0.07799574319641973,920657262.0
202512,dez/25,Não classificado,4,4,2279406651.3799996,0.0033748172488680273,5000.0
202512,dez/25,Não informado,1,1,3050551250.95,0.004516549503805809,
202512,dez/25,Potencial Middle,30,31,24696434559.420002,0.03656475832700222,7837300.0
202606,jun/26,Agro,29,33,26317287673.82,0.036299664644906374,74184042.45
202606,jun/26,IFs,69,118,112412254533.48999,0.15505120406472522,65000000.0
202606,jun/26,Infra e Energia,22,22,78647664865.54,0.10847941076253378,44114500.0
202606,jun/26,Large,51,56,61604754329.30001,0.08497197547108933,1410393561.94
202606,jun/26,Não classificado,3,3,2641091929.3999996,0.0036428811556047757,25002500.0
202606,jun/26,Potencial Middle,31,32,18525501528.29,0.025552385990163757,8500000.5
