Competência,Data,Segmento,PL dominante (R$),% do Top 500,% do PL identificado,Fundos (dominante),Cedentes únicos,PL Top 500 · denominador (R$),PL identificado · denominador (R$)
202312,dez/23,IFs,45603666034.14001,0.11191588854325814,0.30735966969813977,73,40,407481606300.37006,148372315987.09
202312,dez/23,Agro,8716561250.21,0.021391299914982405,0.05874789506533304,14,13,407481606300.37006,148372315987.09
202312,dez/23,Infra e Energia,43996670926.15,0.1079721642544974,0.29652884120227785,10,9,407481606300.37006,148372315987.09
202312,dez/23,Large,28541290805.399998,0.07004313903769471,0.1923626426905906,30,28,407481606300.37006,148372315987.09
202312,dez/23,Potencial Middle,7225841135.96,0.017732925914289148,0.04870073697972556,24,24,407481606300.37006,148372315987.09
202312,dez/23,Não classificado,14288285835.23,0.03506486087791056,0.0963002143639332,30,17,407481606300.37006,148372315987.09
202312,dez/23,Sem cedente,259109290313.28003,0.6358797214573676,,319,0,407481606300.37006,148372315987.09
202412,dez/24,IFs,62344615187.63999,0.10720777953992532,0.28165157461367807,73,48,581530700991.92,221353689476.63004
202412,dez/24,Agro,10601922621.27,0.018231062613179742,0.047895847800582175,13,11,581530700991.92,221353689476.63004
202412,dez/24,Infra e Energia,99934357460.42,0.17184708784929398,0.4514691293228741,9,9,581530700991.92,221353689476.63004
202412,dez/24,Large,40168334466.799995,0.06907345458852757,0.1814667492634717,33,31,581530700991.92,221353689476.63004
202412,dez/24,Potencial Middle,5601416169.049999,0.009632193381184576,0.025305275833865794,14,14,581530700991.92,221353689476.63004
202412,dez/24,Não classificado,2703043571.4500003,0.00464815282639318,0.01221142316552795,6,6,581530700991.92,221353689476.63004
202412,dez/24,Sem cedente,360177011515.29,0.6193602692014955,,352,0,581530700991.92,221353689476.63004
202512,dez/25,IFs,137652846052.48,0.20380444135864684,0.4660296462667264,120,90,675416321326.6,295373582249.95
202512,dez/25,Agro,19078233041.53,0.02824662721217341,0.06459018066614258,19,15,675416321326.6,295373582249.95
202512,dez/25,Infra e Energia,72553367474.07999,0.10742021651412914,0.2456325542772614,7,7,675416321326.6,295373582249.95
202512,dez/25,Large,45853296512.94,0.0678889376301694,0.1552383126603996,39,36,675416321326.6,295373582249.95
202512,dez/25,Potencial Middle,18405653262.88,0.027250826907364415,0.062313132822097925,17,17,675416321326.6,295373582249.95
202512,dez/25,Não classificado,1830185906.04,0.0027097152500627935,0.006196173307372039,3,3,675416321326.6,295373582249.95
202512,dez/25,Sem cedente,380042739076.65,0.5626792351274541,,295,0,675416321326.6,295373582249.95
202606,jun/26,IFs,111310206251.42,0.153531139248113,0.4121349445249931,87,51,725000848665.22,270081942165.11
202606,jun/26,Agro,23752658854.46,0.03276224972452156,0.08794611984809861,20,17,725000848665.22,270081942165.11
202606,jun/26,Infra e Energia,73103422282.31,0.1008321885648807,0.270671269971909,8,8,725000848665.22,270081942165.11
202606,jun/26,Large,47757415829.9,0.06587222058818955,0.17682565315938198,37,34,725000848665.22,270081942165.11
202606,jun/26,Potencial Middle,11517147017.619999,0.01588570142893476,0.042643158314446615,17,16,725000848665.22,270081942165.11
202606,jun/26,Não classificado,2641091929.3999996,0.0036428811556047757,0.00977885418117074,3,3,725000848665.22,270081942165.11
202606,jun/26,Sem cedente,454918906500.11,0.6274736192897556,,328,0,725000848665.22,270081942165.11
