CNPJ,CNPJ formatado,Competências,Primeira competência,Última competência
00000208000100,00.000.208/0001-00,202412,202412,202412
00117842000128,00.117.842/0001-28,202512 · 202606,202512,202606
00350763000162,00.350.763/0001-62,202512 · 202606,202512,202606
00360305000104,00.360.305/0001-04,202512,202512,202512
00416968000101,00.416.968/0001-01,202412 · 202606,202412,202606
00437082000136,00.437.082/0001-36,202312,202312,202312
00517645000104,00.517.645/0001-04,202512,202512,202512
00647631000105,00.647.631/0001-05,202606,202606,202606
00766315000144,00.766.315/0001-44,202512 · 202606,202512,202606
00913443000173,00.913.443/0001-73,202412 · 202512 · 202606,202412,202606
00940956001226,00.940.956/0012-26,202606,202606,202606
01027058000191,01.027.058/0001-91,202512 · 202606,202512,202606
01135153000109,01.135.153/0001-09,202606,202606,202606
01192333001528,01.192.333/0015-28,202312 · 202412 · 202512 · 202606,202312,202606
01192333001790,01.192.333/0017-90,202312,202312,202312
01360251000140,01.360.251/0001-40,202606,202606,202606
01460666000195,01.460.666/0001-95,202312 · 202412,202312,202412
01466091002161,01.466.091/0021-61,202312 · 202412 · 202512 · 202606,202312,202606
01645009000384,01.645.009/0003-84,202412,202412,202412
01655275000126,01.655.275/0001-26,202512,202512,202512
01763720000171,01.763.720/0001-71,202312 · 202412 · 202512 · 202606,202312,202606
01789121000127,01.789.121/0001-27,202512 · 202606,202512,202606
01789121001107,01.789.121/0011-07,202512 · 202606,202512,202606
01838723000127,01.838.723/0001-27,202606,202606,202606
01838723009850,01.838.723/0098-50,202312 · 202412 · 202512 · 202606,202312,202606
01838723032592,01.838.723/0325-92,202312 · 202412 · 202512 · 202606,202312,202606
01838723041311,01.838.723/0413-11,202312 · 202512,202312,202512
01858774000110,01.858.774/0001-10,202312 · 202412 · 202512 · 202606,202312,202606
02351006000139,02.351.006/0001-39,202412 · 202606,202412,202606
02523485000123,02.523.485/0001-23,202512 · 202606,202512,202606
02599377000134,02.599.377/0001-34,202312 · 202412 · 202512 · 202606,202312,202606
02734023000155,02.734.023/0001-55,202312 · 202412,202312,202412
02773542000122,02.773.542/0001-22,202412 · 202512 · 202606,202412,202606
02831172000132,02.831.172/0001-32,202512 · 202606,202512,202606
02879250000179,02.879.250/0001-79,202606,202606,202606
02909530000344,02.909.530/0003-44,202312,202312,202312
02974733000152,02.974.733/0001-52,202312 · 202412 · 202512 · 202606,202312,202606
02975504000152,02.975.504/0001-52,202412 · 202512,202412,202512
02999999000150,02.999.999/0001-50,202512 · 202606,202512,202606
03083960000150,03.083.960/0001-50,202312,202312,202312
03311116000130,03.311.116/0001-30,202606,202606,202606
03311443000191,03.311.443/0001-91,202512 · 202606,202512,202606
03467321000199,03.467.321/0001-99,202312 · 202412 · 202512 · 202606,202312,202606
03470727001607,03.470.727/0016-07,202606,202606,202606
03470727003812,03.470.727/0038-12,202312,202312,202312
03470727004118,03.470.727/0041-18,202312 · 202412 · 202512 · 202606,202312,202606
03502961000192,03.502.961/0001-92,202512 · 202606,202512,202606
03506307000157,03.506.307/0001-57,202312 · 202412 · 202512 · 202606,202312,202606
03588540000126,03.588.540/0001-26,202606,202606,202606
03659516000130,03.659.516/0001-30,202312,202312,202312
03816413000137,03.816.413/0001-37,202512 · 202606,202512,202606
03881423000156,03.881.423/0001-56,202312 · 202512 · 202606,202312,202606
04004608000145,04.004.608/0001-45,202312,202312,202312
04104117000176,04.104.117/0001-76,202312 · 202412 · 202512 · 202606,202312,202606
04136367000198,04.136.367/0001-98,202312 · 202412 · 202512 · 202606,202312,202606
04257795000179,04.257.795/0001-79,202312,202312,202312
04337168000148,04.337.168/0001-48,202312 · 202412 · 202512 · 202606,202312,202606
04402401000129,04.402.401/0001-29,202512,202512,202512
04423567000121,04.423.567/0001-21,202312 · 202412,202312,202412
04496698000139,04.496.698/0001-39,202312,202312,202312
04518259000180,04.518.259/0001-80,202412,202412,202412
04527070000153,04.527.070/0001-53,202606,202606,202606
04567665000132,04.567.665/0001-32,202606,202606,202606
04626426000106,04.626.426/0001-06,202606,202606,202606
04786838000103,04.786.838/0001-03,202512 · 202606,202512,202606
04854422000185,04.854.422/0001-85,202312,202312,202312
05169726000176,05.169.726/0001-76,202412 · 202512 · 202606,202412,202606
05197599000119,05.197.599/0001-19,202312 · 202412,202312,202412
05220925000161,05.220.925/0001-61,202606,202606,202606
05449127000106,05.449.127/0001-06,202512 · 202606,202512,202606
05500356000108,05.500.356/0001-08,202606,202606,202606
05650381000178,05.650.381/0001-78,202512 · 202606,202512,202606
05722547000114,05.722.547/0001-14,202512,202512,202512
05754060000113,05.754.060/0001-13,202312,202312,202312
06084614000185,06.084.614/0001-85,202312 · 202412 · 202512 · 202606,202312,202606
06116723000137,06.116.723/0001-37,202312 · 202412,202312,202412
06147451001104,06.147.451/0011-04,202512,202512,202512
06192781000140,06.192.781/0001-40,202312,202312,202312
06274757000150,06.274.757/0001-50,202606,202606,202606
06337280000104,06.337.280/0001-04,202412 · 202512,202412,202512
06650966000150,06.650.966/0001-50,202606,202606,202606
