competencia,tabela,fonte,linha_fisica,acao,documento_fundo,denominacao_reparada,data_referencia
202312,Tabela IV,2023.zip!inf_mensal_fidc_tab_IV_202312.csv,1339,remove_unpaired_quote,41609394000167,VERSATILE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,2023-12-31
202312,Tabela IV,2023.zip!inf_mensal_fidc_tab_IV_202312.csv,1712,remove_unpaired_quote_and_adjacent_comma,46073195000109,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-SYNGENTA RESPONSABILIDADE LIMITADA,2023-12-31
202312,Tabela IV,2023.zip!inf_mensal_fidc_tab_IV_202312.csv,2168,remove_unpaired_quote,51531376000163,ORIGINAL PRECATÓRIOS I - FUNDO DE INVESTIMENTO EM DIRETOS CREDITÓRIOS,2023-12-31
202312,Tabela I,2023.zip!inf_mensal_fidc_tab_I_202312.csv,1339,remove_unpaired_quote,41609394000167,VERSATILE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,2023-12-31
202312,Tabela I,2023.zip!inf_mensal_fidc_tab_I_202312.csv,1712,remove_unpaired_quote_and_adjacent_comma,46073195000109,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-SYNGENTA RESPONSABILIDADE LIMITADA,2023-12-31
202312,Tabela I,2023.zip!inf_mensal_fidc_tab_I_202312.csv,2168,remove_unpaired_quote,51531376000163,ORIGINAL PRECATÓRIOS I - FUNDO DE INVESTIMENTO EM DIRETOS CREDITÓRIOS,2023-12-31
202412,Tabela IV,2024.zip!inf_mensal_fidc_tab_IV_202412.csv,1207,remove_unpaired_quote,41609394000167,VERSATILE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,2024-12-31
202412,Tabela IV,2024.zip!inf_mensal_fidc_tab_IV_202412.csv,1515,remove_unpaired_quote_and_adjacent_comma,46073195000109,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-SYNGENTA RESPONSABILIDADE LIMITADA,2024-12-31
202412,Tabela I,2024.zip!inf_mensal_fidc_tab_I_202412.csv,1207,remove_unpaired_quote,41609394000167,VERSATILE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,2024-12-31
202412,Tabela I,2024.zip!inf_mensal_fidc_tab_I_202412.csv,1515,remove_unpaired_quote_and_adjacent_comma,46073195000109,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-SYNGENTA RESPONSABILIDADE LIMITADA,2024-12-31
