competencia,tipo_cotista,n_cotistas
2019-11,Pessoa fisica,13797
2019-11,Outros,1000
2019-11,Clube de investimento,801
2019-11,Outros fundos,3778
2019-11,FII,2
2019-11,Capitalizacao,0
2019-11,Seguradora,5
2019-11,Regime proprio (RPPS),227
2019-11,Cotas de FIDC (outros FIDC/FIC-FIDC),128
2019-11,Previdencia aberta (EAPC),18
2019-11,Investidor nao residente,114
2019-11,Outra PJ financeira,55
2019-11,Corretora/distribuidora,80
2019-11,Banco comercial,86
2019-11,PJ nao financeira,5460
2019-11,Previdencia fechada (EFPC),126
2019-12,Seguradora,5
2019-12,Outros,990
2019-12,Clube de investimento,784
2019-12,Outros fundos,4024
2019-12,FII,5
2019-12,Cotas de FIDC (outros FIDC/FIC-FIDC),109
2019-12,Capitalizacao,0
2019-12,Regime proprio (RPPS),173
2019-12,Corretora/distribuidora,78
2019-12,Previdencia aberta (EAPC),19
2019-12,Investidor nao residente,126
2019-12,Outra PJ financeira,52
2019-12,Banco comercial,103
2019-12,PJ nao financeira,5424
2019-12,Pessoa fisica,13768
2019-12,Previdencia fechada (EFPC),121
2020-01,Seguradora,5
2020-01,Outros,1011
2020-01,Clube de investimento,825
2020-01,Outros fundos,3949
2020-01,FII,20
2020-01,Cotas de FIDC (outros FIDC/FIC-FIDC),122
2020-01,Capitalizacao,0
2020-01,Regime proprio (RPPS),163
2020-01,Corretora/distribuidora,79
2020-01,Previdencia aberta (EAPC),19
2020-01,Investidor nao residente,135
2020-01,Outra PJ financeira,63
2020-01,Banco comercial,90
2020-01,PJ nao financeira,5434
2020-01,Pessoa fisica,14923
2020-01,Previdencia fechada (EFPC),120
2020-02,Outros,911
2020-02,Clube de investimento,804
2020-02,Outros fundos,4409
2020-02,FII,18
2020-02,Cotas de FIDC (outros FIDC/FIC-FIDC),134
2020-02,Capitalizacao,0
2020-02,Seguradora,5
2020-02,Regime proprio (RPPS),161
2020-02,Previdencia fechada (EFPC),128
2020-02,Investidor nao residente,134
2020-02,Outra PJ financeira,73
2020-02,Corretora/distribuidora,73
2020-02,Banco comercial,88
2020-02,PJ nao financeira,5473
2020-02,Pessoa fisica,16131
2020-02,Previdencia aberta (EAPC),19
2020-03,Seguradora,5
2020-03,Outros,923
2020-03,Clube de investimento,837
2020-03,Outros fundos,3959
2020-03,FII,473
2020-03,Capitalizacao,0
2020-03,Regime proprio (RPPS),161
2020-03,Cotas de FIDC (outros FIDC/FIC-FIDC),135
2020-03,Previdencia aberta (EAPC),20
2020-03,Investidor nao residente,137
2020-03,Outra PJ financeira,75
2020-03,Previdencia fechada (EFPC),128
2020-03,Corretora/distribuidora,66
2020-03,Banco comercial,90
2020-03,PJ nao financeira,5826
2020-03,Pessoa fisica,16295
2020-04,Outros,845
2020-04,Clube de investimento,810
2020-04,Outros fundos,4096
2020-04,FII,243
2020-04,Cotas de FIDC (outros FIDC/FIC-FIDC),189
2020-04,Capitalizacao,0
2020-04,Seguradora,6
2020-04,Regime proprio (RPPS),162
2020-04,Previdencia fechada (EFPC),132
2020-04,Previdencia aberta (EAPC),19
2020-04,Investidor nao residente,140
2020-04,Outra PJ financeira,77
2020-04,Corretora/distribuidora,64
2020-04,Banco comercial,93
2020-04,PJ nao financeira,5769
2020-04,Pessoa fisica,16282
2020-05,Clube de investimento,810
2020-05,Outros fundos,4385
2020-05,FII,15
2020-05,Cotas de FIDC (outros FIDC/FIC-FIDC),128
2020-05,Capitalizacao,0
2020-05,Seguradora,5
2020-05,Regime proprio (RPPS),161
2020-05,Outros,809
2020-05,Previdencia aberta (EAPC),17
2020-05,Investidor nao residente,139
2020-05,Outra PJ financeira,77
2020-05,Corretora/distribuidora,384
2020-05,Banco comercial,89
