traceability_gap_id,status_lacuna,acao_revisada,responsavel,prazo,notas,updated_at_utc
catalog_cedente_sacado_10756703000106_5f6631a10ec4,pendente,,,,,
catalog_cedente_sacado_13807406000122_59a5e0054cb7,pendente,,,,,
catalog_cedente_sacado_17012685000199_9ce796062418,pendente,,,,,
catalog_cedente_sacado_18185812000114_54b2a539a557,pendente,,,,,
catalog_cedente_sacado_18185812000114_8e4b4bd6574d,pendente,,,,,
catalog_cedente_sacado_28879529000146_4ba94cb18860,pendente,,,,,
catalog_cedente_sacado_31368761000124_7a948de208b2,pendente,,,,,
catalog_cedente_sacado_31368761000124_d3f6fb35c471,pendente,,,,,
catalog_cedente_sacado_37035970000132_a293481f78e7,pendente,,,,,
catalog_cedente_sacado_41351629000163_a4bdaba0cb82,pendente,,,,,
catalog_cedente_sacado_42174080000141_7d9f1753da46,pendente,,,,,
catalog_cedente_sacado_43721652000128_cc32791b0ec2,pendente,,,,,
catalog_cedente_sacado_45523699000102_c4ff3aecb8bb,pendente,,,,,
catalog_cedente_sacado_45963809000157_7ec48c0c3fb7,pendente,,,,,
catalog_cedente_sacado_47280025000150_b1edea144ade,pendente,,,,,
catalog_cedente_sacado_48359929000138_0bd139e0b293,pendente,,,,,
catalog_cedente_sacado_50835592000130_ea73560825e8,pendente,,,,,
catalog_cedente_sacado_51155531000194_a72bcdc2ce69,pendente,,,,,
catalog_cedente_sacado_52304780000167_21ab25748642,pendente,,,,,
catalog_cedente_sacado_52340225000190_7da3cfeee25b,pendente,,,,,
catalog_cedente_sacado_52340225000190_b9ee46e7aaf9,pendente,,,,,
catalog_cedente_sacado_52340225000190_ea0e067e0046,pendente,,,,,
catalog_cedente_sacado_53286391000119_9e83273845a3,pendente,,,,,
catalog_cedente_sacado_53323047000152_ba75468d36df,pendente,,,,,
catalog_cedente_sacado_53374563000106_de28a05160e2,pendente,,,,,
catalog_cedente_sacado_54244336000129_573895ed8d8f,pendente,,,,,
catalog_cedente_sacado_54252144000164_6f5ce2b8c11a,pendente,,,,,
catalog_cedente_sacado_54639537000125_01e9ede87903,pendente,,,,,
catalog_cedente_sacado_54776077000187_017092f00c84,pendente,,,,,
catalog_cedente_sacado_55102194000128_7755cdf8b5e9,pendente,,,,,
catalog_cedente_sacado_55333029000187_05ee36b106e2,pendente,,,,,
catalog_cedente_sacado_55333029000187_e6114a885a0e,pendente,,,,,
catalog_cedente_sacado_55401645000128_3f930b91341e,pendente,,,,,
catalog_cedente_sacado_55469182000136_b38943d45382,pendente,,,,,
catalog_cedente_sacado_55469182000136_d2c4c9a26654,pendente,,,,,
catalog_cedente_sacado_55596335000106_4237b1099e47,pendente,,,,,
catalog_cedente_sacado_55711648000168_fe4456040684,pendente,,,,,
catalog_cedente_sacado_55843467000195_b9688628936e,pendente,,,,,
catalog_cedente_sacado_55897261000148_93355b490041,pendente,,,,,
catalog_cedente_sacado_56936116000191_5f6631a10ec4,pendente,,,,,
catalog_cedente_sacado_57074997000141_6528976513ac,pendente,,,,,
catalog_cedente_sacado_57182268000109_efb75699b09b,pendente,,,,,
