ordem,cnpj_fundo,nome_exibicao,pl_brl,cobertura_mensal,top1_brl,top1_pct_dc_bruto,soma_reportada_brl,soma_reportada_pct_dc_bruto,numero_total_devedores,produto_documental,concentracao_contratual,classificacao_contratual,status_concentracao_observada,conclusao_individual,pendencias,documento_id,documento_data,fonte_regulamento,sha256_pdf,incluir_pfpj,decisao
1,47669805000196,GONN,1370830378.37,24/25 posições positivas,70537.94,0.0033147799064411,821603.58,0.0386095062890138,N/D,Crédito pessoal por CCB na plataforma99,"§7.1(iii), PDF40: R$15 mil nominal por CCB; §5.8, PDF38: regra geral20%PL com exceções; AnV item12, PDF115: até15%dosDC Ajustados em devedores com saldo acimaR$10mil. Ticket por CCB não é teto agregado por devedor.",Limite por operação e distribuição indireta,Baixa no Top1 reportado; completude parcial,O regulamento limita cada CCB e a parcela da carteira em devedores acima de R$10 mil; não traz teto agregado baixo e universal por devedor. O produto PF está documentado. A concentração efetiva depende do informe mensal.,Regulamento define devedores PF; II100%CréditoPessoal; baixa concentração reportada. Limites sobre base ajustada são mantidos separados.,1046752,2025-11-06,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1046752,66a0f0e526d2d69b1469834a9b7de973f00ba9c55c617ac449f42c54b435321a,True,Incluir na abertura Multicarteira Pulverizado PF/PJ.
2,56321885000185,GONN II,915291645.76,24/25 posições positivas,182188.82,0.0101657924933739,2174846.67,0.1213523417744582,N/D,Crédito pessoal por CCB na plataforma99,"§3.18–3.19, PDF26: inexistem requisitos adicionais de diversificação e é dispensada a observância do limite geral de20%PL por devedor/coobrigado. Não foi identificado teto mais restrito por devedor. Baixo Top1 observado não se converte em obrigação regulamentar permanente.",Dispensa expressa de concentração,Baixa no Top1 reportado; completude parcial,"O produto PF está documentado. O regulamento permite concentração no mesmo devedor sem o limite geral de20%PL. A baixa concentração observada em junho é evidência mensal, não obrigação permanente.",PF explícito; II100%CréditoPessoal; baixa concentração reportada. Ausência de teto contratual não equivale à concentração observada.,858505,2025-03-12,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=858505,80526f4c8ec5ed51bc671448ad2a7cf51e29b24922715501248c881c7a6e015f,True,Incluir na abertura Multicarteira Pulverizado PF/PJ.
3,41197066000109,iFood Pago Crédito I,657095062.27,24/25 posições positivas,2131061.54,0.2888561815501884,20621607.79,2.7951698117760695,N/D,"Crédito por CCB, com possível garantia em recebíveis e aval","§10.3.1(vii), PDF44: teto1%DC por devedor a partir181ºdia;1,5%do91ºao180ºdia. §10.3.3.3–10.3.4, PDF45: exceção para renegociações e manutenção de desenquadramentos posteriores.",Teto percentual com exceções,Baixa no Top1 reportado; completude parcial,"Existe teto de1% dos DC por devedor após o período inicial, com regra transitória e exceções para renegociação/desenquadramento. O mandato é PF/PJ; a divisão PF versus PJ permanece N/D.","Mandato PF/PJ expresso; II declara 100% Crédito Pessoal; baixa concentração reportada. Incluído no combinado PF/PJ, sem divisão entre PF e PJ. Teto contratual de 1% tem exceções e não substitui o dado observado.",DOC_REGUL_7226_174255_2026_01.pdf,2025-12-30,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_7226_174255_2026_01.pdf,55d655ceac66f196d3e36f2fb47e6dce14f5c1fa03736623ecfb12c14ecee262,True,Incluir na abertura Multicarteira Pulverizado PF/PJ.
4,63505455000189,Solfácil VII,564702170.63,24/25 posições positivas,141743.83,0.0260574621912816,2328085.27,0.4279833125794953,N/D,"Financiamento para aquisição e instalação de placas fotovoltaicas, equipamentos e acessórios solares por CCB. Crédito direto PF/PJ; garantia dos equipamentos não constitui financiamento imobiliário. Anexo VI §12.1(viii) admite DC Alternativos de curto prazo mediante assembleia específica, revogando aprovações anteriores.","Anexo VI §6.2(xi): valor NOMINAL por CCB até R$350.000 PF / R$700.000 PJ. §6.2(xii), separadamente: valor AGREGADO dos DC de qualquer devedor até R$350.000 PF / R$700.000 PJ, pro forma o endosso. Não confundir com percentual sobre PL ou prova por grupo econômico; o texto não explicita aqui a base de valoração do agregado. Anexo I §4.7 prevê 20% do PL por devedor/coobrigado incluindo grupo, com exceções IF/caixa e regras do Anexo VI. DC Alternativos aprovados ficam dispensados de critérios ordinários. Limiares de concentração observada serão aplicados posteriormente, sem influência nos flags de produto.",Teto agregado absoluto com exceções,Baixa no Top1 reportado; completude parcial,"Há teto agregado por devedor PF/PJ, além de limite por CCB. Direitos alternativos aprovados podem não obedecer aos critérios ordinários; a composição mensal por espécie precisa continuar separada.","Mandato misto PF/PJ; divisão efetiva PF versus PJ N/D. Rubrica Crédito Pessoal não identifica natureza jurídica de cada devedor. | DC Alternativos até 60 dias exigem nova assembleia; aprovações anteriores revogadas. Atos posteriores, contratos completos de cessão/garantia e eventual dispensa não integram este PDF. Tabela I específica não exclui ativos heterogêneos que possam ser declarados na mesma rubrica agregada de DC. | Capa e corpo identificam CNPJ e data 14/05/2026; catálogo tem referência 14/05 e recebimentos 14/05 e 19/05. Documento consolidado contém envelope Docusign, sem ata/certificado suficientes para validar assinatura ou todos os atos societários. | Resíduos editoriais preservados: data em branco na p25, índice com paginação defasada, remissão geral §6.1 ao §13.1(viii) sem correspondência à exceção, rótulos de definições desalinhados na p91, extenso incorreto da carência numérica 185 dias, Lei 8.036/90 na seção de derivativos p133 e Solfácil VI em modelo de suplemento p137. | Grupo econômico, coobrigação comum, cumprimento atual dos caps, concentração por cedente/originador e dados individualizados permanecem não comprovados por regulamento ou pelo agregado mensal. Não há conclusão de pulverização validada nesta ficha.",1199536,2026-05-14,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1199536,d898dd16b3a175bb31c23cbe559b2ba16a90348984d29b6f67cf1fefbb86f83b,True,Incluir na abertura Multicarteira Pulverizado PF/PJ.
5,58152340000118,Monee II,442213717.89,25/25 posições positivas,4063.78,0.0008165260719035,90551.39,0.0181942848240073,N/D,"Crédito direto ao consumidor / BNPL para compras na plataforma Shopee, formalizado em CCB; sem mandato expresso localizado de adquirência/PPV/UR.","6.2 V p.47: VP agregado de DC por CPF <= maior entre 0,001% PL e R$3.500 na aquisição. 15.1 III p.90: quebra por mais de 5 dias úteis gera avaliação; exceção de renegociação com quitação anterior para reenquadramento. 6.4 p.49 admite desenquadramento posterior; 15.2–15.5 permitem decisão de continuidade. Base distinta da razão VIII/DC bruto.",Teto agregado baixo por CPF,Baixa no Top1 reportado; 25 posições presentes,O regulamento limita o valor presente agregado por CPF na aquisição. Há regras de desenquadramento e continuidade; o teto contratual não substitui a posição mensal.,"Esclarecer a menção isolada a operações de pagamento no risco 14.1 IV(xlviii), p.85–86, sem mandato correspondente de aquisição. | Não foram obtidos inventário nominativo de devedores/grupos, contratos operacionais anexos externos ou teste de saldo devido versus VP; anonimização da VIII impede essas validações. | Modelos de suplementos integram a leitura; campos de emissão sem preenchimento não foram tratados como condições de uma série real.",DOC_REGUL_85586_190441_2026_05.pdf,2026-05-08,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_85586_190441_2026_05.pdf,ad53fd3b38d10421772c3f86420d7eae08dedf3689fb0d34dffaa3efb777b1a1,True,Incluir na abertura Multicarteira Pulverizado PF/PJ.
6,57028406000108,Solfácil VI,437421807.29,25/25 posições positivas,446560.28,0.096203328957281,6069206.85,1.3075007546581023,N/D,"Mandato ordinário: empréstimos para aquisição e instalação de placas fotovoltaicas, equipamentos e acessórios solares por CCB. Garantia fiduciária dos equipamentos não transforma o crédito em financiamento imobiliário. DC Alternativos até60dias dependem de nova assembleia; aprovações anteriores revogadas.","AnVI§6.2xi: teto NOMINAL por CCB PF R$350mil/PJ R$700mil. §6.2xii, separadamente: AGREGADO dos DC por devedor PF R$350mil/PJ R$700mil, pro forma cessão; base de valoração do agregado não explicitada nesta cláusula. AnI§3.6:20%PL por devedor/coobrigado/grupo, com exceções IF/caixa/AnVI. DC Alternativos aprovados ficam dispensados dos critérios ordinários. Limite de documento irregular em AnV e ausência de critério de dispersão de cotistas não medem dispersão financeira de devedores. Concentração observada será aplicada posteriormente.",Teto agregado absoluto com exceções,Baixa no Top1 reportado; 25 posições presentes,Há teto agregado por devedor PF/PJ. Direitos alternativos aprovados podem ser dispensados; a classificação deve registrar essa exceção.,"Divisão efetiva PF/PJ N/D e grupo econômico/coobrigação comum não comprovados. F8 Outros Financeiros não identifica produto individual, assim como F1 Crédito Pessoal não excluiria FGTS por si só. | DC Alternativos exigem nova assembleia; aprovações anteriores revogadas. Atos de aprovação/waiver posteriores e contratos completos de cessão ou garantia não foram obtidos nesta leitura. Rubricas agregadas de DC não excluem heterogeneidade dentro da própria rubrica. | Capa21/05/2026 e CNPJ nas p1/4 conciliam catálogo de referência21/05 e recebimentos21/05|25/05; fecho p18 mantém06/01/2025. Paginação física1–144 corresponde à impressa5–148. Não foi validada assinatura criptográfica nem obtida ata/certificado de todos os atos. | AnexoX p142 contém somente título da minuta de transferência em eventos de venda, confirmado visualmente. Leitura integral do arquivo não equivale a contrato de transferência integralmente obtido. AnIX p141 termina com item3.2 sem texto. PDD do AnXI está nas p143–144. | Resíduos editoriais: remissões Error! Reference source not found. nas p118–119; carência185dias com extenso errado p110; Lei8.036/90 em risco de derivativos p130, sem alterar mandato solar; referências externas e remissões de anexos não resolvidas por suposição. | Base I2A, porcentagens de cedentes e concentração de cotas não foram convertidas em coobrigação irrestrita ou dispersão dos empréstimos. Cumprimento atual dos caps e pulverização por grupo permanecem não validados nesta ficha.",1202319,2026-05-21,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1202319,c053655d94e0a43c70b1c2f0a652a8e5da52746a2feedbf91d58b107999c2752,True,Incluir na abertura Multicarteira Pulverizado PF/PJ.
7,62627291000108,Facio 4,410773065.35,25/25 posições positivas,2499.8,0.0004965364486558,51268.21,0.0101834286432292,N/D,"Crédito pessoal por CCB e antecipação de salário/renda ao cliente pelo aplicativo; cobrança de faturas/boletos ao próprio devedor, sem mecanismo localizado de consignação em folha ou FGTS.","12.3 p.40: preço de aquisição por DC <=R$5.000; principal agregado de um devedor <=0,10%PL pro forma aquisição. 7.4.2 p.33: até10%PL em direitos da primeira operação. 12.2 admite desenquadramento posterior sem venda obrigatória;22.2v permite cura15dias úteis de aquisição irregular>0,10%carteira;assembleia pode deliberar continuidade.","Teto agregado de 0,10% do PL",Baixa no Top1 reportado; 25 posições presentes,"O principal agregado por devedor tem teto contratual de 0,10% do PL na aquisição. Existem primeira operação, cura e continuidade após desenquadramento; a posição mensal continua necessária.","CNPJ divergente no modelo mezanino p.66 (51.119.641/0001-09) frente à capa62.627.291/0001-08; referência quebrada p.64 e itens12.1(b)/(c) vazios na imagem p.39. Solicitar versão corrigida se necessário para formalização. | Contratos externos de antecipação/CCB, lista nominativa de clientes/grupos e equivalência entre principal, VP e valor devido não obtidos; conclusão restringe-se ao mandato e à informação mensal disponíveis.",DOC_REGUL_91597_187864_2026_04.pdf,2026-04-23,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_91597_187864_2026_04.pdf,b4d25e9ea1066c6b3c95dd141af6b3c205e68a1c60dbfe3a7018ec093ff97dae,True,Incluir na abertura Multicarteira Pulverizado PF/PJ.
8,41778453000120,Inclusão Financeira,347646895.16,24/25 posições positivas,5033.52,0.0008732274630866,86498.98,0.0150060563710848,N/D,"Empréstimo pessoal direto, Crédito Parcelado viaSuperSim, documentado porCCB vincenda inteira. Principal250a<1000,60–390dias, taxa numérica mínima10,10%am. NP vedados. Bloqueio opcional de funções de smartphone é reforço de crédito, não produto financeiro diferente.","20%PL por devedor/coobrigado emDC eoutrosativos;CCBprincipal<1000 não é cap do valor devido. SuplementoA10 veda novaCCBàclasse enquanto outra nãoquitada;índice de aquisição de inadimplentes exige esclarecimento. Bufferconjunto<10%PL eporendossante<5%PL, distinto de dispersão dosDC. Mínimo50%PLDC e67%tributário não são saldos observados.","Baixo ticket e uma CCB ativa, com teto geral amplo",Baixa no Top1 reportado; completude parcial,"O suplemento impede nova CCB enquanto a anterior não for quitada e restringe o principal, mas o teto geral por devedor/coobrigado é20%PL. Principal, saldo devido e exposição de grupo não são equivalentes.",ExplicarI3F ecomposição/contraparte doBuffer;contratos deendosso/coobrigação egarantias;compatibilizarSuplementoA10 comÍndice deAquisição deDevedoresInadimplentes. VIIIanonimizada não validaCPF/grupos;24/25linhas impedeTop25completo. ReferênciasCláusula0 efontenãoencontrada existem noPDF; taxas por extenso divergem denúmeros. Manuais/PDD externos eapêndices concretos de emissão não foram obtidos comopeças completas nestePDF. Dadoscanônicos nãoalterados.,DOC_REGUL_7096_175869_2026_01,2026-01-20,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_7096_175869_2026_01.pdf,9709a912f132c6cae01e56ccafdc2d9c997946fa6da0dcba9e1bb29d8da6cb9b,True,Incluir na abertura Multicarteira Pulverizado PF/PJ.
9,60940790000117,Riachuelo Midway EP,293144756.12,24/25 posições positivas,31522.72,0.012171585381561,646791.38,0.2497397593141604,N/D,"Empréstimo pessoal sem garantia: Saque Fácil, CockpitDCC/voz/WhatsApp e AppMidway. CCB, filipeta, gravações e comunicações comprovam empréstimos. Referências a cartão como autenticação e no resumo geral de cobrança não estabelecem mandato de aquisição de recebíveis de adquirência.","3.29(iv)p19: valor de cada DireitoCreditório devido por mesmoDevedor atéR$50000, denominado Limite de Concentração por Devedor. Redação contém cadaDireito e não explicita soma de todasCCBs; preservada ambiguidadecontrato/agregado. Prazo até60meses ouvencimentoCotaSênior, menor; todos adimplentes na compra. Desenquadramento posterior sem regresso automático(3.30p20).",Redação ambígua entre direito e devedor,Baixa no Top1 reportado; completude parcial,"A cláusula chama R$50 mil de limite por devedor, mas a redação trata o valor de cada direito. Não está claro se soma todas as CCBs do mesmo devedor.","Confirmar regra operacional de agregação do limiteR$50000 por devedor; o rótulo da cláusula não resolve o uso de cadaDireito. | NaturezaPF foi sustentada documentalmente pelo produto ao consumidor; nenhuma cláusulaCPFexclusivo ou natureza individual dos devedores foi inventada. | PisoDC50%PL em3.12p16, busca67% em3.12.1p17 e risco4.36p30 fala até33% emAtivosFinanceiros. Não transformar as três redações em cap permanente não demonstrado. | ApensosII/III são modelos sem valores de emissão. ManualPDD externo não anexado; não afirmar sua leitura. Carteira e instrumentos externos não foram auditados. | Proxy VIII valor devido versus DC bruto/valor presente e grupos econômicos mantém limitações globais.",1043983,2025-11-12,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1043983,328b5bad55e03145e50905a0e87e8c699100e1ae6882ba1c3cc23f6419b1d3d9,True,Incluir na abertura Multicarteira Pulverizado PF/PJ.
10,47640584000123,Sol Agora Green,285125290.74,24/25 posições positivas,861075.41,0.3346278919088985,9527899.81,3.7026966404016752,N/D,CCBs de financiamento de projetos de geracao solar via Plataforma Sol Agora. Equipamentos e servicos associados; garantia movel nao transforma credito em financiamento imobiliario. Mandato ordinario solar; recebiveis adquiridos Sunrise dispensam criterios/condicoes sem mudar automaticamente o produto para cotas FIDC.,"11.3.1v apos50milhoesDCadquiridos: mesmo integrador<=10%DCcarteira. vii: VPtotal por devedor PF<=400000/PJ<=850000 porGrupoEconomico, com excecao ate50grupos acima do valor, cada<=1%PL eTop20<=10%PL na aquisicao proforma. Nao e cap por CCB. Sunrise dispensa criterios/condicoes; descumprimento posterior nao obriga venda. PF>=60anos<=10%PL apos50milhoes salvo seguro. Limites contratuais nao comprovam concentracao observada nem recuperam grupos/garantidores anonimizados da VIII.",Teto agregado absoluto com carteiras excepcionadas,Baixa no Top1 reportado; completude parcial,Há limite por devedor/grupo e limites percentuais para exceções. A carteira Sunrise pode ser dispensada; a composição mensal por exceção não foi observada.,"Natureza e devedores dos OutrosCP12140632.02 nao detalhados: classificacao do PL integral condicional; estrategiaDC e valorDC elegivel ficam separados. | Nao obtidos contratos individuais/Contrato de Endosso, acordo operacional de hedge, relatorios de grupos economicos, lastro e atos/waivers posteriores separados. Leitura integral do PDF nao equivale a aquisicao destes documentos. | TransferenciasSunrise podem dispensar criterios/condicoes; nao se presume uso nem conformidade das posicoes atuais aos limites ordinarios. | TabelaIIF1 identifica rubrica e admite ambosPF/PJ no mandato; aberturaPF/PJ do estoque e risco conjunto porgrupo/coobrigado seguemN/D. | GlossarioDireitosCreditorios permite com/semgarantia; condicao ordinaria exige alienacao de equipamentos. Registro/eficacia da garantia individual nao comprovados. | PDD tabela comeca5dias, sem faixa explicita0-4; indice de inconsistenciasp91usaerro1.5%enquantoComplementoV104usa5%; conservar divergencia, sem corrigirfonte.",930974,2025-06-13,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=930974,bf5b3e9bcb19719f7708c267ed8a0871958ab6d3e0698ff2badcd6ec060a3496,True,Incluir na abertura Multicarteira Pulverizado PF/PJ.
