chunk_id,status_lote,acao_revisada,responsavel,prazo,notas,updated_at_utc
doc-0013,pendente,,,,,
doc-0001,pendente,,,,,
doc-0002,pendente,,,,,
doc-0005,pendente,,,,,
doc-0014,pendente,,,,,
doc-0011,pendente,,,,,
doc-0003,pendente,,,,,
doc-0004,pendente,,,,,
doc-0015,pendente,,,,,
doc-0010,pendente,,,,,
doc-0012,pendente,,,,,
doc-0006,pendente,,,,,
doc-0009,pendente,,,,,
doc-0016,pendente,,,,,
doc-0008,pendente,,,,,
doc-0007,pendente,,,,,
doc-0017,pendente,,,,,
doc-0018,pendente,,,,,
doc-0019,pendente,,,,,
doc-0020,pendente,,,,,
doc-0021,pendente,,,,,
doc-0023,pendente,,,,,
doc-0022,pendente,,,,,
doc-0024,pendente,,,,,
doc-0026,pendente,,,,,
doc-0025,pendente,,,,,
doc-0027,pendente,,,,,
